"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"247","972","CNN en Español","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","266219816732487680","355330736","2011-08-15T05:33:29.000Z","Musico poeta y loco! ;)","","URGENTE: #Sismo de magnitud 7,5 sacude #Guatemala http://t.co/yDRsOrLf","","","es","es","false","[33884545]","","145555","https://t.co/592LYnRFm4","true","false","false","2323","false","","50581","false","[http://on.cnn.com/UknnUG]","455","En todas partes","","","74","-1","","","CNNEE","[Sismo, Guatemala]","","2012-11-07T16:45:25.000Z","false","","","","false","16741411","821","false","266220477641551872","Enrique Asifuina Jr.","33884545","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-04-21T12:14:47.000Z","","CNN en Español es tu principal fuente de información y breaking news. Cubrimos las noticias de América Latina y el resto del mundo. Vive la noticia.","","URGENTE: #Sismo de magnitud 7,5 sacude #Guatemala http://t.co/yDRsOrLf","es","","RT @CNNEE: URGENTE: #Sismo de magnitud 7,5 sacude #Guatemala http://t.co/yDRsOrLf","false","es","","3564","","true","false","2323","false","false","","0","[http://on.cnn.com/UknnUG]","false","","1349","Ciudad Guatemala","0","","","","[Sismo, Guatemala]","-1","asifuina1793","","true","","2012-11-07T16:48:02.000Z","","[CNNEE]","false"
"456","531","EL MUNDO","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","266219784188878848","606277131","2012-06-12T10:03:40.000Z","Terapeuta Ocupacional.
Que la vida fluya 🆓🍃","","ÚLTIMA HORA: Un terremoto de magnitud 7,3 sacude la costa del Pacífico de Guatemala","","","es","es","false","[14436030]","","186978","https://t.co/CmlwMrjZkJ","false","false","false","394","false","","29092","false","","532","España","","","4","-1","","","elmundoes","","","2012-11-07T16:45:17.000Z","false","","","","false","3153249","1352","false","266221790437707777","Bea","14436030","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2008-04-18T18:29:25.000Z","","Cuenta oficial del diario EL MUNDO - You Tube: https://t.co/jzPBZj90EC. (📷 La Policía detiene a Eduardo Zaplana / Biel Aliño)","","ÚLTIMA HORA: Un terremoto de magnitud 7,3 sacude la costa del Pacífico de Guatemala","es","","RT @elmundoes: ÚLTIMA HORA: Un terremoto de magnitud 7,3 sacude la costa del Pacífico de Guatemala","false","es","","8975","","false","false","394","false","false","","4","","false","","2670","","0","","","","","-1","beabpb","","true","","2012-11-07T16:53:15.000Z","","[elmundoes]","false"
"718","652","CNN en Español","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","266221112520744961","220881349","2010-11-29T03:12:48.000Z","Prov. 3:6 👣 l Art |Outdoor Lover l #LoveLiveTalkJesus ✞♡ l Author: @tudaypost📝 l Guatemala 🇬🇹l Missionary @misionelfaro 📷|#LivingDayByDay","","El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf","","","es","es","false","[33884545]","","145555","https://t.co/592LYnRFm4","true","false","false","741","false","","50581","false","[http://on.cnn.com/UknnUG]","1431","En todas partes","","","21","-1","","","CNNEE","[sismo, Guatemala, ElSalvador, México]","","2012-11-07T16:50:34.000Z","false","","","","false","16741411","821","false","266221417153048576","Andrea Bermejo","33884545","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-04-21T12:14:47.000Z","","CNN en Español es tu principal fuente de información y breaking news. Cubrimos las noticias de América Latina y el resto del mundo. Vive la noticia.","","El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf","es","","RT @CNNEE: El #sismo de #Guatemala también sacudió #ElSalvador y #México: http://t.co/yDRsOrLf","false","es","","21132","https://t.co/9KTAriLAMK","true","false","741","false","false","","0","[http://on.cnn.com/UknnUG]","false","","1349","Guatemala","0","","","","[sismo, Guatemala, ElSalvador, México]","-1","abermejogt","","true","","2012-11-07T16:51:46.000Z","","[CNNEE]","false"
"145","248","EL INFORMADORCHILE","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","false","266221132963778560","120510628","2010-03-06T17:12:33.000Z","Estudiante de Diseño Gráfico, amante de los animales, malcriadora de sobrin@s, últimamente fanática extrema de mi ahijada ninda beia....XD","","Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","","","es","es","false","[100824459]","","166141","https://t.co/iTIUtNCPaD","false","false","false","72","false","","1191","false","","54","CHILE","","","1","-1","","","INFORMADORCHILE","","","2012-11-07T16:50:38.000Z","false","","","","false","299277","0","false","266223040352878595","María.D.G.","100824459","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-12-31T18:56:11.000Z","","24 horas acompañandote con la mejor información de Chile y el mundo.","","Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","es","","RT @INFORMADORCHILE: Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","false","es","","4350","","false","false","72","false","false","","1","","false","","115","las nubes....","0","","","","","-1","cotetita24","","false","","2012-11-07T16:58:13.000Z","","[INFORMADORCHILE]","false"
"315","348","","","","","49254534","2009-06-21T06:41:56.000Z","","","Impactantes imágenes de la devastación luego del temblor #TemblorGT http://t.co/l59X7nde","","","","es","","","","","","","","false","301","false","","","false","","209","","[photo]","","","","","","","","","","false","","","","false","","","false","266221299712552960","Pablo Lara","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","es","","","false","","","2087","","true","false","","","","","0","","","","","","41","","","","[TemblorGT]","-1","PabLara","","","[http://pbs.twimg.com/media/A7HOHA1CAAE7qgL.png]","2012-11-07T16:51:18.000Z","","",""
"160","252","","","","","191162425","2010-09-15T19:14:28.000Z","Coded-weird mind. Lmtd Ed. (Medicated, drama queen, picture perfect, numb belligerence)©. Pórtense bieeen!!!!","","""@NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km)."" O.o","","","","en","","[83972205]","","","","","","false","0","false","","","false","","291","","","","","","","","","","","","false","","","","false","","","false","266220314038501376","Matty","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","en","","","false","","","3143","","false","false","","","","","1","","","","","Sobreviviendo a GT","0","","","","","-1","MattySan89","","","","2012-11-07T16:47:23.000Z","","[NewEarthquake]",""
"342","1149","CNN Breaking News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","266221846372958209","33773062","2009-04-21T02:20:42.000Z","I Love Brandon Thomas. A lot.","","USGS: 7.5-magnitude earthquake strikes off  #Guatemala http://t.co/N2BohJRd","","","en","en","false","[428333]","","61490","http://t.co/HjKR4r61U5","false","false","false","1043","false","","182131","false","[http://on.cnn.com/UkoZ0s]","79","Everywhere","","","71","-1","","","cnnbrk","[Guatemala]","","2012-11-07T16:53:28.000Z","false","","","","false","54997324","121","false","266222386045661184","Krissy Gardner","428333","<a href=""http://www.cloudhopper.com/"" rel=""nofollow"">Cloudhopper</a>","2007-01-02T01:48:14.000Z","","Breaking news from CNN Digital. Now 55M strong. Check @cnn for all things CNN, breaking and more. Download the app for custom alerts: https://t.co/QFUAuNnQyS","","USGS: 7.5-magnitude earthquake strikes off  #Guatemala http://t.co/N2BohJRd","en","","RT @cnnbrk: USGS: 7.5-magnitude earthquake strikes off  #Guatemala http://t.co/N2BohJRd","false","en","","14027","http://t.co/77sJrbzArr","true","false","1043","false","false","","2","[http://on.cnn.com/UkoZ0s]","false","","19","KC,MO","0","","","","[Guatemala]","-1","HotShotDebater","","true","","2012-11-07T16:55:37.000Z","","[cnnbrk]","false"
"36","303","Expansión CNN","<a href=""http://mexico.cnn.com/"" rel=""nofollow"">mexico.cnn.com</a>","false","266220776485695490","632169301","2012-07-10T17:37:18.000Z","","","Un #temblor de 7.3 grados con epicentro en #Chiapas se siente el sur de #México, #Guatemala y El #Salvador  http://t.co/92nCUNEi","","","es","es","false","[832309426182901760]","","518055","https://t.co/bM73vBMtoh","true","false","false","475","false","","12650","false","[http://cnn.mx/e0005I3]","1","México","","","13","-1","","","ExpansionMx","[temblor, Chiapas, México, Guatemala, Salvador]","","2012-11-07T16:49:13.000Z","false","","","","false","3974929","138","false","266222151139475458","Manuel José","108740292","<a href=""http://www.sonyericsson.com"" rel=""nofollow"">Sony Ericsson  Xperia™ </a>","2010-01-26T22:41:22.000Z","","Expansión en Alianza con CNN. Portal de noticias de actualidad, economía, negocios, mercados, tecnología, dinero y emprendedores. Antes @CNNMex y CNNExpansion","","Un #temblor de 7.3 grados con epicentro en #Chiapas se siente el sur de #México, #Guatemala y El #Salvador  http://t.co/92nCUNEi","es","","RT @CNNMex: Un #temblor de 7.3 grados con epicentro en #Chiapas se siente el sur de #México, #Guatemala y El #Salvador  http://t.co/92nCUNEi","false","es","","105","","false","false","475","false","false","","0","[http://cnn.mx/e0005I3]","false","","156","","0","","","","[temblor, Chiapas, México, Guatemala, Salvador]","-1","chilangogrecko","","true","","2012-11-07T16:54:41.000Z","","[CNNMex]","false"
"465","846","EL INFORMADORCHILE","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","false","266221132963778560","134183647","2010-04-17T17:41:55.000Z","「0 6 . 0 9 . 1 3 || 1 5 . 0 4 . 1 6 」「0 6 G u n 」|| ♡ My only ベイビー @gazette05reita ♡ - | ARMY ★ || 
♡ SasuHina ♡ {🇲🇽} 「02 . 17 💛」","","Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","","","es","es","false","[100824459]","","166141","https://t.co/iTIUtNCPaD","false","false","false","72","false","","1191","false","","54481","CHILE","","","1","-1","","","INFORMADORCHILE","","","2012-11-07T16:50:38.000Z","false","","","","false","299277","0","false","266221740106067968","ᴠιʀι 🐰🌠태꾹","100824459","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-12-31T18:56:11.000Z","","24 horas acompañandote con la mejor información de Chile y el mundo.","","Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","es","","RT @INFORMADORCHILE: Sismo se percibe en mexico y Guatemala al momento no hay heridos 7,5 Ricther","false","es","","79467","","false","false","72","false","false","","6","","false","","115","","0","","","","","-1","PinkyHeaven_06","","false","","2012-11-07T16:53:03.000Z","","[INFORMADORCHILE]","false"
"1043","1564","Earthquakes Tsunamis","<a href=""http://twitter.com/BigEarthquakes/earthquakes"" rel=""nofollow"">Earthquakes</a>","false","266219168611831809","328709845","2011-07-03T21:57:12.000Z","Fumadora rehabilitada/Feliz por convicción/Estornudo como gato. Periodista PUCV","","7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9","","","en","en","false","[83972205]","","27818","https://t.co/dsTBiWZEdB","true","false","false","3237","false","","10711","false","[http://j.mp/RW5up0]","192","Worldwide","","","128","-1","","","NewEarthquake","","","2012-11-07T16:42:50.000Z","false","","","","false","901923","7","false","266220393763860482","Karla Gallardo D.","83972205","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-10-21T01:27:10.000Z","","World earthquakes magnitude 5+ and tsunami warnings. Avatar shows last earthquake. Sources: USGS NOAA GEOFON. #earthquake","","7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9","es","","RT @NewEarthquake: 7.5 earthquake, 49km SW of Champerico, Guatemala. Nov 7 10:35 at epicenter (6m ago, depth 33km). http://t.co/brZ8J9F9","false","en","","3367","","true","false","3237","false","false","","7","[http://j.mp/RW5up0]","false","","0","Iquique/Santiago, Chile","0","","","","","-1","KgallardoD","","false","","2012-11-07T16:47:42.000Z","","[NewEarthquake]","false"
