"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"240","348","","","","","418699338","2011-11-22T13:40:03.000Z","Architetto, Consulente Energetico CasaClima, esperto in Termografia","","Inequivocabilmente questa era una scossa di #terremoto","","","","it","","","","","","","","false","0","false","","","false","","59","","","","","","","","","","","","false","","","","false","","","false","204030617850089472","@LazzarettoMarco","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","","","","it","","","false","","","1157","https://t.co/ryzSv5F6bX","true","false","","","","","0","","","","","Abano Terme (PD)","0","","","","[terremoto]","-1","LazzarettoMarco","","","","2012-05-20T02:07:44.000Z","","",""
"1504","3394","","","","","104990424","2010-01-15T01:00:23.000Z","Futura fotoperiodista (#RealMadrid @teganandsara ,@tomdaley1994 ,Synesthete,#GOPACKGO,WOSO @tolucaFc)","","RT @SantiContreras: Daños del Terremoto en Italia de 6.0 grados de hace una hora http://t.co/HP6vyMcD","","","","es","","[100093892]","","","","","","false","0","false","","","false","","81155","","","","","","","","","","","","false","","","","false","","","false","204070824444043264","Dafne Aranda (Daffo)","","<a href=""http://www.destroytwitter.com"" rel=""nofollow"">DestroyTwitter</a>","","","","","","es","","","false","","","51812","https://t.co/ixN6c0J50r","true","false","","","","","22","[https://twitter.com/SantiContreras/status/204070548538540032/photo/1]","","","","México with Stewie Griffin ","0","","","","","-1","Just_Dafne","","","","2012-05-20T04:47:30.000Z","","[SantiContreras]",""
"13","44","","","","","331557942","2011-07-08T10:52:11.000Z","","","#terremoto #busto #arsizio ore 04.7","","","","und","","","","","","","","false","0","false","","","false","","3","","","","","","","","","","","","false","","","","false","","","false","204030861119729664","antonio filocamo","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","it","","","false","","","154","","false","false","","","","","0","","","","","","0","","","","[terremoto, busto, arsizio]","-1","antoniofilocamo","","","","2012-05-20T02:08:42.000Z","","",""
"593","1545","Breaking News Chile","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","204088313928359936","178607430","2010-08-15T05:47:00.000Z","I like to take the long way to accomplish the goal 'coz I get more experience. Working hard to be a teacher of English. Dreams don't work unless you do it!","","BREAKING NEWS: Televisión Italiana confirma que ya son 4 los muertos por terremoto en Italia http://t.co/5fXdQ7Ey","","","es","es","false","[319818713]","","280202","https://t.co/B8rVORBaTd","false","false","false","6","false","","439","false","","781","Chile","[photo]","","0","-1","","","BreakingNewsChi","","[http://pbs.twimg.com/media/AtURPX7CIAEtIRk.jpg]","2012-05-20T05:57:01.000Z","false","","","","false","33036","1807","false","204088788664856576","Mario Castillo León","319818713","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2011-06-18T20:06:07.000Z","","Breaking News de Chile, América Latina y el mundo. Breaking News for Chile, Latin America and the world. 🇨🇱🌎","","BREAKING NEWS: Televisión Italiana confirma que ya son 4 los muertos por terremoto en Italia http://t.co/5fXdQ7Ey","es","","RT @BreakingNewsChi: BREAKING NEWS: Televisión Italiana confirma que ya son 4 los muertos por terremoto en Italia http://t.co/5fXdQ7Ey","false","es","","17215","","true","false","6","false","false","","5","","false","[photo]","171","United Kingdom","0","","","","","-1","DeCastillayLeon","","false","[http://pbs.twimg.com/media/AtURPX7CIAEtIRk.jpg]","2012-05-20T05:58:53.000Z","","[BreakingNewsChi]","false"
"377","1135","","","","","265665558","2011-03-13T23:42:29.000Z","I'm working/living with refugees, and I can't live differently. 
To make an omelet you have to break eggs.","","@diedigi @stefanobandera i 3 fanatici del #terremoto :) #vogliodormire","-1","","","it","","[270400834, 270970650]","","","","","","false","0","false","","","false","","285","","","","","","","diedigi","","","","","false","","","","false","","","false","204038679298183168","Giorgia Li Castri","","<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>","","","","","","it","","","false","","","4248","http://t.co/U4RqbyOnJt","true","false","","","","","12","","","","","Moscow/Москва-London","0","270400834","","","[terremoto, vogliodormire]","-1","gigipau86","","","","2012-05-20T02:39:46.000Z","","[diedigi, stefanobandera]",""
"1462","830","","","","","357411982","2011-08-18T09:52:25.000Z","Massimo Oddo Personal Press Agent and PR Football&Fashion journalist - “Certe luci della ribalta rovinano la carnagione a una ragazza”","","questa è l'impressionante immagine della torre di Finale Emilia... http://t.co/vlY6I3c8 #terremoto","","","","it","","","","","","","","false","22","false","","","false","","1231","","[photo]","","","","","","","","","","false","","","","false","","","false","204053350977773568","Vittoria Melchioni","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","it","","","false","","","11424","https://t.co/osil3gEmCh","true","false","","","","","68","","","","","Modena Italia ","0","","","","[terremoto]","-1","VickyGolightly","","","[http://pbs.twimg.com/media/AtTvfBqCAAIYnqn.jpg]","2012-05-20T03:38:04.000Z","","",""
"71","320","","","","","50981906","2009-06-26T08:47:50.000Z","","","Pensavo di aver mangiato pesante... Invece no #terremoto","","","","it","","","","","","","","false","0","false","","","false","","11","","","","","","","","","","","","false","","","","false","","","false","204039388164927488","Samuele Scarpa","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","75","","true","false","","","","","1","","","","","Milan","0","","","","[terremoto]","-1","sisisumi","","","","2012-05-20T02:42:35.000Z","","",""
"69","413","LPG última hora","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","204088288422805504","517212225","2012-03-07T04:36:23.000Z","El mejor regalo de Dios @auxydegio","","Tres fallecidos deja terremoto de 5,9 en Bologna, #Italia","","","es","es","false","[38489435]","","265169","http://t.co/4L3K525XC8","true","false","false","22","false","","1235","false","","109","ÜT: 13.710026,-89.20266","","","1","-1","","","uhprensagrafica","[Italia]","","2012-05-20T05:56:54.000Z","false","","","","false","464865","11599","false","204094857814343680","Hp García","38489435","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-05-07T18:44:33.000Z","","Noticias de última hora de LA PRENSA GRÁFICA, fundado en 1915 en El Salvador.","","Tres fallecidos deja terremoto de 5,9 en Bologna, #Italia","es","","RT @uhprensagrafica: Tres fallecidos deja terremoto de 5,9 en Bologna, #Italia","false","es","","1422","","true","false","22","false","false","","0","","false","","73","","0","","","","[Italia]","-1","giodeAuxy","","true","","2012-05-20T06:23:00.000Z","","[uhprensagrafica]","false"
"533","888","","","","","249727753","2011-02-09T17:09:35.000Z","","","Vado a chiudere un po gli occhi... #Terremoto","","","","it","","","","","","","","false","0","false","","","false","","2973","","","","","","","","","","","","false","","","","false","","","false","204061466976985088","steff","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","it","","","false","","","27246","","false","false","","","","","0","","","","","","0","","","","[Terremoto]","-1","Hekamiah70","","","","2012-05-20T04:10:19.000Z","","",""
"1426","1970","CNN International","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","false","204084860841771009","20836885","2009-02-14T08:20:11.000Z","Journalist:Atleticaweek,Observer of France24.Sport manager.PhD-Candidate in ArchitectureBuiltEnvironmentConstructionEngineering http://t.co/K3KjbU0QUF","","Quake hits northern Italy, one dead http://t.co/dmCMwbCf","","","en","en","false","[2097571]","","155813","http://t.co/kdkv08KSgi","true","false","false","31","false","","36374","false","[http://dlvr.it/1bLJ2W]","297","Everywhere","","","2","-1","","","cnni","","","2012-05-20T05:43:17.000Z","false","","","","false","7800448","367","false","204099568009355265","alberto celani","2097571","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2007-03-24T10:48:14.000Z","","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","","Quake hits northern Italy, one dead http://t.co/dmCMwbCf","it","","RT @cnni: Quake hits northern Italy, one dead http://t.co/dmCMwbCf","false","en","","23317","http://t.co/kLMItIquuR","true","false","31","false","false","","97","[http://dlvr.it/1bLJ2W]","false","","137","Milano, Lombardia","0","","","","","-1","albertocelani","","true","","2012-05-20T06:41:43.000Z","","[cnni]","false"
