"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"2229","233","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232500941771919360","54077973","2009-07-06T02:08:34.000Z","Love must be sincere. Hate what is evil; cling to what is good. 
God's Princess | Daughter | Sister | Friend | Wanderlust | Amplifier | Letranite | ❤✈","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","658","false","","7550","false","","2799","Philippines","","","10","-1","","","ANCALERTS","","","2012-08-06T15:38:38.000Z","false","","","","false","4685387","784","false","232501398229630977","Meeeeh 🐐","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...","false","en","","29552","https://t.co/7RbF9cyNVU","true","false","658","false","false","","9","","false","","5714","MNL","0","","","","","-1","LeeAnnSantos26","","true","","2012-08-06T15:40:27.000Z","","[ANCALERTS]","false"
"321","553","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232500941771919360","122452608","2010-03-12T19:22:04.000Z","mother of two, sole provider, loves to banter, rusher, observant, opinionated & unassuming","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","658","false","","7550","false","","1376","Philippines","","","10","-1","","","ANCALERTS","","","2012-08-06T15:38:38.000Z","false","","","","false","4685387","784","false","232502207713533952","mamakaye","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...","false","en","","20389","https://t.co/P7I2IYI9UT","true","false","658","false","false","","1","","false","","5714","Marikina City","0","","","","","-1","kayecubillo","","true","","2012-08-06T15:43:40.000Z","","[ANCALERTS]","false"
"119","382","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232163781634060288","591970615","2012-05-27T16:51:13.000Z","V.Ball Player | Simple | Matakaw pero hindi na taba! | SINGLE! | 17yrs. Old | YOLO is My motto | ADD ME:","","PAGASA 1am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","342","false","","7550","false","","240","Philippines","","","7","-1","","","ANCALERTS","","","2012-08-05T17:18:53.000Z","false","","","","false","4685387","784","false","232164566270877696","Thereza Mariano","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 1am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 1am advisory: Green warning for Metro Manila. Moderate-heavy rains in next 3 hrs. Threat of floods in low-lying ar ...","false","en","","4786","http://t.co/KOvi6KJVAM","true","false","342","false","false","","0","","false","","5714","Pque. City, QC","0","","","","","-1","ImPrettyThereza","","true","","2012-08-05T17:22:00.000Z","","[ANCALERTS]","false"
"352","258","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232406312720412672","62810978","2009-08-04T13:02:06.000Z","Licensed Physiotherapist and your Future MD","","PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","534","false","","7550","false","","14559","Philippines","","","9","-1","","","ANCALERTS","","","2012-08-06T09:22:37.000Z","false","","","","false","4685387","784","false","232422541103357952","Koj Lozada","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...","false","en","","30607","https://t.co/LwfTIPTpQ1","true","false","534","false","false","","3","","false","","5714","Manila, Philippines","0","","","","","-1","kojlozada","","true","","2012-08-06T10:27:06.000Z","","[ANCALERTS]","false"
"170","437","Pie Alvarez","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232513805664534529","100933734","2010-01-01T08:07:18.000Z","#seed #warisover #peace #chocolates #love #icecream #buko #bananaQ  #subic #BeautifulStranger #shapeless #freethinker #indiemusic #privacy #indieform #ownership","","seriously...who planned Manila's waterway system?? Our floods are a result of bad planning...its not just about the garbage.","","","en","en","false","[2817263051]","","3559","http://t.co/4ucu8lx3Jv","false","false","false","5","false","","26","false","","2407","San Vicente, Palawan","","","1","-1","","","MayorPieAlvarez","","","2012-08-06T16:29:45.000Z","false","","","","false","4276","250","false","232573011759341568","seed lucero©","216332449","<a href=""http://lemmaforplaybook.com/"" rel=""nofollow"">Lemma for PlayBook</a>","2010-11-16T12:23:31.000Z","","Municipal Mayor of the most Exotic Jungle Paradise found in the Philippines - SAN VICENTE, Palawan.","","seriously...who planned Manila's waterway system?? Our floods are a result of bad planning...its not just about the garbage.","en","","RT @PieAlvarez: seriously...who planned Manila's waterway system?? Our floods are a result of bad planning...its not just about the garbage.","false","en","","5876","http://t.co/ih4rcvUrm2","false","false","5","false","false","","11","","false","","49","","0","","","","","-1","seedlucero","","false","","2012-08-06T20:25:01.000Z","","[PieAlvarez]","false"
"1046","550","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232461906097623040","168453226","2010-07-19T10:50:37.000Z","i don't exactly know what i mean by that, but i mean it","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","2534","false","","7550","false","","7792","Philippines","","","71","-1","","","ANCALERTS","","","2012-08-06T13:03:32.000Z","false","","","","false","4685387","784","false","232462697390817280","Danielle Francisco","44728980","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","false","en","","67053","","true","false","2534","false","false","","3","","false","","5714","","0","","","","","-1","danifran_","","true","","2012-08-06T13:06:40.000Z","","[ANCALERTS]","false"
"4902","204","","","","","480579546","2012-02-01T17:16:46.000Z","The Originals. Shadowhunters. Riverdale. The Flash. Supernatural. Arrow. Supergirl. DC's Legends of Tomorrow. Marvel's Agents of SHIELD. Teen Wolf. And MORE!","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers. #TVDPHFamily","","","","en","","","","","","","","false","2","false","","","false","","246","","","","","","","","","","","","false","","","","false","","","false","232502610396073986","TVdiariesPH 📺✏️📒","","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","","","","","","en","","","false","","","13067","https://t.co/OAgp0HuGJ8","true","false","","","","","5","","","","","Manila, Philippines","0","","","","[TVDPHFamily]","-1","TVdiariesPH","","","","2012-08-06T15:45:16.000Z","","",""
"623","1747","","","","","572374808","2012-05-06T06:44:48.000Z","{08.16.12} {carly follows} {08.13.13} ♡ so lucky to have you ♡","","@AriGreyPH along Abad Santos Manila it's abt WAIST deep flood. My school is in there","232483888361009152","","","en","","","","","","","","false","0","false","","","false","","1133","","","","","","","kingthepolo","","","","","false","","","","false","","","false","232484109312737280","","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","13570","","false","false","","","","","2","","","","","","0","511885815","","","","-1","jacobasburrito","","","","2012-08-06T14:31:45.000Z","","",""
"432","95","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232500941771919360","60317134","2009-07-26T14:40:55.000Z","mutant and proud","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","658","false","","7550","false","","1077","Philippines","","","10","-1","","","ANCALERTS","","","2012-08-06T15:38:38.000Z","false","","","","false","4685387","784","false","232501100446613504","akee","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...","false","en","","75944","","false","false","658","false","false","","18","","false","","5714","hogwarts","0","","","","","-1","akee013","","true","","2012-08-06T15:39:16.000Z","","[ANCALERTS]","false"
"558","315","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232461906097623040","34853032","2009-04-24T04:59:10.000Z","I’ll be in my bedroom, making no noise and pretending I’m not there.","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","2534","false","","7550","false","","121125","Philippines","","","71","-1","","","ANCALERTS","","","2012-08-06T13:03:32.000Z","false","","","","false","4685387","784","false","232468795908816896","ton•cat•su","44728980","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","false","en","","43462","https://t.co/56tLozDmS1","true","false","2534","false","false","","16","","false","","5714","wakanda forever ","0","","","","","-1","akavxxii","","true","","2012-08-06T13:30:54.000Z","","[ANCALERTS]","false"
