"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"363","190","","","","","86666344","2009-11-01T05:25:50.000Z","","","RT @BBCWorld: Philippine capital hit by floods http://t.co/T8pA0uut","","","","en","","[742143]","","","","","","false","0","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","232707082707673088","Gil Sunglao™","","<a href=""http://mobile.ubersocial.com/sherlockholmes2"" rel=""nofollow"">Sherlock Holmes 2 for BlackBerry</a>","","","","","","en","","","false","","","8335","","true","false","","","","","0","[http://bbc.in/Q8w2kX]","","","","","0","","","","","-1","gilsunglao","","","","2012-08-07T05:17:46.000Z","","[BBCWorld]",""
"321","553","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232500941771919360","122452608","2010-03-12T19:22:04.000Z","mother of two, sole provider, loves to banter, rusher, observant, opinionated & unassuming","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","658","false","","7550","false","","1376","Philippines","","","10","-1","","","ANCALERTS","","","2012-08-06T15:38:38.000Z","false","","","","false","4685387","784","false","232502207713533952","mamakaye","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...","false","en","","20389","https://t.co/P7I2IYI9UT","true","false","658","false","false","","1","","false","","5714","Marikina City","0","","","","","-1","kayecubillo","","true","","2012-08-06T15:43:40.000Z","","[ANCALERTS]","false"
"5897","2477","","","","","16604265","2008-10-05T18:34:33.000Z","I wake up for coffee and stay up for social media | @TweetUpMNL | #rescuePH | @communePH | digital strategist | coffee geek | woman entrepreneur","","@carlosceldran hi carlos! please use #rescuePH hashtag too! :)","232726928082231296","","","en","","[14123558]","","","","","","false","0","false","","","false","","3652","","","","","","","carlosceldran","","","","","false","","","","false","","","false","232727227924615169","Rosario Juan","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","","","","","","en","","","false","","","72863","https://t.co/NWs04yXP8h","true","false","","","","","294","","","","","Manila, Philippines","0","14123558","","","[rescuePH]","-1","juanxi","","","","2012-08-07T06:37:49.000Z","","[carlosceldran]",""
"338","751","Relationships 🥀","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232706407386976256","60500997","2009-07-27T05:37:33.000Z","Welcome Back, EUNHAE! 💕","","""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","","","en","en","false","[89423854]","","134541","https://t.co/1CpAoU4NOF","false","false","false","1261","false","","11054","false","","1078","Philippines","","","158","-1","","","ohteenquotes","[PrayForThePhilippines, rescuePH]","","2012-08-07T05:15:05.000Z","false","","","","false","7202326","2447","false","232719346844176386","지","89423854","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-11-12T11:11:28.000Z","","Wander • Writer/Author from PH • Journal for the world to interpret • Page since 2009 • ohteenquotesweb@gmail.com | I'm @claraquiambao","","""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","en","","RT @ohteenquotes: ""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","false","en","","53210","","true","false","1261","false","false","","0","","false","","3749","","0","","","","[PrayForThePhilippines, rescuePH]","-1","gokickitinthe_","","true","","2012-08-07T06:06:30.000Z","","[ohteenquotes]","false"
"352","258","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232406312720412672","62810978","2009-08-04T13:02:06.000Z","Licensed Physiotherapist and your Future MD","","PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","534","false","","7550","false","","14559","Philippines","","","9","-1","","","ANCALERTS","","","2012-08-06T09:22:37.000Z","false","","","","false","4685387","784","false","232422541103357952","Koj Lozada","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 5pm advisory: Green warning for Metro Manila. Heavy-intense rains in next 3 hrs. Threat of floods in low-lying are ...","false","en","","30607","https://t.co/LwfTIPTpQ1","true","false","534","false","false","","3","","false","","5714","Manila, Philippines","0","","","","","-1","kojlozada","","true","","2012-08-06T10:27:06.000Z","","[ANCALERTS]","false"
"121","272","Relationships 🥀","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232706407386976256","53016207","2009-07-02T09:12:41.000Z","I♥GOD & my Family. I am a NATURE L♥VER. I♥NUMBERS. I am a PROUD B♥ICE & FOREVER Y♥NGHWA BIASED. I am an OTAKU & ANIME L♥VER. So let us be FRIENDS every♥ne^^","","""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","","","en","en","false","[89423854]","","134541","https://t.co/1CpAoU4NOF","false","false","false","1261","false","","11054","false","","5181","Philippines","","","158","-1","","","ohteenquotes","[PrayForThePhilippines, rescuePH]","","2012-08-07T05:15:05.000Z","false","","","","false","7202326","2447","false","232706533258035200","태야 게일","89423854","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-11-12T11:11:28.000Z","","Wander • Writer/Author from PH • Journal for the world to interpret • Page since 2009 • ohteenquotesweb@gmail.com | I'm @claraquiambao","","""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","en","","RT @ohteenquotes: ""I'd rather have classes than seeing people of my country suffering and dying."" #PrayForThePhilippines #rescuePH","false","en","","10015","","true","false","1261","false","false","","0","","false","","3749","Philippines","0","","","","[PrayForThePhilippines, rescuePH]","-1","thea_gail18","","true","","2012-08-07T05:15:35.000Z","","[ohteenquotes]","false"
"4902","204","","","","","480579546","2012-02-01T17:16:46.000Z","The Originals. Shadowhunters. Riverdale. The Flash. Supernatural. Arrow. Supergirl. DC's Legends of Tomorrow. Marvel's Agents of SHIELD. Teen Wolf. And MORE!","","PAGASA 9pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers. #TVDPHFamily","","","","en","","","","","","","","false","2","false","","","false","","246","","","","","","","","","","","","false","","","","false","","","false","232502610396073986","TVdiariesPH 📺✏️📒","","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","","","","","","en","","","false","","","13067","https://t.co/OAgp0HuGJ8","true","false","","","","","5","","","","","Manila, Philippines","0","","","","[TVDPHFamily]","-1","TVdiariesPH","","","","2012-08-06T15:45:16.000Z","","",""
"432","95","ABS-CBN News Channel","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","232500941771919360","60317134","2009-07-26T14:40:55.000Z","mutant and proud","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","","","en","en","false","[44728980]","","543375","http://t.co/A0nEVmvNKm","false","false","false","658","false","","7550","false","","1077","Philippines","","","10","-1","","","ANCALERTS","","","2012-08-06T15:38:38.000Z","false","","","","false","4685387","784","false","232501100446613504","akee","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near rivers.","en","","RT @ANCALERTS: PAGASA 11:30pm advisory: RED warning for Metro Manila. Heavy-intense rains in next 3 hrs. Floods in low-lying areas, near ...","false","en","","75944","","false","false","658","false","false","","18","","false","","5714","hogwarts","0","","","","","-1","akee013","","true","","2012-08-06T15:39:16.000Z","","[ANCALERTS]","false"
"2741","1563","Tonyo Cruz","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","232724172093140992","36091293","2009-04-28T15:20:43.000Z","I talk for a living! Social and Digital Content Strategist for @enjoyGLOBE. 💙 UP Film batch 2007. 🎥 [Views are my own.]","","Walked thru flood waters? Take one dose of Doxycycline (200mg) to guard against leptospirosis /via @thomasmmm #RescuePH","","","en","en","false","[4524501, 16994507]","","139360","https://t.co/tu1m6lRLdu","true","false","false","32","false","","559","false","","18052","Manila, Philippines","","","6","-1","","","tonyocruz","[RescuePH]","","2012-08-07T06:25:41.000Z","false","","[thomasmmm]","","false","19611","1088","false","232728221974667265","Maxine Adriana","4524501","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-13T17:55:15.000Z","","Blogger | Columnist | Co-founder of @TweetUpMNL & #TXTPower | Co-convenor of @MagingLODI & @TheMovementPHL","","Walked thru flood waters? Take one dose of Doxycycline (200mg) to guard against leptospirosis /via @thomasmmm #RescuePH","en","[16994507]","RT @tonyocruz: Walked thru flood waters? Take one dose of Doxycycline (200mg) to guard against leptospirosis /via @thomasmmm #RescuePH","false","en","","44685","https://t.co/3WXEPMuH7X","true","false","32","false","false","","25","","false","","14575","Quezon City, Philippines","0","","","","[RescuePH]","-1","maxiiieee","","true","","2012-08-07T06:41:46.000Z","","[tonyocruz, thomasmmm]","false"
"1156","698","CNN News (RSS feed)","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","false","232713014531457024","49931127","2009-06-23T09:20:11.000Z","50% hungry, 50% sleepy","","Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http://t.co/QT6qx0sg","","","en","en","false","[31559242]","","79972","http://t.co/H1UtfkXg7i","false","false","false","499","false","","465","false","[http://bit.ly/Q8FnJv]","8050","","","","45","-1","","","cnnbreak","","","2012-08-07T05:41:20.000Z","false","","","","false","9856","1","false","232731782972338176","Angel","31559242","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-04-15T23:25:28.000Z","","Un-official CNN RSS feed.","","Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http://t.co/QT6qx0sg","en","","RT @cnnbreak: Flooding chaos in Philippine's capital: Flood waters were rising in parts of the Philippine capital on Tuesday a... http:/ ...","false","en","","49699","https://t.co/sSyIpt4NMp","true","false","499","false","false","","2","","false","","0","","0","","","","","-1","anggeabriol","","false","","2012-08-07T06:55:55.000Z","","[cnnbreak]","false"
