"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"1652","1206","ABS-CBN News Channel","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","275073733453037568","55471508","2009-07-10T04:38:49.000Z","Mr. KnowItAll | IG: makiutot","","Typhoon Bopha will be the 16th storm to enter PH this year","","","en","en","false","[44728980]","","543373","http://t.co/A0nEVmvNKm","false","false","false","69","false","","7550","false","","720","Philippines","","","2","-1","","","ANCALERTS","","","2012-12-02T03:07:43.000Z","false","","","","false","4685387","784","false","275075358007627776","Joseph Obiedo","44728980","<a href=""http://www.writelonger.com"" rel=""nofollow"">Write Longer</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","Typhoon Bopha will be the 16th storm to enter PH this year","en","","RT @ANCALERTS: Typhoon Bopha will be the 16th storm to enter PH this year","false","en","","54199","","true","false","69","false","false","","0","","false","","5714","Ilocos Region, Republic of the","0","","","","","-1","makiutot","","true","","2012-12-02T03:14:10.000Z","","[ANCALERTS]","false"
"256","268","Vladi Rett","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","274478631538016258","533338694","2012-03-22T17:52:58.000Z","Estudiante de Derecho en la UMH","","Gran noche! @alberto_alacid @LuisM_Murcia @josema_stars9 @FranLinde3 #Esteban #JoseLuis #Pablo e inflitrado http://t.co/wlywjbTa","","","es","es","false","[424965192, 505118229]","","234","","true","false","false","3","false","","0","false","","127","","","","0","-1","","","iVlaad","[Esteban, JoseLuis, Pablo]","[http://pbs.twimg.com/media/A88k3HPCQAA3ENg.jpg]","2012-11-30T11:43:00.000Z","false","","[alberto_alacid, LuisM_Murcia, FranLinde3]","","false","72","97","false","274479691333791745","Fran Linde","893209406","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2012-10-20T13:05:12.000Z","","","","Gran noche! @alberto_alacid @LuisM_Murcia @josema_stars9 @FranLinde3 #Esteban #JoseLuis #Pablo e inflitrado http://t.co/wlywjbTa","es","[424965192, 505118229, 533338694]","RT @VdeVlad: Gran noche! @alberto_alacid @LuisM_Murcia @josema_stars9 @FranLinde3 #Esteban #JoseLuis #Pablo e inflitrado http://t.co/wly ...","false","es","","1345","","false","false","3","false","false","","3","","false","[photo]","361","Elche","0","","","","","-1","FranLinde3","","false","","2012-11-30T11:47:12.000Z","","[alberto_alacid, LuisM_Murcia]","false"
"7518","2447","","","","","30420778","2009-04-11T08:12:13.000Z","I was born modest. Not all over, but in spots.","","Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb","","","","en","","","","","","","","false","0","false","","","false","","1010","","[photo]","","","","","","","","","","false","","","","false","","","false","274728321307271168","Carlos Javier","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","49072","http://t.co/pCMRjHCeBQ","true","false","","","","","96","","","","","Bacolod","0","","","","","-1","carabaopower","","","[http://pbs.twimg.com/media/A9AH8-HCYAESlNX.jpg]","2012-12-01T04:15:11.000Z","","",""
"182","269","Mario Marroquín","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","272658890666164224","431794655","2011-12-08T18:02:59.000Z","''Han cambiado la hora, lo dijo anoche televisión''","","Desear suerte a @jon_otxoa @inigocereceda11 #Pablo #Kevin y al ex compañero @JavierPierce34 en su andadura con la tricolor #APorEllos","","","es","es","false","[426101397, 449846593, 376333133]","","1895","","true","false","false","3","false","","0","false","","749","Bilbao ","","","0","-1","","","Marroquin_10","[Pablo, Kevin, APorEllos]","","2012-11-25T11:11:59.000Z","false","","[jon_otxoa, inigocereceda11]","","false","174","194","false","272708164141600770","JAVI","426101397","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2011-12-01T21:00:49.000Z","","Damas y caballeros con todos ustedes...","","Desear suerte a @jon_otxoa @inigocereceda11 #Pablo #Kevin y al ex compañero @JavierPierce34 en su andadura con la tricolor #APorEllos","es","[449846593, 376333133]","RT @Marroquin_10: Desear suerte a @jon_otxoa @inigocereceda11 #Pablo #Kevin y al ex compañero @JavierPierce34 en su andadura con la tric ...","false","es","","1739","","true","false","3","false","false","","0","","false","","64","Txurdinaga","0","","","","[Pablo, Kevin]","-1","JaviGarccia95","","false","","2012-11-25T14:27:47.000Z","","[Marroquin_10, jon_otxoa, inigocereceda11]","false"
"706","192","","","","","303015861","2011-05-22T04:53:34.000Z","A graça é obra de Deus do início ao fim ✡️👑","","a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...","","","","pt","","","","","","","","false","0","false","","","false","","352","","","","","","","","","","","","false","","","","false","","","false","272772643160219648","1 9 9 3 ☪️","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","pt","","","false","","","47788","https://t.co/z1LuYG4LCm","true","false","","","","","8","","","","","Anéis de Saturno ","0","","","","[Pablo]","-1","Anny_ellyFeliix","","","","2012-11-25T18:44:00.000Z","","",""
"353","335","","","","","605661065","2012-06-11T19:02:51.000Z","","","#pablo,o vienes ya o te quedas sin hermana a causa de una hipotermia. Tengo friooooo!","","","","es","","","","","","","","false","0","false","","","false","","682","","","","","","","","","","","","false","","","","false","","","false","273870380622573568","Delia Salinas","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","es","","","false","","","6286","","true","false","","","","","0","","","","","Palencia, Castilla y León","0","","","","[pablo]","-1","Delia_salinas","","","","2012-11-28T19:26:01.000Z","","",""
"143","219","","","","","48684562","2009-06-19T11:51:32.000Z","Unpredictable.","","""@bicolanodevil: This is Typhoon Bopha... a real monster... http://t.co/bcXE2vwf""","","","","en","","[32740553]","","","","","","false","0","false","","","false","","625","","[photo]","","","","","","","","","","false","","","","false","","","false","275042495639994370","Marco Seb Mercado","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","3121","","true","false","","","","","1","","","","","Philippines","0","","","","","-1","sebastianized","","","[http://pbs.twimg.com/media/A9EQbwVCEAAiUv8.jpg]","2012-12-02T01:03:35.000Z","","[bicolanodevil]",""
"750","2201","","","","","223596638","2010-12-06T20:38:32.000Z","50% sarcasmo y 50% muecas","","#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h","","","","und","","","","","","","","false","0","false","","","false","","5897","","","","","","","","","","","","false","","","","false","","","false","272851147960750080","Conty Sunsin","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","en","","","false","","","13806","","true","false","","","","","1","[http://instagr.am/p/SeMFXLH8Kx/]","","","","tegucigalpa","0","","","","[el, cumpleaños, de, pablo, escobar, my, dad, birthday, celebration]","-1","iamcontysunsin","","","","2012-11-25T23:55:57.000Z","","",""
"50","53","","","","","75993477","2009-09-21T09:34:32.000Z","","","Sunny Sunday. ♥ we're hoping typhoon Pablo won't hit our shores.","","","","en","","","","","","","","false","0","false","","","false","","25","","","","","","","","","","","","false","","","","false","","","false","275035356942983168","Jellie Casino","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","en","","","false","","","935","http://t.co/YEfBJPiAn0","false","false","","","","","0","","","","","Philippines","0","","","","","-1","chicsinglemommi","","","","2012-12-02T00:35:13.000Z","","",""
"309","623","","","","","119436530","2010-03-03T17:03:10.000Z","De pequeña quería ser Matilda; ahora, convertirme en Allie. Maniática de las tildes • Maestra • Musera,que no musa. Nunca me falta una nariz roja de payaso 💛💛","","Madrinas y apadrinados #SantaCecilia2012 @Carmen_Oboe @juanandres2307 #Pablo http://t.co/q92sofna","","","","es","","[342641048, 372762641]","","","","","","false","2","false","","","false","","1146","","[photo]","","","","","","","","","","false","","","","false","","","false","272774882943717377","María Teresa Liza","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","es","","","false","","","10531","https://t.co/33TQNZm7FS","true","false","","","","","4","","","","","De la huerta murciana, pijo","0","","","","[SantaCecilia2012, Pablo]","-1","mariateliza","","","[http://pbs.twimg.com/media/A8kXT5ICUAAu7rK.jpg]","2012-11-25T18:52:55.000Z","","[Carmen_Oboe, juanandres2307]",""
