"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"36","163","","","","","947699732","2012-11-14T12:53:41.000Z","","","#PabloPh Palubugin mo mga barko ng China","","","","tl","","","","","","","","false","0","false","","","false","","233","","","","","","","","","","","","false","","","","false","","","false","275200910316146688","Mark Oliver Sabaria","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","460","","true","false","","","","","3","","","","","","0","","","","[PabloPh]","-1","KramReviloIgop","","","","2012-12-02T11:33:04.000Z","","",""
"965","572","","","","","101466674","2010-01-03T12:20:44.000Z","Works at SWA-Ultimate Online Business  pls visit my Blog https://t.co/jvDI4REIjK","","Let's be prepared! RT @jeffcanoy: (Typhoon) Pablo is expected to be stronger than Sendong.","","","","en","","[108281230]","","","","","","false","0","false","","","false","","206","","","","","","","","","","","","false","","","","false","","","false","275086955249807360","ryan ramos","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","5403","https://t.co/jvDI4REIjK","true","false","","","","","3","","","","","Caloocan","0","","","","","-1","mvp_ryanramos","","","","2012-12-02T04:00:15.000Z","","[jeffcanoy]",""
"7518","2447","","","","","30420778","2009-04-11T08:12:13.000Z","I was born modest. Not all over, but in spots.","","Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb","","","","en","","","","","","","","false","0","false","","","false","","1010","","[photo]","","","","","","","","","","false","","","","false","","","false","274728321307271168","Carlos Javier","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","49072","http://t.co/pCMRjHCeBQ","true","false","","","","","96","","","","","Bacolod","0","","","","","-1","carabaopower","","","[http://pbs.twimg.com/media/A9AH8-HCYAESlNX.jpg]","2012-12-01T04:15:11.000Z","","",""
"359","762","","","","","66605687","2009-08-18T05:26:08.000Z","A Bukidnon based photographer. A Nikon user. Writes at http://t.co/3pdAxw3Faz","","in bukidnon, stars are still visible. #pabloPH","","","","en","","","","","","","","false","0","false","","","false","","776","","","","","","","","","","","","false","","","","false","","","false","275225249870651394","Griffith Boniel","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","8898","http://t.co/cbQLVf8n0A","true","false","","","","","5","","","","","Mindanao","0","","","","[pabloPH]","-1","gboniel","","","","2012-12-02T13:09:47.000Z","","",""
"1553","351","Irene of Mindanao 🌟","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","false","275083927608229889","67360865","2009-08-20T16:58:45.000Z","Live life well-traveled, well-fed and well-dressed. Don't forget to take a lot of photos along the way, too! https://t.co/nKvXdKAQhA","","Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need to evacuate","","","en","en","false","[1580681]","","74359","http://www.Mindanaoan.com","true","false","false","5","false","","279","false","","5173","New York City - Philippines","","","0","-1","","","mindanaoan","[PabloPH]","","2012-12-02T03:48:13.000Z","false","","","","false","9447","1686","false","275086229647802368","Mikko Mahinay","1580681","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-03-20T02:51:24.000Z","","#SocialMedia specialist based in #NewYork. Multi-awarded #blogger. @mindanaoGSD columnist. @StateIVLP Alumna. Int'l speaker. Kit: https://t.co/s2jTXF0eph","","Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need to evacuate","en","","RT @mindanaoan: Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need  ...","false","en","","75627","https://t.co/SVY14bX40U","true","false","5","false","false","","14","","false","","8950","Makati City","0","","","","[PabloPH]","-1","MikkoMahinay","","false","","2012-12-02T03:57:22.000Z","","[mindanaoan]","false"
"706","192","","","","","303015861","2011-05-22T04:53:34.000Z","A graça é obra de Deus do início ao fim ✡️👑","","a Mãe do meu amigo #Pablo. morreu :( ta muito tenso o clima...","","","","pt","","","","","","","","false","0","false","","","false","","352","","","","","","","","","","","","false","","","","false","","","false","272772643160219648","1 9 9 3 ☪️","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","pt","","","false","","","47788","https://t.co/z1LuYG4LCm","true","false","","","","","8","","","","","Anéis de Saturno ","0","","","","[Pablo]","-1","Anny_ellyFeliix","","","","2012-11-25T18:44:00.000Z","","",""
"1419646","397","PAGASA-DOST","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","275214979068723200","170965705","2010-07-26T06:37:05.000Z","The Official Gazette is the official journal of the Republic of the Philippines, edited in the Office of the President of the Philippines.","","At 8PM 02/DEC/2012: The eye of Typhoon ""PABLO"" was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 °N 134.6 °E)","","","en","en","false","[202890266]","","98787","http://t.co/06Fo3ebdIW","false","false","false","77","false","","4842","false","","4","Quezon City, PHILIPPINES","","","7","-1","","","dost_pagasa","","","2012-12-02T12:28:58.000Z","true","","","","false","5923421","14","false","275216999653707776","Official Gazette PH","202890266","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2010-10-15T01:42:39.000Z","","Official Twitter Account of Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA-DOST)","","At 8PM 02/DEC/2012: The eye of Typhoon ""PABLO"" was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 °N 134.6 °E)","en","","RT @dost_pagasa: At 8PM 02/DEC/2012: The eye of Typhoon ""PABLO"" was located at 870 km Southeast of Hinatuan, Surigao Del Sur (06.4 °N 13 ...","false","en","","90025","http://t.co/AuJfvUvXHL","false","false","77","false","false","","2879","","false","","23","Manila, Philippines","0","","","","","-1","govph","","true","","2012-12-02T12:37:00.000Z","","[dost_pagasa]","false"
"353","335","","","","","605661065","2012-06-11T19:02:51.000Z","","","#pablo,o vienes ya o te quedas sin hermana a causa de una hipotermia. Tengo friooooo!","","","","es","","","","","","","","false","0","false","","","false","","682","","","","","","","","","","","","false","","","","false","","","false","273870380622573568","Delia Salinas","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","es","","","false","","","6286","","true","false","","","","","0","","","","","Palencia, Castilla y León","0","","","","[pablo]","-1","Delia_salinas","","","","2012-11-28T19:26:01.000Z","","",""
"611","1368","","","","","404678109","2011-11-04T08:02:35.000Z","Your opinion is not included in my Recipe! Pastry Chef :) IAN CAESAR","","The eye of Typhoon ""PABLO"" was located at 820 km Southeast of Hinatuan,Surigao Del Sur #keepsafe everyone!","","","","en","","","","","","","","false","0","false","","","false","","570","","","","","","","","","","","","false","","","","false","","","false","275225006605217792","Cy Serrano♛","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","12307","","true","false","","","","","4","","","","","","0","","","","[keepsafe]","-1","OfficialChinnie","","","","2012-12-02T13:08:49.000Z","","",""
"750","2201","","","","","223596638","2010-12-06T20:38:32.000Z","50% sarcasmo y 50% muecas","","#el #cumpleaños #de #pablo #escobar #my #dad #birthday #celebration 😀 http://t.co/R5O7L48h","","","","und","","","","","","","","false","0","false","","","false","","5897","","","","","","","","","","","","false","","","","false","","","false","272851147960750080","Conty Sunsin","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","en","","","false","","","13806","","true","false","","","","","1","[http://instagr.am/p/SeMFXLH8Kx/]","","","","tegucigalpa","0","","","","[el, cumpleaños, de, pablo, escobar, my, dad, birthday, celebration]","-1","iamcontysunsin","","","","2012-11-25T23:55:57.000Z","","",""
