"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"81955","282","","","","","74335784","2009-09-15T02:05:45.000Z","Medio de comunicación del Oriente venezolano con 28 años en el mundo editorial. Pionero del periodismo digital en esta región del país #BuscatuNorte","","Tres días de duelo nacional decreta el Presidente Chávez por tragedia en Amuay #Falcón","","","","es","","","","","","","","false","1","false","","","false","","10","","","","","","","","","","","","true","","","","false","","","false","239434821821161473","Diario El Norte","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","es","","","false","","","221219","https://t.co/2xla04V6lU","false","false","","","","","721","","","","","Anzoátegui, Venezuela","0","","","","[Falcón]","-1","DiarioElNorte","","","","2012-08-25T18:51:24.000Z","","",""
"183","229","Noticiero Venevisión","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","239428312567541761","242067879","2011-01-23T21:31:40.000Z","La vida es un poco complicada pero sigueme y te ayudare a verla de otra manera #followback, El beibol mi pasión","","#IMAGENESVV Impactantes imágenes de la refinería Amuay tras la explosión de esta madrugada  http://t.co/D2vXrusX","","","es","es","false","[44145131]","","454733","http://t.co/r92McFgpoO","false","false","false","21","false","","9523","false","[http://is.gd/DYQeFR]","3","Caracas - Venezuela","","","5","-1","","","noticierovv","[IMAGENESVV]","","2012-08-25T18:25:32.000Z","false","","","","false","3297524","6232","false","239434821795991553","EudoJVL","44145131","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-06-02T16:01:40.000Z","","Programa Informativo venezolano que difunde sus noticias por TV a través de VENEVISION, y por su sitio Web http://t.co/AqzlTxruMF","","#IMAGENESVV Impactantes imágenes de la refinería Amuay tras la explosión de esta madrugada  http://t.co/D2vXrusX","es","","RT @noticierovv: #IMAGENESVV Impactantes imágenes de la refinería Amuay tras la explosión de esta madrugada  http://t.co/D2vXrusX","false","es","","1118","https://t.co/AV5CWDcAPU","false","false","21","false","false","","0","[http://is.gd/DYQeFR]","false","","25","Venezuela","0","","","","[IMAGENESVV]","-1","Eudo_Villalobos","","true","","2012-08-25T18:51:24.000Z","","[noticierovv]","false"
"117","370","","","","","167604136","2010-07-17T01:04:00.000Z","Amo a mi familia y amigos. Todo. tiene sentido si tu D*os guías mi vida! Amo la Música, el cine, mis Estudios. Músico y Estudiante!","","Lamentable lo q paso en la Refinería de  Amuay! #Fuerzapuntofijo","","","","es","","","","","","","","false","0","false","","","false","","5","","","","","","","","","","","","false","","","","false","","","false","239447299854589952","Karen Rosangel","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","es","","","false","","","1032","http://t.co/OMKrcFFBCk","false","false","","","","","1","","","","","venezuela/Maracaibo","0","","","","[Fuerzapuntofijo]","-1","karenrosangel","","","","2012-08-25T19:40:59.000Z","","",""
"653","563","","","","","93236202","2009-11-28T18:42:29.000Z","Filtrando las Noticias Economicas que realmente importan  https://t.co/kMRKbNe32k","","Cronologia de una Tragedia anunciada: Segundo incendio refineria de Amuay Jun. 2011http://bit.ly/QDauwT #HechoEnSocialismo","","","","es","","","","","","","","false","0","false","","","false","","758","","","","","","","","","","","","false","","","","false","","","false","239437019611271168","Argimiro","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","en","","","false","","","34197","http://t.co/CSQx1EejpU","false","false","","","","","28","","","","","Entre Macondo y Gulch","0","","","","[HechoEnSocialismo]","-1","MrKolbe","","","","2012-08-25T19:00:08.000Z","","",""
"1268","3262","JUSTICIA CAMPESINA","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","false","239431974480117761","129949095","2010-04-05T22:04:43.000Z","Abogada egresada UCV defensora de la democracia","","Tanta ignominia de parte de un Presidente Saliente, incapaz de dar la cara ante tragedia de #Amuay. Chavez odia a los venezolanos!!","","","es","es","false","[2476583397]","","28580","","false","false","false","1","false","","88","false","","4048","#VenezuelaSomosTodos","","","0","-1","","","PJ_Campesina","[Amuay]","","2012-08-25T18:40:05.000Z","false","","","","false","7953","648","false","239434322690592768","Helena Morales","113036520","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2010-02-10T13:59:49.000Z","","Trabajando arduamente por una nueva Venezuela, #UniónyCambio es el camino!! Cuenta Oficial de #PrimeroJusticiaCampesina","","Tanta ignominia de parte de un Presidente Saliente, incapaz de dar la cara ante tragedia de #Amuay. Chavez odia a los venezolanos!!","es","","RT @ElGringo2012: Tanta ignominia de parte de un Presidente Saliente, incapaz de dar la cara ante tragedia de #Amuay. Chavez odia a los  ...","false","es","","42523","","true","false","1","false","false","","4","","false","","69","ÜT: 10.475196,-66.819224","0","","","","[Amuay]","-1","helenahilla","","false","","2012-08-25T18:49:25.000Z","","[elgringo2012]","false"
"448","1904","","","","","116995432","2010-02-24T06:09:59.000Z","Niño Profeta, Arquitecto, Musico, Democrata & Antichavista & Antimadurista, Member of the band Espacio Mango","","#Amuay Judibana , Matando la gallina de los huevos de oro http://t.co/0p6Y6WCR","","","","es","","","","","","","","false","0","false","","","false","","46","","[photo]","","","","","","","","","","false","","","","false","","","false","239449438953816064","Prophetchild","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","","","","es","","","false","","","1977","","false","false","","","","","2","","","","","Casi siempre ando extraviado","1","","","","[Amuay]","-1","Prophetchild","","","[http://pbs.twimg.com/media/A1Kx_v7CQAAd1SV.jpg]","2012-08-25T19:49:30.000Z","","",""
"7649","7696","Rodrigo Pérez Bravo","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","false","239442312034390016","300371210","2011-05-17T17:11:47.000Z","","","No fue el Imperio el que tomo refinería de amuay fue el chavismo inepto que lo destruyó","","","es","es","false","[79538731]","","460661","","true","false","false","7","false","","187","false","","19","Caracas, Venezuela","","","0","-1","","","rodrigopb13","","","2012-08-25T19:21:10.000Z","false","","","","false","35797","39175","false","239445714432823297","Gran Torta","79538731","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-10-03T18:54:10.000Z","","Abogado UCV Post-grado Derecho Laboral SAPIENZA Roma Italia, Prof USM PROCESAL. PRESIDENTE TRIBUNAL DISCIPLINARIO DE FEDERACIÓN DE COLEGIOS DE ABOGADO.","","No fue el Imperio el que tomo refinería de amuay fue el chavismo inepto que lo destruyó","es","","RT @rodrigopb13: No fue el Imperio el que tomo refinería de amuay fue el chavismo inepto que lo destruyó","false","es","","190248","","false","false","7","false","false","","26","","false","","83958","","0","","","","","-1","GranTorta","","false","","2012-08-25T19:34:41.000Z","","[rodrigopb13]","false"
"85","223","Mundo Consola","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","239434042192322560","138940433","2010-05-01T02:39:45.000Z","Soy 100% GUARO... y CHAVISTA de CORAZÓN","","Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro de acopio del c.c!","","","es","es","false","[51466517, 110737516]","","18660","http://t.co/Bu4hR8qayH","true","false","false","1","false","","23","false","","111","","","","0","-1","","","mundoconsola","[Falcón, Paraguaná]","","2012-08-25T18:48:18.000Z","false","","[tusambil]","","false","3493","120","false","239441809506455553","Joel Alvarado","51466517","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-06-27T15:27:37.000Z","","Nuestra misión es ofrecer los mejores recursos tecnológicos disponibles para el trabajo, la diversión y el entretenimiento. (Barquisimeto, Paraguaná, Margarita)","","Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro de acopio del c.c!","es","[110737516]","RT @mundoconsola: Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro ...","false","es","","1798","","true","false","1","false","false","","0","","false","","1440","VENEZUELA","0","","","","[Falcón, Paraguaná]","-1","joelcamacaro","","false","","2012-08-25T19:19:10.000Z","","[mundoconsola, tusambil]","false"
"3267","2898","","","","","33988809","2009-04-21T18:20:39.000Z","#tcot","","http://t.co/n9E670qs - #Venezuela Oil Refinery Blast Kills","","","","en","","","","","","","","false","0","false","","","false","","38","","","","","","","","","","","","false","","","","false","","","false","239433613836435456","leyalet","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","64770","","true","false","","","","","128","[http://huff.to/Ta7RVl]","","","","USA","0","","","","[Venezuela]","-1","leyalet","","","","2012-08-25T18:46:36.000Z","","",""
"84648","3376","","","","","97966452","2009-12-19T19:30:14.000Z","Blog Informativo, dirigido por Alejandro Jiménez: Periodista || Blogger | Excorresponsal de Noti Rumbos | Excolumnista Semanario Las Verdades | TV-Falcón |","","Tránsito vehicular hacia Judibana será restablecido en las próximas horas http://t.co/p6Pb8IhE #Falcon #Venezuela #Correo","","","","es","","","","","","","","false","5","false","","","false","","4669","","","","","","","","","","","","false","","","","false","","","false","239436952523386880","Noticias Falcón","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","es","","","false","","","129703","","true","false","","","","","0","[http://bit.ly/RaV4R9]","","","","Falcón | Venezuela","0","","","","[Falcon, Venezuela, Correo]","-1","NoticiasFalcon","","","","2012-08-25T18:59:52.000Z","","",""
