"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"329","794","#SOSve ManuelSerrano","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","false","239478313649860608","141201047","2010-05-07T12:35:58.000Z","Administradora y Abogada Antichavista y  defensora de la democracia y Libertad en mi Pais. Estamos solos..  Simón Bolívar liberto 5 naciones","","En un país democrático ya hubiesen renunciado todos los directivos comenzando por Rafael Ramírez #Amuay","","","en","es","false","[52611336]","","43713","http://t.co/OVrCzcoqig","false","false","false","6","false","","52","false","","2286","Somewhere in Venezuela","","","0","-1","","","SOSve","[Amuay]","","2012-08-25T21:44:13.000Z","false","","","","false","3507","3707","false","239478690042494976","#vzladespiertaya","52611336","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-07-01T02:54:05.000Z","","La paz,la tranquilidad,la democracia .. mis sueños. El comunismo, la dictadura, la autocracia... no tienen cabida. Anticomunista.","","En un país democrático ya hubiesen renunciado todos los directivos comenzando por Rafael Ramírez #Amuay","es","","RT @SOSve: En un país democrático ya hubiesen renunciado todos los directivos comenzando por Rafael Ramírez #Amuay","false","es","","5855","","true","false","6","false","false","","4","","false","","2114","España Madrid","0","","","","[Amuay]","-1","myelina2002","","false","","2012-08-25T21:45:43.000Z","","[SOSve]","false"
"254","230","Andrea bga","<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for BlackBerry</a>","false","239456934040854528","87291597","2009-11-03T21:49:36.000Z","Abogado- obsesionada con los perritos- amante de fotos y nuevas culturas- ¡ Conocer, Aprender y Amar! 

VE- AR","","Dicen que no es culpa de nadie ¿entonces de quien es culpa lo de #amuay? Seguro fueron los duendes que nos hacian el mantenimiento bien ¿NO?","","","es","es","false","[77562300]","","20296","","false","false","false","1","false","","4","false","","59","aqui ¿y tú? ","","","0","-1","","","andregarcialz","[amuay]","","2012-08-25T20:19:16.000Z","false","","","","false","611","388","false","239459094262587392","Andrea Hernández","77562300","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-09-26T20:05:00.000Z","","Soy color tricolor, aunque la piel un poco tostada como la flor de venezuela. Con sangre vinotinto♥.","","Dicen que no es culpa de nadie ¿entonces de quien es culpa lo de #amuay? Seguro fueron los duendes que nos hacian el mantenimiento bien ¿NO?","es","","RT @andregarcialz: Dicen que no es culpa de nadie ¿entonces de quien es culpa lo de #amuay? Seguro fueron los duendes que nos hacian el  ...","false","es","","4685","","false","false","1","false","false","","3","","false","","1399","Buenos Aires AR ","0","","","","[amuay]","-1","andreahdezb","","false","","2012-08-25T20:27:51.000Z","","[andregarcialz]","false"
"247","449","El Alex Goncalves","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","239344040192122880","80395680","2009-10-06T20:31:46.000Z","","","Alegar ""Sabotaje"" es admitir ineficiencia en la seguridad interna de algo tan delicado como una refinería! #Amuay","","","es","es","false","[26562209]","","59751","https://t.co/DGkxHsBl3Z","false","false","false","576","false","","1554","false","","587","United States","","","17","-1","","","elalexgoncalves","[Amuay]","","2012-08-25T12:50:40.000Z","false","","","","false","359853","3575","false","239489138041167873","Carolina De Ramos","26562209","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-03-25T18:52:53.000Z","","Locutor/Animador. Director de contenido en YouTube para #CaptureitTv","","Alegar ""Sabotaje"" es admitir ineficiencia en la seguridad interna de algo tan delicado como una refinería! #Amuay","es","","RT @elalexgoncalves: Alegar ""Sabotaje"" es admitir ineficiencia en la seguridad interna de algo tan delicado como una refinería! #Amuay","false","es","","7097","","false","false","576","false","false","","0","","false","","4879","ÜT: 3.156713,101.690194","0","","","","[Amuay]","-1","Carolinda9","","true","","2012-08-25T22:27:14.000Z","","[elalexgoncalves]","false"
"1058","199","Reuters Top News","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","239452586967724033","362197387","2011-08-26T00:45:47.000Z","Retweeting breaking news for Flipboard. Managed by @twittner","","Explosion kills 26 at Venezuela's biggest refinery http://t.co/OzUCWXbi","","","en","en","false","[1652541]","","278487","http://t.co/BmHxhkm3Mh","false","false","false","118","false","","114526","false","[http://reut.rs/NMy9Ak]","64","Around the world","","","7","-1","","","Reuters","","","2012-08-25T20:02:00.000Z","false","","","","false","19751870","1072","false","239455231317000192","Flipboard News","1652541","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","2007-03-20T17:46:05.000Z","","Top and breaking news, pictures, and videos from Reuters.","","Explosion kills 26 at Venezuela's biggest refinery http://t.co/OzUCWXbi","en","","RT @Reuters: Explosion kills 26 at Venezuela's biggest refinery http://t.co/OzUCWXbi","false","en","","75706","http://t.co/wsxPmLrAU9","false","false","118","false","false","","44","[http://reut.rs/NMy9Ak]","false","","805","Palo Alto, CA","0","","","","","-1","flipboardnews1","","true","","2012-08-25T20:12:30.000Z","","[Reuters]","false"
"652","566","Últimas Noticias","<a href=""http://bitly.com"" rel=""nofollow"">bitly bitlink</a>","false","239451129568718848","94856757","2009-12-05T19:54:03.000Z","Yo te digo Camarada por encima de la idea","","Suspendidos vuelos comerciales a Falcón #Amuay http://t.co/W8ym7aEA","","","es","es","false","[76931020]","","1278470","https://t.co/EBkqhYrKeD","true","false","false","44","false","","11921","false","[http://bit.ly/U1zzG4]","3","Caracas, Venezuela","","","2","-1","","","UNoticias","[Amuay]","","2012-08-25T19:56:12.000Z","false","","","","false","3805227","103105","false","239452911837532162","Romel Eduardo.","76931020","<a href=""http://getscopeapp.com"" rel=""nofollow"">Scope App</a>","2009-09-24T12:48:51.000Z","","Con las Últimas Noticias de Venezuela y el mundo. Cuenta oficial del diario de mayor circulación del país. Sólo ofrecemos información confirmada.","","Suspendidos vuelos comerciales a Falcón #Amuay http://t.co/W8ym7aEA","es","","RT @UNoticias: Suspendidos vuelos comerciales a Falcón #Amuay http://t.co/W8ym7aEA","false","es","","40860","","true","false","44","false","false","","0","[http://bit.ly/U1zzG4]","false","","1211","","0","","","","[Amuay]","-1","RomelPrimera","","true","","2012-08-25T20:03:17.000Z","","[UNoticias]","false"
"146","310","","","","","142541000","2010-05-11T04:08:58.000Z","","","Lamentable lo ocurrido en la Refinería de Amuay, y sobretodo las perdidas Humanas, otra de las grandes Obras de esta Nesfasta Rebolucion !!","","","","es","","","","","","","","false","0","false","","","false","","14","","","","","","","","","","","","false","","","","false","","","false","239454593774407680","Enrique D'Elia","","<a href=""http://store.ovi.com/content/256340"" rel=""nofollow"">Twitter for Nokia S40</a>","","","","","","es","","","false","","","1253","","true","false","","","","","0","","","","","Caracas, Venezuela","0","","","","","-1","enriquedelia","","","","2012-08-25T20:09:58.000Z","","",""
"402","950","JustGlory","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","239485669662134273","266004694","2011-03-14T13:49:47.000Z","","","El humo se eleva cual dedo acusador en #Amuay","","","es","es","false","[82785422]","","23697","http://t.co/s2qaXlmrAI","true","false","false","2","false","","81","false","","634","Now and Here!","","","0","-1","","","JustGlory","[Amuay]","","2012-08-25T22:13:27.000Z","false","","","","false","10011","10302","false","239486512436244480","007","82785422","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-10-16T03:17:50.000Z","","Lectora Voraz, Amante de la Paz y del Planeta, Colonia de Células Viviendo en Perfecta Armonía, Energía Pura del Universo. Aprendiendo por Siempre....","","El humo se eleva cual dedo acusador en #Amuay","es","","RT @JustGlory: El humo se eleva cual dedo acusador en #Amuay","false","es","","5706","","true","false","2","false","false","","1","","false","","2570","","0","","","","[Amuay]","-1","armas_orlando","","false","","2012-08-25T22:16:48.000Z","","[JustGlory]","false"
"493","1014","AUSTIN A. SANTOS","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","239483954053390336","153187655","2010-06-07T22:37:54.000Z","09/10/2013💗","","La Formula se solidariza con la trajedia ocurrida en Venezuela  por la explosion de la Refineria Amuay que ha dejado muertos y heridos ! DLP","","","en","es","false","[73208083]","","25121","http://t.co/okdviJSZ20","false","false","false","277","false","","3855","false","","542","Asiento 1A First Class","","","35","-1","","","ArcangelPrrra","","","2012-08-25T22:06:38.000Z","false","","","","false","1643945","473","false","239485413516001281","LUIS ALBERTO'","73208083","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-09-10T20:11:05.000Z","","Si mi flow fuera un oceano,ustedes fueran peces. Para Contrataciones; booking@pinarecords.net / (787) 743-1100 Pagina oficial en Facebook; http://t.co/tReXGadg","","La Formula se solidariza con la trajedia ocurrida en Venezuela  por la explosion de la Refineria Amuay que ha dejado muertos y heridos ! DLP","es","","RT @ArcangelPrrra: La Formula se solidariza con la trajedia ocurrida en Venezuela  por la explosion de la Refineria Amuay que ha dejado  ...","false","es","","59602","","false","false","277","false","false","","4","","false","","44","Chattahoochee Hills, GEORGIA","0","","","","","-1","LANatiion","","true","","2012-08-25T22:12:26.000Z","","[ArcangelPrrra]","false"
"85","223","Mundo Consola","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","239434042192322560","138940433","2010-05-01T02:39:45.000Z","Soy 100% GUARO... y CHAVISTA de CORAZÓN","","Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro de acopio del c.c!","","","es","es","false","[51466517, 110737516]","","18660","http://t.co/Bu4hR8qayH","true","false","false","1","false","","23","false","","111","","","","0","-1","","","mundoconsola","[Falcón, Paraguaná]","","2012-08-25T18:48:18.000Z","false","","[tusambil]","","false","3493","120","false","239441809506455553","Joel Alvarado","51466517","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-06-27T15:27:37.000Z","","Nuestra misión es ofrecer los mejores recursos tecnológicos disponibles para el trabajo, la diversión y el entretenimiento. (Barquisimeto, Paraguaná, Margarita)","","Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro de acopio del c.c!","es","[110737516]","RT @mundoconsola: Por lo sucedido en #Falcón nuestra tienda en @tusambil #Paraguaná NO abrirá el día de hoy, ¡Colaboraremos en el centro ...","false","es","","1798","","true","false","1","false","false","","0","","false","","1440","VENEZUELA","0","","","","[Falcón, Paraguaná]","-1","joelcamacaro","","false","","2012-08-25T19:19:10.000Z","","[mundoconsola, tusambil]","false"
"138","260","","","","","104856963","2010-01-14T16:24:51.000Z","Madre de Mathias,
Esposa Jesús Delgado,
estudiante de nutrición y dietética,
Esteticista y Masoterapeuta,
https://t.co/KnDQJioGet TJ.","","Espero que la situación critica en #Amuay mejore con la ayuda de Jehova (MSP) para todas las familias afectadas","","","","es","","","","","","","","false","0","false","","","false","","9","","","","","","","","","","","","false","","","","false","","","false","239466383971336192","Génesis Paola","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","es","","","false","","","1666","","false","false","","","","","1","","","","","","0","","","","[Amuay]","-1","genesispaol","","","","2012-08-25T20:56:49.000Z","","",""
