"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"124","149","","","","","143214604","2010-05-12T22:23:43.000Z","Live as if you were to die tomorrow, Learn as if you were to live forever.. Elvis Presley","","@AndrewCatsaras just read big fire for Sydney? hope not really serious?","-1","","","en","","[238403523]","","","","","","false","0","false","","","false","","753","","","","","","","AndrewCatsaras","","","","","false","","","","false","","","false","389174297400324096","Anne","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","fr","","","false","","","10543","","false","false","","","","","4","","","","","Village Gaulois","0","238403523","","","","-1","castine22","","","","2013-10-12T23:42:37.000Z","","[AndrewCatsaras]",""
"232","152","Erica Bannister","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","390317737962397696","46037219","2009-06-10T04:30:07.000Z","Delta Zeta & LU Alum | The beauty of grace is that it makes life not fair","","And that's a win! 3-1 in the NLCS . Go cards! @Cardinals #stlcards  #RedOctober #CardinalNation","","","en","en","false","[170892836, 52847728]","","5424","https://t.co/JVot8LdSyi","true","false","false","1","false","","4","false","","9752","Saint Louis ","","","0","-1","","","EricaHayWood","[stlcards, RedOctober, CardinalNation]","","2013-10-16T03:26:15.000Z","false","","[Cardinals]","","false","223","474","false","390327999419019264","Tory Campbell","170892836","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-07-26T01:39:36.000Z","","Married to the amazing @omegakill87. |about to take on the biggest adventure yet! STL/USA - PETERBOROUGH/UK| With God all things are possible|Matthew19:26","","And that's a win! 3-1 in the NLCS . Go cards! @Cardinals #stlcards  #RedOctober #CardinalNation","en","[52847728]","RT @EricaHayWood: And that's a win! 3-1 in the NLCS . Go cards! @Cardinals #stlcards  #RedOctober #CardinalNation","false","en","","11623","","true","false","1","false","false","","2","","false","","825","Love that is ever steadfast.","0","","","","[stlcards, RedOctober, CardinalNation]","-1","Toryyanne","","false","","2013-10-16T04:07:01.000Z","","[EricaHayWood, Cardinals]","false"
"767","990","The Sydney Morning Herald","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","390424537101524992","1524553226","2013-06-17T10:56:20.000Z","Journalist, Sub-editor, freelance writer, mother of two, lover of news & bad TV.","","High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger. http://t.co/IGy5q7ybHE","","","en","en","false","[16675569]","","160016","http://t.co/zpeRtoZrSG","true","false","false","23","false","","6004","false","[http://ow.ly/pRGfo]","16373","Sydney, Australia","","","3","-1","","","smh","[Sydney]","","2013-10-16T10:30:38.000Z","false","","","","false","721319","683","false","390445674820403200","Merryn Porter","16675569","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2008-10-09T23:05:36.000Z","","Australia's leading news source, The Sydney Morning Herald. Independent. Always.","","High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger. http://t.co/IGy5q7ybHE","en","","RT @smh: High fire alert tomorrow, hitting temps of 34 in #Sydney with strong winds, creating severe fire danger. http://t.co/IGy5q7ybHE","false","en","","15965","","true","false","23","false","false","","24","[http://ow.ly/pRGfo]","false","","601","Sydney","0","","","","[Sydney]","-1","Merryn_Porter","","true","","2013-10-16T11:54:37.000Z","","[smh]","false"
"2585","2476","","","","","17325932","2008-11-11T23:58:47.000Z","im 29 dark hair and like to hike and swim and playing with the kids","","Forest / Wild Fire - Australia - Australia: EDIS Number: WF-20131013-41255-AUSDate / time:... http://t.co/7JcTE6yB2q #anonymous #anonops","","","","en","","","","","","","","false","1","false","","","false","","10","","","","","","","","","","","","false","","","","false","","","false","389270841864626176","alpha1121","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","243840","","false","false","","","","","50","[http://bit.ly/19vsapG]","","","","usa","0","","","","[anonymous, anonops]","-1","alpha1121","","","","2013-10-13T06:06:15.000Z","","",""
"3688","938","","","","","165186678","2010-07-10T21:28:05.000Z","Silicon Jozi","","White privilege means never having your intelligence or integrity questioned. Not having to work hard enough for your position. #RedOctober","","","","en","","","","","","","","false","0","false","","","false","","2453","","","","","","","","","","","","false","","","","false","","","false","389085352956530688","Fezile Dhlamini","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","en","","","false","","","111870","https://t.co/T9yK80wckK","true","false","","","","","55","","","","","Sweden, South Africa","0","","","","[RedOctober]","-1","AudioTheBrand","","","","2013-10-12T17:49:11.000Z","","",""
"498","97","","","","","780084691","2012-08-25T10:56:46.000Z","Westleigh Rural Fire Brigade is apart of the NSW Rural Fire Service - the lead agency in combating bushfires in NSW.","","NSW National Parks & Wildlife Service have again advised that tomorrow - Sunday 13 October - due to EXTREME fire... http://t.co/N7aBbvgQJj","","","","en","","","","","","","","false","1","false","","","false","","130","","","","","","","","","","","","false","","","","false","","","false","388945930130841600","Westleigh RFB","","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","","","","","","en","","","false","","","826","http://t.co/LfnN6HGzQC","true","false","","","","","9","[http://fb.me/2dSHvp8yN]","","","","Sydney, Australia","0","","","","","-1","RFSWestleigh","","","","2013-10-12T08:35:10.000Z","","",""
"74505","3348","","","","","16198940","2008-09-09T06:25:42.000Z","ABC Radio Sydney. Listen live: https://t.co/YRnUEGsM5Y  Talkback: 1300 222 702.","","Here's a photo taken yesterday by @FireRescueNSW after the fire in Sydney's Olympic Aquatic Centre carpark http://t.co/idQe3vjT3w","","","","en","","[42743779]","","","","","","false","12","false","","","false","","3247","","[photo]","","","","","","","","","","true","","","","false","","","false","389480976495030272","ABC Sydney","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","62284","https://t.co/MBEju0igK5","false","false","","","","","1325","","","","","Sydney, Australia.","2","","","","","-1","abcsydney","","","[http://pbs.twimg.com/media/BWe24mpCcAAX3DL.jpg]","2013-10-13T20:01:15.000Z","","[FireRescueNSW]",""
"533","407","Al Jazeera English","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","false","390116412070830080","46842321","2009-06-13T06:36:28.000Z","Naija Boy x Computer Science 🎓 x Hip Hop Artist   Kunta - Listen & Find Out https://t.co/XbJlKDXfSn","","On @AJStream 1930GMT: White plight in South Africa? #RedOctober claims of white oppression reignite racism debate | http://t.co/Z9q6q6SMhi","","","en","en","false","[4970411, 236891946]","","204534","https://t.co/D38RZjLnhI","true","false","false","15","false","","51960","false","[http://aje.me/1cRxyZB]","1562","Doha, Qatar","","","3","-1","","","AJEnglish","[RedOctober]","","2013-10-15T14:06:15.000Z","false","","[AJStream]","","false","4925083","253","false","390118527501627392","Kunta 🎤","4970411","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2007-04-17T08:23:08.000Z","","Everyone has a story worth hearing. Follow @AJENews for the latest news.","","On @AJStream 1930GMT: White plight in South Africa? #RedOctober claims of white oppression reignite racism debate | http://t.co/Z9q6q6SMhi","en","[236891946]","RT @AJEnglish: On @AJStream 1930GMT: White plight in South Africa? #RedOctober claims of white oppression reignite racism debate | http://t…","false","en","","10987","https://t.co/zwN00QZd0Q","true","false","15","true","false","","18","","false","","2383","Cape Town, South Africa","0","","","","[RedOctober]","-1","reachMHP","","true","","2013-10-15T14:14:39.000Z","","[AJEnglish, AJStream]","false"
"6848","2061","","","","","491960101","2012-02-14T06:18:22.000Z","#BreakingNews coverage by the Australian News Network newsroom team in #Sydney, Australia. 
Editor-in-Chief: @zackisthe  
RT'S are not an endorsement.","","Another extreme fire danger day for NSW, with heat and thunderstorms creating extreme bushfire danger: http://t.co/8LvhtwugK4 #ANN","","","","en","","","","","","","","false","1","false","","","false","","5674","","","","","","","","","","","","false","","","","false","","","false","389189413667758080","Australian News Net.","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","65695","https://t.co/o6ircCeoHZ","true","false","","","","","261","[http://yhoo.it/19GUGTh]","","","","Australia","0","","","","[ANN]","-1","AusNewsNetwork","","","","2013-10-13T00:42:41.000Z","","",""
"1099","1025","Norman Locke","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","389925480314322944","34846590","2009-04-24T04:25:02.000Z","Classic. Timeless. Refined. the Luxe life. ✨","","“@6shotRugaRell_: A la Chels ! Is yu twerking for #RedOctober @call_me_CHELSS” #JustWaitOnIt","","","en","en","false","[36234820]","","252319","https://t.co/HeY4euQ7VZ","true","false","false","2","false","","50","false","","289","Lafayette","","34846590","0","-1","","","Naamannn","[RedOctober, JustWaitOnIt]","","2013-10-15T01:27:33.000Z","false","","[call_me_CHELSS]","","false","4828","2076","false","390107479687692288","Miss Alena Jae","36234820","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-04-29T00:56:05.000Z","","Philanthropist| ESPN Radio Personality | Entrepreneur | Digital media strategist | LMM | #2600 | #TeamUL |","389924010038808576","“@6shotRugaRell_: A la Chels ! Is yu twerking for #RedOctober @call_me_CHELSS” #JustWaitOnIt","en","[2549944735]","RT @Naamannn: “@6shotRugaRell_: A la Chels ! Is yu twerking for #RedOctober @call_me_CHELSS” #JustWaitOnIt","false","en","","26226","http://t.co/wZultZ1NAX","false","false","2","false","false","","23","","false","","274","New Orleans, LA","0","","","SoAlenaLuxe","","-1","SoAlenaLuxe","","false","","2013-10-15T13:30:45.000Z","","[Naamannn]","false"
