"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"229","830","Jervie David","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","389926320450179072","39700149","2009-05-13T06:06:50.000Z","be like water","","Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRBhlZy","","","en","en","false","[15405512, 38492736, 39453212, 15363099]","","11880","https://t.co/FCq60SoSi8","true","false","false","90","false","","55","false","","4331","Cebu, Philippines","","","11","-1","","","jerminix","[earthquake, cebu]","[http://pbs.twimg.com/media/BWlL7B8CcAA4i03.jpg]","2013-10-15T01:30:53.000Z","false","","[sunstarcebu, gmanews, gmanewsonline]","","false","991","1630","false","389929456665522177","far","15405512","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2008-07-12T16:35:20.000Z","","Food/Tech/Events Blogger, Events Wanderer, Cosplaygraher, Photoblogger https://t.co/srbkFYEpZE https://t.co/F3xsSONKJo","","Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRBhlZy","en","[38492736, 39453212, 15363099]","RT @jerminix: Grabbed pic from the #earthquake aftermath.. stay safe everyone #cebu @sunstarcebu @gmanews @GMANewsOnline http://t.co/IYVXRB…","false","en","","3517","https://t.co/ef60jhdCF0","false","false","90","false","false","","6","","false","[photo]","249","","0","","","","[earthquake, cebu]","-1","farrrlucas","","false","","2013-10-15T01:43:21.000Z","","[jerminix, sunstarcebu, gmanews, gmanewsonline]","false"
"835","208","","","","","7246902","2007-07-04T09:44:51.000Z","I'm indescribable! Not even worth your time. Just nobody. Someone you might hate. I'm perfectly not perfect. You can snatch me anytime. Snapchat: xerendipitee","","Photo: #Soco #glass #broken after the shaky #earthquake at #home #kaloka #cebu #instapic #instagram... http://t.co/JpZIdjEIaw","","","","en","","","","","","","","false","0","false","","","false","","334","","","","","","","","","","","","false","","","","false","","","false","389931276972875777","Xerxes Bernadez","","<a href=""http://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>","","","","","","en","","","false","","","12531","http://t.co/7X95r3o5V3","true","false","","","","","53","[http://tmblr.co/Zq2oQyxhEgTT]","","","","Cebu","0","","","","[Soco, glass, broken, earthquake, home, kaloka, cebu, instapic, instagram]","-1","Xerendipity","","","","2013-10-15T01:50:35.000Z","","",""
"13","9","","","","","554008653","2012-04-14T23:57:26.000Z","This account shows the quakes between M7 and M8. Follow @shakemaps for general earthquake-info.","","#earthquake M7.2: Bohol, Philippines http://t.co/mcLjuPxXBX","","","","und","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","389924092130107392","Shakemaps M7 - M8","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","","","","","","nl","","","false","","","31","http://t.co/QleIBFNEle","false","false","","","","","0","[http://ow.ly/2AJn7C]","","","","","0","","","","[earthquake]","-1","ShakemapsM7","","","","2013-10-15T01:22:02.000Z","","",""
"1005","425","","","","","920507359","2012-11-02T06:46:08.000Z","fan account","","Felt sorry for the victims of the
magnitude 7.2 #earthquake in
Bohol,Philippines :((","","","","en","","","","","","","","false","0","false","","","false","","1569","","","","","","","","","","","","false","","","","false","","","false","389933822936367104","rj","","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","","","","","","en","","","false","","","5741","","true","false","","","","","0","","","","","","0","","","","[earthquake]","-1","rjblnds","","","","2013-10-15T02:00:42.000Z","","",""
"1332","599","JAMICH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","389918587864895488","420236926","2011-11-24T10:56:27.000Z","fb/sc/ig: yhanabalajadia","","Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippines","","","en","tl","false","[316296994]","","39054","https://t.co/BoMtJCgytS","true","false","false","165","false","","549","false","","693","YouTube Phenom of 2012-2014 ","","","54","-1","","","ilovejamich","[earthquake, PrayForBohol, Philippines]","","2013-10-15T01:00:10.000Z","false","","","","false","1048790","189","false","389923253285707776","Yhana Balajadia","316296994","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-06-13T07:16:12.000Z","","Jamvhille Sebastian and Paolinne Michelle Liggayu, better known as the real life couple JAMICH ♥ https://t.co/kJL1bGgqB1","","Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philippines","en","","RT @ilovejamich: Magnitude 7.2 #earthquake in Bohol :( Pagdasal natin lahat ng apektado. Sana maging safe ang lahat. #PrayForBohol #Philipp…","false","tl","","22917","https://t.co/YS3mhU7LLX","true","false","165","false","false","","1","","false","","737","Lipa City","0","","","","[earthquake, PrayForBohol]","-1","yhana_balajadia","","false","","2013-10-15T01:18:42.000Z","","[ilovejamich]","false"
"19","281","Earthquakes Tsunamis","<a href=""http://twitter.com/BigEarthquakes/earthquakes"" rel=""nofollow"">Earthquakes</a>","false","389909407464574976","1103319966","2013-01-19T10:09:45.000Z","La Isla Bonita","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","","","en","en","false","[83972205]","","27818","https://t.co/dsTBiWZEdB","true","false","false","1357","false","","10711","false","[http://j.mp/165Wv1g]","3","Worldwide","","","121","-1","","","NewEarthquake","","","2013-10-15T00:23:41.000Z","false","","","","false","901923","7","false","389911173665001472","April Joy","83972205","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-10-21T01:27:10.000Z","","World earthquakes magnitude 5+ and tsunami warnings. Avatar shows last earthquake. Sources: USGS NOAA GEOFON. #earthquake","","7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http://t.co/ImviyP8h7k","en","","RT @NewEarthquake: 7.2 earthquake, 2km S of Nueva Vida Sur, Philippines. Oct 15 08:12 at epicenter (10m ago, 25km Tagbilaran, depth... http…","false","en","","1991","","true","false","1357","false","false","","1","","false","","0","Philippines","0","","","","","-1","aprilnaranja","","false","","2013-10-15T00:30:42.000Z","","[NewEarthquake]","false"
"14688","64","","","","","1599050960","2013-07-16T18:54:41.000Z","Breaking news alerts and updates from Al Jazeera America. For news, features and analysis follow @AJAM","","National Disaster Agency: 4 people killed in building collapse in Cebu after Philippines quake - @Reuters","","","","en","","[1652541]","","","","","","false","2","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","389920120119635969","AJAM Live","","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","","","","","","en","","","false","","","12482","http://t.co/waWklyZHcT","false","false","","","","","677","","","","","US","0","","","","","-1","ajamlive","","","","2013-10-15T01:06:15.000Z","","[Reuters]",""
"46488","1352","","","","","160246535","2010-06-27T16:38:35.000Z","host 938Now FM. start-up founder. restaurateur. anchor. voice-over. pinoy. canuck. radio-tv-online-everywhere.
Tweets are offensive if you want to be offended.","49.23267086","Breaking: A 7.2 earthquake just hit Bohol in central Philippines.","","","","en","","","-123.090912","","","","","false","4","false","Greater Vancouver, British Columbia","","false","","2197","","","","","","","","","","","","false","","","","false","","","false","389926386418216960","Timothy W Go™","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","66710","https://t.co/A2h5GfnSn5","true","false","","","","","139","","","","","the World","0","","[[49.001921, -123.738375], [49.001921, -122.406655], [49.574551, -122.406655], [49.574551, -123.738375]]","","","-1","timothygo_only1","","","","2013-10-15T01:31:09.000Z","","",""
"570","2118","","","","","33301969","2009-04-19T20:20:51.000Z","Follower of Christ. Fangirl. Hufflepuff. Nursing and Phlebotomy.Knitting/crochet. Books. Disney. Sea Dragon.🇵🇭🇺🇸 







❤ Psalm 25:2 Luke 5:5 ❤","","""@BBCBreaking: At least four killed in building collapse after 7.2 magnitude earthquake in Philippines near Cebu, officials say"" 😢","","","","en","","[5402612]","","","","","","false","0","false","","","false","","42510","","","","","","","","","","","","false","","","","false","","","false","389927728591294464","JynAnne MonErso 💛🐲","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","44822","https://t.co/r34Sx7k92D","true","false","","","","","40","","","","","U.S.A.","0","","","","","-1","LolliJojo","","","","2013-10-15T01:36:29.000Z","","[BBCBreaking]",""
"255","1062","CNN International","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","389923979080638465","163190662","2010-07-05T19:47:06.000Z","Just finds the damn ways for pro wrestling, anime, NFL football, and basketball... Ah yes, ASAP... Period...","","A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9","","","en","en","false","[2097571]","","155812","http://t.co/kdkv08KSgi","true","false","false","248","false","","36353","false","[http://on.cnn.com/18fS02z]","7915","Everywhere","","","23","-1","","","cnni","","","2013-10-15T01:21:35.000Z","false","","","","false","7800422","367","false","389924079555207168","MichaelZeroAmell","2097571","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2007-03-24T10:48:14.000Z","","Breaking news from around the world, plus business, style, travel, sport and entertainment. We #gothere.","","A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9","en","","RT @cnni: A 7.2-magnitude earthquake has struck in the southeastern Philippines, the U.S. Geological Survey says. http://t.co/3jwtWsTrP9","false","en","","34564","https://t.co/r10XikFb6v","true","false","248","false","false","","22","[http://on.cnn.com/18fS02z]","false","","137","NCR, Philippines and Toronto","0","","","","","-1","TheMichaelAmell","","true","","2013-10-15T01:21:59.000Z","","[cnni]","false"
