"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"2255","4817","Kat 4 Obama","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","384332515915231234","16187817","2008-09-08T17:36:59.000Z","Southsider,Cancer survivor and a Progressive Liberal FOREVER!!! Blue wave #Resist","","Shutdown threat has already delayed #ColoradoFlood relief. 100s of 1000s of workers face furlough. Winter is coming. http://t.co/GTp4DSpEmq","","","en","en","false","[617619927]","","753483","","false","false","false","1","false","","1157","false","[http://wapo.st/1ftXvAm]","9802","Washington State, USA","","","0","-1","","","Kat4Obama","[ColoradoFlood]","","2013-09-29T15:03:07.000Z","false","","","","false","7028","4083","false","384332858413690881","gypsum","617619927","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2012-06-24T22:40:01.000Z","","“The cynics may be the loudest voices – but I promise you, they will accomplish the least.” – President Barack Obama","","Shutdown threat has already delayed #ColoradoFlood relief. 100s of 1000s of workers face furlough. Winter is coming. http://t.co/GTp4DSpEmq","en","","RT @Kat4Obama: Shutdown threat has already delayed #ColoradoFlood relief. 100s of 1000s of workers face furlough. Winter is coming. http://…","false","en","","20513","","true","false","1","false","false","","26","","false","","190490","Muncie,IN","0","","","","[ColoradoFlood]","-1","gypsum","","false","","2013-09-29T15:04:28.000Z","","[Kat4Obama]","false"
"4077","2203","","","","","560028064","2012-04-22T03:19:27.000Z","America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand. ~Harry S. Truman","","#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","376843697943769088","New Jobs Now","","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","en","","","false","","","378487","","false","false","","","","","177","[http://bit.ly/1auXSIF]","","","","United States of America","0","","","","[Longmont, CO, hiring, tweetmyjobs]","-1","NewJobsNow","","","","2013-09-08T23:05:13.000Z","","",""
"956","1730","Boulder TV One News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","378045713721982976","1612968180","2013-07-22T14:50:37.000Z","Wiseguy · Weather · Whatever · Whenever","","scanner #boulderflood reports Lee Road rock slide road is closed","","","en","en","false","[1473293112]","","8931","https://t.co/sYIaGKYZ7L","true","false","false","1","false","","59","false","","10873","Boulder, CO","","","0","-1","","","BoulderCh1News","[boulderflood]","","2013-09-12T06:41:36.000Z","false","","","","false","1077","976","false","378046271996440576","Ⓜ i k e","1473293112","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2013-05-31T23:19:48.000Z","","Boulder Channel 1 News Television covering LOCAL news weather sports city CU  events biz food arts music talk more.","","scanner #boulderflood reports Lee Road rock slide road is closed","en","","RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed","false","en","","35579","","true","false","1","false","false","","32","","false","","1443","Los Angeles, CA","0","","","","[boulderflood]","-1","SoCaliWiseguy","","false","","2013-09-12T06:43:49.000Z","","[BoulderCh1News]","false"
"1224","2475","","","","","27602245","2009-03-30T07:39:48.000Z","","","@AmyAHarder Major floods in Alberta, Colorado, and Mexico this year. Economic cost? Effects of Arctic Amplification http://t.co/3YfOGGzE9d","384652081975402498","","","en","","[39279393]","","","","","","false","0","false","","","false","","9013","","","","","","","AmyAHarder","","","","","false","","","","false","","","false","384652942512373761","Rene Sugar","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","69730","https://t.co/z4mGqaHXGw","false","false","","","","","83","[http://www.youtube.com/watch?v=GWj2DzKn7MA&feature=youtu.be]","","","","California, USA","0","39279393","","","","-1","renesugar","","","","2013-09-30T12:16:22.000Z","","[AmyAHarder]",""
"1164","2377","Amy Oliver Cooke","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","384692996723056641","785541367","2012-08-27T21:40:58.000Z","Colorado native, CU Buffs alum, former Capitol Hill staffer, opinions are my own.","","Are Anti-Industry Activists Playing Politics with Colorado’s Tragic Floods? Yes! #fracking  #COpolitics http://t.co/6yVDGYz2JS","","","en","en","false","[19219242]","","13554","https://t.co/U1lJLjLScg","false","false","false","5","false","","128","false","[http://energyindepth.org/mtn-states/are-anti-industry-activists-playing-politics-with-colorados-tragic-floods-2/]","1666","Colorado","","","1","-1","","","AmyOliverShow","[fracking, COpolitics]","","2013-09-30T14:55:32.000Z","false","","","","false","4593","3443","false","384696106115809280","Matt Dempsey","19219242","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-01-20T04:12:01.000Z","","Wife, mother, unapologetic free market capitalist, retired talk show host. Loves politics and sports. Views are my own. Will ignore boring tweets.","","Are Anti-Industry Activists Playing Politics with Colorado’s Tragic Floods? Yes! #fracking  #COpolitics http://t.co/6yVDGYz2JS","en","","RT @AmyOliverShow: Are Anti-Industry Activists Playing Politics with Colorado’s Tragic Floods? Yes! #fracking  #COpolitics http://t.co/6yVD…","false","en","","14034","","true","false","5","false","false","","56","","false","","8222","Lakewood, CO","0","","","","[fracking, COpolitics]","-1","MDempseyCO","","false","","2013-09-30T15:07:53.000Z","","[AmyOliverShow]","false"
"267","460","","","","","582759724","2012-05-17T13:04:47.000Z","Social Media Marketing, CEO, CFO http://t.co/Klp2qi2w9Z","","At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","378079067255238656","Defern","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","5517","http://t.co/oqOby6zJs7","false","false","","","","","5","[http://adf.ly/Vb4iN]","","","","Hatfield","0","","","","","-1","fernandd13","","","","2013-09-12T08:54:08.000Z","","",""
"12313","944","","","","","18214621","2008-12-18T13:34:15.000Z","The Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.","","For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ","","","","en","","","","","","","","false","3","false","","","false","","1204","","","","","","","","","","","","false","","","","false","","","false","378071202931032064","CO & WY Red Cross","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","7675","https://t.co/LVdfI0kA3X","false","false","","","","","544","[http://www.boulderoem.com]","","","","ÜT: 40.382836,-105.114478","0","","","","[boulderflood]","-1","COWYRedCross","","","","2013-09-12T08:22:53.000Z","","",""
"2297","704","","","","","35253554","2009-04-25T16:49:29.000Z","DKI is the largest disaster restoration contracting organization in North America. Available 24/7/365. When disasters happen, call DKI.","","Impact of government shutdown on federal flood relief in Colorado unclear (http://t.co/CnGgvUPWBq)  #govshutdown #coloradoflood","","","","en","","","","","","","","false","0","false","","","false","","1163","","","","","","","","","","","","false","","","","false","","","false","384720810575138817","DKI","","<a href=""http://www.engage121.com"" rel=""nofollow"">engage121</a>","","","","","","en","","","false","","","5811","http://t.co/cBlypH74fR","true","false","","","","","60","[http://bit.ly/15EANB0]","","","","Elk Grove Village, IL","0","","","","[govshutdown, coloradoflood]","-1","DisasterKleenup","","","","2013-09-30T16:46:03.000Z","","",""
"1221","463","","","","","188961419","2010-09-10T00:50:52.000Z","City of #Boulder beat for @dailycamera. Will judge you for not saying please and thank you to your AI voice assistants.","","Rescuers en route to party stranded on car ""almost completely covered"" at 61st and Valmont. #Boulderflood","","","","en","","","","","","","","false","0","false","","","false","","831","","","","","","","","","","","","true","","","","false","","","false","378059211411709952","Shay Castle","","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","","","","","","en","","","false","","","3009","","false","false","","","","","0","","","","","Boulder, CO","0","","","","[Boulderflood]","-1","shayshinecastle","","","","2013-09-12T07:35:14.000Z","","",""
"5655","3929","","","","","294554444","2011-05-07T10:54:17.000Z","Work for life, not live to work!","","Top #fractivist story: Drilled and Fracked: Colorado STILL flooding and it is c… http://t.co/MU0wLDZFkr, see more http://t.co/IU1ikWdJK6","","","","en","","","","","","","","true","0","false","","","false","","1112","","","","","","","","","","","","false","","","","false","","","false","384199722828693504","Anonymous","","<a href=""http://www.tweetedtimes.com"" rel=""nofollow"">The Tweeted Times</a>","","","","","","en","","","false","","","183161","http://t.co/Iglt3EZig1","false","false","","","","","166","[http://freakoutnation.com/2013/09/28/drilled-and-fracked-colorado-still-flooding-and-it-is-coming-soon-to-a-town-near-you, http://tweetedtimes.com/search/fractivist%20OR%20nofracking%20OR%20banfracking%20OR%20frackattack%20OR%20stopfracking%20OR%20antifracking/en]","","","","Nomadic","0","","","","[fractivist]","-1","NanaSilvergrim","","","","2013-09-29T06:15:26.000Z","","",""
