"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"71","456","","","","","50033685","2009-06-23T17:07:59.000Z","I'm twenty and living life the best I can","","#Preachit #lightbulb #patrickstar #patrick #meme  #rain #colorado #boulderflood #itsbad http://t.co/yOtcXNNxB3","","","","und","","","","","","","","false","1","false","","","false","","50","","","","","","","","","","","","false","","","","false","","","false","378137582007496704","Ashley Latimer","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","en","","","false","","","1782","","true","false","","","","","3","[http://instagram.com/p/eKSw5eo_wW/]","","","","Thornton, Colorado","0","","","","[Preachit, lightbulb, patrickstar, patrick, meme, rain, colorado, boulderflood, itsbad]","-1","shleetastic","","","","2013-09-12T12:46:39.000Z","","",""
"2034","2238","","","","","259457156","2011-03-01T23:29:12.000Z","@CBSNews.com homepage editor & writer. Emmy-award winning news producer. Past: @ABC @GMA @abcWNN @AOL Connect: https://t.co/KQVepsZJ7o","","#DEVELOPING | 1 Dead as Flash Flooding Hits Parts of Colorado http://t.co/RDMF3TkiQH [via @AP]","","","","en","","[51241574]","","","","","","false","0","false","","","false","","500","","","","","","","","","","","","false","","","","false","","","false","378115570287542273","Peter Martinez","","<a href=""http://bitly.com"" rel=""nofollow"">bitly bitlink</a>","","","","","","en","","","false","","","11153","http://t.co/rlWitARtz1","false","false","","","","","138","[http://abcn.ws/15YRf8V]","","","","New York City","0","","","","[DEVELOPING]","-1","rePetePro","","","","2013-09-12T11:19:11.000Z","","[AP]",""
"3393","4801","Marci Krivonen","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","378149882264973312","166446367","2010-07-14T04:48:04.000Z","I Am A RN 4 All Types Of Creators4 the last18yr.s,Esp.LoveTheOceanCreators,SoMuchSoIScubaDiveWere&WhenEverICanEsp.w/AmazingDolphins&OtherMarineLife/CoralReefs!","","Wow. RT @HemaMullur: Two trucks, one car submerged after road collapse at Hwy 287 and Dillon. #cowx #boulderflood http://t.co/PhFXTEuZCw","","","en","en","false","[510887847, 35040510]","","1092","https://t.co/ZKIob6jItp","false","false","false","9","false","","41","false","","95223","United States","","","1","-1","","","MarciKrivonen","[cowx, boulderflood]","[http://pbs.twimg.com/media/BT90mBFCIAAj6bs.jpg]","2013-09-12T13:35:32.000Z","false","","[HemaMullur]","","false","673","1035","false","378152455005282306","mariann adcock","510887847","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2012-03-01T21:33:48.000Z","","Associate Editor/Producer (of podcasts) at The Aspen Institute @aspenideas @aspeninstitute #AspenIdeas Occasional public radio freelancer @aspenpubradio","","Wow. RT @HemaMullur: Two trucks, one car submerged after road collapse at Hwy 287 and Dillon. #cowx #boulderflood http://t.co/PhFXTEuZCw","en","[35040510]","RT @MarciKrivonen: Wow. RT @HemaMullur: Two trucks, one car submerged after road collapse at Hwy 287 and Dillon. #cowx #boulderflood http:/…","false","en","","100526","","true","false","9","false","false","","66","","false","[photo]","114"," Nashville , Tenn.","0","","","","[cowx, boulderflood]","-1","vampirest69","","false","","2013-09-12T13:45:45.000Z","","[MarciKrivonen, HemaMullur]","false"
"117","27","","","","","347436118","2011-08-02T20:02:47.000Z","","","One Dead as Flash Flooding Hits Parts of Colorado http://t.co/K4XbG0R6gJ","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","378086805771268096","David Wilson","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","en","","","false","","","148422","http://t.co/MRvmJX9K5T","false","false","","","","","23","[http://dlvr.it/3y3S6C]","","","","New York","0","","","","","-1","worldsnews1","","","","2013-09-12T09:24:53.000Z","","",""
"4077","2203","","","","","560028064","2012-04-22T03:19:27.000Z","America was not built on fear. America was built on courage, on imagination and an unbeatable determination to do the job at hand. ~Harry S. Truman","","#Longmont #CO The Tiny Tim Center is now #hiring. Book Keeper http://t.co/l4m5iSOmTw #tweetmyjobs","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","376843697943769088","New Jobs Now","","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","en","","","false","","","378487","","false","false","","","","","177","[http://bit.ly/1auXSIF]","","","","United States of America","0","","","","[Longmont, CO, hiring, tweetmyjobs]","-1","NewJobsNow","","","","2013-09-08T23:05:13.000Z","","",""
"956","1730","Boulder TV One News","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","378045713721982976","1612968180","2013-07-22T14:50:37.000Z","Wiseguy · Weather · Whatever · Whenever","","scanner #boulderflood reports Lee Road rock slide road is closed","","","en","en","false","[1473293112]","","8931","https://t.co/sYIaGKYZ7L","true","false","false","1","false","","59","false","","10873","Boulder, CO","","","0","-1","","","BoulderCh1News","[boulderflood]","","2013-09-12T06:41:36.000Z","false","","","","false","1077","976","false","378046271996440576","Ⓜ i k e","1473293112","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2013-05-31T23:19:48.000Z","","Boulder Channel 1 News Television covering LOCAL news weather sports city CU  events biz food arts music talk more.","","scanner #boulderflood reports Lee Road rock slide road is closed","en","","RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed","false","en","","35579","","true","false","1","false","false","","32","","false","","1443","Los Angeles, CA","0","","","","[boulderflood]","-1","SoCaliWiseguy","","false","","2013-09-12T06:43:49.000Z","","[BoulderCh1News]","false"
"14803","1147","","","","","17632670","2008-11-25T21:44:24.000Z","Emmy Nominated @9News Meteorologist | #SummerLover | #WinterRider | barre girl | walter's mom | i @enjoyLaCroix | @calpoly @msstate alum | insta:@theWXwoman","","T'storms crossing I-25 toward #Longmont. Strong storm sitting over #Brighton tracking NE. #9wx forecast on #9News now http://t.co/uqO7mgWQoj","","","","en","","","","","","","","false","3","false","","","false","","14349","","[photo]","","","","","","","","","","true","","","","false","","","false","378095349547552768","Danielle Grant","","<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>","","","","","","en","","","false","","","12601","https://t.co/pc0sAhmzN2","true","false","","","","","301","","","","","Denver, CO","0","","","","[Longmont, Brighton, 9wx, 9News]","-1","theWXwoman","","","[http://pbs.twimg.com/media/BT9Dt4TCMAA1qsN.png]","2013-09-12T09:58:50.000Z","","",""
"4575","961","","","","","100986964","2010-01-01T14:32:20.000Z","The Fastest Crime News Updates on the Planet! Are you a news-a-holic? We have your fix right here.","","One person #killed and homes #destroyed after flash floods wreak havoc in #Colorado - Sep 12 @ 7:44 AM ET http://t.co/V3o4BAZiFI","","","","en","","","","","","","","false","0","false","","","false","","55","","","","","","","","","","","","false","","","","false","","","false","378122012742668288","PulpNews Crime","","<a href=""http://pulpnews.com/twitter/index.php"" rel=""nofollow"">Crime News Updates</a>","","","","","","en","","","false","","","2937903","http://t.co/M6Ch3yBNB5","false","false","","","","","1189","[http://pulpnews.com/c/i.php?id=1656385182]","","","","USA","0","","","","[killed, destroyed, Colorado]","-1","PulpNews","","","","2013-09-12T11:44:47.000Z","","",""
"38154","4851","","","","","133484445","2010-04-15T22:53:07.000Z","Around the world pilot, keynote speaker, 9News travel anchor. I tweet #travel, #Colorado, #aviation, #cryptocurrency, & sometimes nothing at all.","","BREAKING NEWS: US 36 is now open from Sheridan to McCaslin #9wx #cotraf #boulderflood","","","","en","","","","","","","","false","3","false","","","false","","3012","","","","","","","","","","","","true","","","","false","","","false","378101922013532160","Amelia Rose Earhart","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","en","","","false","","","18807","https://t.co/uAglw5sWkp","true","false","","","","","674","","","","","Denver, CO","0","","","","[9wx, cotraf, boulderflood]","-1","Amelia__Earhart","","","","2013-09-12T10:24:57.000Z","","",""
"267","460","","","","","582759724","2012-05-17T13:04:47.000Z","Social Media Marketing, CEO, CFO http://t.co/Klp2qi2w9Z","","At least 1 dead in Colo. flooding: Severe flooding in Jamestown in Colorado's Boulder County killed one person... http://t.co/4IwenaofFy","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","378079067255238656","Defern","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","5517","http://t.co/oqOby6zJs7","false","false","","","","","5","[http://adf.ly/Vb4iN]","","","","Hatfield","0","","","","","-1","fernandd13","","","","2013-09-12T08:54:08.000Z","","",""
