"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"47","223","Glasgow News","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","false","406557397654581248","1511594671","2013-06-12T20:39:06.000Z","Football and NFL are my thing!","","Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://t.co/WX0mNWd4ap","","","en","en","false","[422053097]","","60924","https://t.co/LHljY6Npja","false","false","false","4","false","","75","false","[http://dlvr.it/4QC7Z1]","89","Glasgow, UK","","","0","-1","","","glabreakingnews","","","2013-11-29T22:56:51.000Z","false","","","","false","3997","230","false","406558559187779584","John Gillies","422053097","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2011-11-26T18:58:19.000Z","","Curating the best media feeds in Glasgow. 
Part of the 400-city The Breaking News Network, the largest community news network supporting the social good","","Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://t.co/WX0mNWd4ap","en","","RT @glabreakingnews: Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://…","false","en","","501","","false","false","4","false","false","","3","","false","","0","Glasgow, UK","0","","","","","-1","johntg87","","false","","2013-11-29T23:01:28.000Z","","[glabreakingnews]","false"
"3202","5000","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","406558725831659520","1578125996","2013-07-08T16:57:16.000Z","Aviation Enthusiast, my life at high altitude, stabilizer in motion. Edelweiss Air my favourite Airlines.","","Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","","","en","en","false","[6017542, 87416722]","","101411","https://t.co/yjD4mOeepa","true","false","false","146","false","","89696","false","","153628","NYC, LA, London","","","23","-1","","","BreakingNews","","","2013-11-29T23:02:08.000Z","false","","[SkyNewsBreak]","","false","9565764","549","false","406559368684249088","MD80 plane","6017542","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2007-05-13T23:06:45.000Z","","","","Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","it","[87416722]","RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","false","en","","92675","","false","false","146","false","false","","191","","false","","6","Italy-Milano","0","","","","","-1","edelweiss330","","true","","2013-11-29T23:04:41.000Z","","[BreakingNews, SkyNewsBreak]","false"
"11204","1851","Kieran Andrews","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","406558819456937985","15893984","2008-08-18T17:23:05.000Z","Muslim broadcaster on TV, Radio, Columnist, Chief Executive of the Ramadhan Foundation & paper reviewer Saturdays @bbc5live info@mohammedshafiq.net","","""@mshafiquk: BREAKING NEWS: photo of the helicopter crash in Glasgow http://t.co/HcQOtY4fbr""","","","en","en","false","[885250999052414976, 15893984]","","16725","https://t.co/INQjfzZSkk","true","false","false","1","false","","93","false","","2590","Dundee/Holyrood/Westminster","[photo]","","1","-1","","","KieranAndrewsSP","","[http://pbs.twimg.com/media/BaRgxFHIQAI8k_V.jpg]","2013-11-29T23:02:30.000Z","true","","[mshafiquk]","","false","4319","3607","false","406559712646561792","Mohammed Shafiq","271413079","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2011-03-24T13:18:26.000Z","","Politics and Investigations Reporter @Sunday_Post. Sometimes 'bass + jumps' @PaperRifles. Stories/tips to kiandrews@sundaypost.com or Telegram KAndrews.","","""@mshafiquk: BREAKING NEWS: photo of the helicopter crash in Glasgow http://t.co/HcQOtY4fbr""","en","[15893984]","RT @C_KAndrews: ""@mshafiquk: BREAKING NEWS: photo of the helicopter crash in Glasgow http://t.co/HcQOtY4fbr""","false","en","","71201","https://t.co/9scxx8XuW3","true","false","1","false","false","","231","","false","[photo]","5344","Manchester, UK","0","","","","","-1","mshafiquk","","false","[http://pbs.twimg.com/media/BaRgxFHIQAI8k_V.jpg]","2013-11-29T23:06:03.000Z","","[C_KAndrews, mshafiquk]","false"
"117","219","BBC Breaking News","<a href=""http://www.comufy.com"" rel=""nofollow"">Comufy Social</a>","false","406555869548388352","564805328","2012-04-27T18:08:44.000Z","","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","847","false","","132018","false","[http://bbc.in/1im1hNu]","205","London, UK","","","75","-1","","","BBCBreaking","","","2013-11-29T22:50:47.000Z","false","","","","false","38241751","3","false","406558303339413504","AnthonyNoone","5402612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","en","","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","false","en","","1188","","true","false","847","false","false","","4","[http://bbc.in/1im1hNu]","false","","0","Reading, England","0","","","","","-1","anthonyjnoone","","true","","2013-11-29T23:00:27.000Z","","[BBCBreaking]","false"
"6066","6158","","","","","475311714","2012-01-26T22:37:56.000Z","You and I are gonna live forever","","Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side","","","","en","","","","","","","","false","1","false","","","false","","270","","","","","","","","","","","","false","","","","false","","","false","406557414130212864","JayMe Ⓜ️","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","3158","","true","false","","","","","23","","","","","Glasgow ","2","","","","","-1","JayMe_WATP","","","","2013-11-29T22:56:55.000Z","","",""
"1524","1074","The Scottish Sun","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","406554530596143105","42217634","2009-05-24T14:17:54.000Z","Fort Kinnaird offers great shopping in Edinburgh, Scotland. Shops include Boots, Marks and Spencer, New Look, Sports Direct, River Island, and lots more!","","BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.","","","en","en","false","[20583090]","","147998","http://t.co/Wab47l3SzU","true","false","false","141","false","","504","false","","566","Glasgow, UK","","","6","-1","","","ScottishSun","","","2013-11-29T22:45:28.000Z","false","","","","false","41179","891","false","406555266663317504","Fort Kinnaird","20583090","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","2009-02-11T11:10:40.000Z","","Get the latest Scottish news, entertainment and sport from your No.1 Scottish Sun. Also on Facebook http://t.co/RUOBJl7F8g","","BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.","en","","RT @ScottishSun: BREAKING: A helicopter has crashed in to the roof of a Glasgow City Centre pub. More to follow.","false","en","","4925","https://t.co/5gTiUtdFRT","true","false","141","false","false","","19","","false","","626","Edinburgh, Scotland","0","","","","","-1","FortKinnaird","","true","","2013-11-29T22:48:23.000Z","","[ScottishSun]","false"
"994","4424","","","","","1687518794","2013-08-21T05:37:25.000Z","++++ ARJUNA ARLOJI +++","","""@AFP: #BREAKING Helicopter crashes into pub in Scottish city of Glasgow: lawmaker, witnesses""","","","","en","","[380648579]","","","","","","false","0","false","","","false","","2543","","","","","","","","","","","","false","","","","false","","","false","406557955228585984","IVAN CHAI","","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","","","","","","en","","","false","","","21782","","true","false","","","","","14","","","",""," ++KETAPANG ++  KALBAR","0","","","","[BREAKING]","-1","ivanchai3","","","","2013-11-29T22:59:04.000Z","","[AFP]",""
"417","900","Rupert Morris👨🏻‍💻","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","406559498447646720","1329685418","2013-04-05T17:20:01.000Z","Hibernian FC :) Scottish snapchat craigquinny 21.5.16 dreams do come true","","Helicopter crashes into busy bar in #glasgow #clutha http://t.co/w2vCJaN8Bd","","","en","en","false","[268953874]","","5429","https://t.co/N6oi9NLi8H","true","false","false","600","false","","415","false","","11597","Glasgow, Scotland","[photo]","","43","-1","","","rupertgmorris","[glasgow, clutha]","[http://pbs.twimg.com/media/BaRjtZ_IMAAZBDV.jpg]","2013-11-29T23:05:12.000Z","false","","","","false","10063","1976","false","406561084154589185","Craig Quinn","268953874","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-03-19T20:24:42.000Z","","Lover of all things Digital Marketing, Marketing Automation, SEO, PPC & all that jazz (also play Sax) - need help? Get in touch!","","Helicopter crashes into busy bar in #glasgow #clutha http://t.co/w2vCJaN8Bd","en","","RT @rupertgmorris: Helicopter crashes into busy bar in #glasgow #clutha http://t.co/w2vCJaN8Bd","false","en","","15063","","true","false","600","false","false","","3","","false","[photo]","5359","Edinburgh Scotland","0","","","","[glasgow, clutha]","-1","Craigquinny1875","","false","[http://pbs.twimg.com/media/BaRjtZ_IMAAZBDV.jpg]","2013-11-29T23:11:30.000Z","","[rupertgmorris]","false"
"1396","2355","BuzzFeed News","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","406559214950051840","18707103","2009-01-07T02:35:23.000Z","","","Glasgow: ""Just spent 20 minutes pulling people out the bar,"" after a helicopter crashed into the roof. @scotscribbler http://t.co/TzCpy3WpHm","","","en","en","false","[1020058453, 19514654]","","133721","https://t.co/I6ADKX77mj","true","false","false","18","false","","11267","false","[https://twitter.com/scotscribbler/status/406550783057203200/photo/1]","75485","","","","3","-1","","","BuzzFeedNews","","","2013-11-29T23:04:05.000Z","false","","[scotscribbler]","","false","1247301","4782","false","406559259632357376","mr_ceebs","1020058453","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2012-12-18T15:46:37.000Z","","The most trusted @ username in news. Subscribe to our new weekly podcast ""The News"" https://t.co/SXQ4AbLwW9","","Glasgow: ""Just spent 20 minutes pulling people out the bar,"" after a helicopter crashed into the roof. @scotscribbler http://t.co/TzCpy3WpHm","en","[19514654]","RT @BuzzFeedNews: Glasgow: ""Just spent 20 minutes pulling people out the bar,"" after a helicopter crashed into the roof. @scotscribbler htt…","false","en","","106379","","true","false","18","false","false","","93","","false","","1698","Kettering,uk","0","","","","","-1","mr_ceebs","","true","","2013-11-29T23:04:15.000Z","","[BuzzFeedNews, scotscribbler]","false"
"1505","2401","Nick Harris","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","406555358547542016","504842638","2012-02-26T18:37:34.000Z","Cab Driver, Arsenal, F1, Borders ... Twitter is about different opinions believe it or not","","A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.","","","en","en","false","[75062648, 19514654]","","37605","http://t.co/CX9KbXIELN","false","false","false","31","false","","1947","false","","5878","","","","0","-1","","","sportingintel","","","2013-11-29T22:48:45.000Z","false","","[scotscribbler]","","false","111348","827","false","406557946819379200","Gary 🏎🏎🏁","75062648","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-09-17T17:16:01.000Z","","Sportingintelligence: A perpetually sceptical attempt to make sense of sport's relationship with money. Interested in conmen & numbers. Reassuringly grumpy.","","A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.","en","[19514654]","RT @sportingintel: A helicopter has apparently crashed into a bar in Glasgow, the Clutha. Updates via @scotscribbler and others.","false","en","","23947","https://t.co/RaLKJScEK6","true","false","31","false","false","","11","","false","","172","Hertfordshire","0","","","","","-1","GaryBrown_62","","true","","2013-11-29T22:59:02.000Z","","[sportingintel, scotscribbler]","false"
