"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"47","223","Glasgow News","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","false","406557397654581248","1511594671","2013-06-12T20:39:06.000Z","Football and NFL are my thing!","","Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://t.co/WX0mNWd4ap","","","en","en","false","[422053097]","","60924","https://t.co/LHljY6Npja","false","false","false","4","false","","75","false","[http://dlvr.it/4QC7Z1]","89","Glasgow, UK","","","0","-1","","","glabreakingnews","","","2013-11-29T22:56:51.000Z","false","","","","false","3997","230","false","406558559187779584","John Gillies","422053097","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2011-11-26T18:58:19.000Z","","Curating the best media feeds in Glasgow. 
Part of the 400-city The Breaking News Network, the largest community news network supporting the social good","","Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://t.co/WX0mNWd4ap","en","","RT @glabreakingnews: Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim... http://…","false","en","","501","","false","false","4","false","false","","3","","false","","0","Glasgow, UK","0","","","","","-1","johntg87","","false","","2013-11-29T23:01:28.000Z","","[glabreakingnews]","false"
"1535","4532","BBC Breaking News","<a href=""http://www.comufy.com"" rel=""nofollow"">Comufy Social</a>","false","406555869548388352","11886562","2008-01-05T20:57:20.000Z","Transport researcher interested in aviation & transport technology. President of @aerospacenz Live with wife Wendy & 3 Standard Poodles. RT ≠ endorsement.","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","847","false","","132018","false","[http://bbc.in/1im1hNu]","37476","London, UK","","","75","-1","","","BBCBreaking","","","2013-11-29T22:50:47.000Z","false","","","","false","38241751","3","false","406564301210546176","John Macilree","5402612","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","en","","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","false","en","","59243","https://t.co/iDFb5QuW3F","true","false","847","false","false","","426","[http://bbc.in/1im1hNu]","false","","0","Whangarei, New Zealand","0","","","","","-1","macilree","","true","","2013-11-29T23:24:17.000Z","","[BBCBreaking]","false"
"246","149","BBC Breaking News","<a href=""http://www.bbc.co.uk/news/"" rel=""nofollow"">BBC News</a>","false","406560120366051328","477587994","2012-01-29T10:33:46.000Z","Liverpool FC fan.  Indie rock music fan.  Views entirely my own.  #JFT96 #JFTSURVIVORS #JFTFAMILIES #DONTBUYTHESUN","","People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","643","false","","132018","false","[http://bbc.in/1im3lFj]","8216","London, UK","","","81","-1","","","BBCBreaking","[Clutha, helicopter]","","2013-11-29T23:07:40.000Z","false","","","","false","38241751","3","false","406562271138422784","Simon Hughes","5402612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv","en","","RT @BBCBreaking: People being ""pulled out"" of #Clutha pub after Glasgow #helicopter crash, eyewitness tells BBC News http://t.co/G4Yr6fuODv","false","en","","11991","","false","false","643","false","false","","6","[http://bbc.in/1im3lFj]","false","","0","","0","","","","[Clutha, helicopter]","-1","shuggythebear","","true","","2013-11-29T23:16:13.000Z","","[BBCBreaking]","false"
"3153","249","","","","","16035865","2008-08-29T01:39:41.000Z","Cabinet maker
Patriotic composer world known for Purple Hearted Heroes released on the Late Show's Gospel choir Debut  Album 

https://t.co/cLrq3RfXlk","","HEADLINES Helicopter crashes into Glasgow pub: Helicopter crashes into pub on banks of River Cly... http://t.co/okMLt9iuI5 Follow Warren","","","","en","","","","","","","","false","0","false","","","false","","1641","","","","","","","","","","","","false","","","","false","","","false","406562812236820480","Anointed adopted son of God","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","375610","https://t.co/siJ15lqKTU","true","false","","","","","90","[http://bbc.in/IrODMt]","","","","http://www.lovingamerica.us","0","","","","","-1","warrenmichaels","","","","2013-11-29T23:18:22.000Z","","",""
"3202","5000","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","406558725831659520","1578125996","2013-07-08T16:57:16.000Z","Aviation Enthusiast, my life at high altitude, stabilizer in motion. Edelweiss Air my favourite Airlines.","","Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","","","en","en","false","[6017542, 87416722]","","101411","https://t.co/yjD4mOeepa","true","false","false","146","false","","89696","false","","153628","NYC, LA, London","","","23","-1","","","BreakingNews","","","2013-11-29T23:02:08.000Z","false","","[SkyNewsBreak]","","false","9565764","549","false","406559368684249088","MD80 plane","6017542","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2007-05-13T23:06:45.000Z","","","","Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","it","[87416722]","RT @BreakingNews: Reports of multiple people trapped after helicopter crashes into the roof of a pub in Glasgow - @SkyNewsBreak","false","en","","92675","","false","false","146","false","false","","191","","false","","6","Italy-Milano","0","","","","","-1","edelweiss330","","true","","2013-11-29T23:04:41.000Z","","[BreakingNews, SkyNewsBreak]","false"
"117","219","BBC Breaking News","<a href=""http://www.comufy.com"" rel=""nofollow"">Comufy Social</a>","false","406555869548388352","564805328","2012-04-27T18:08:44.000Z","","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","847","false","","132018","false","[http://bbc.in/1im1hNu]","205","London, UK","","","75","-1","","","BBCBreaking","","","2013-11-29T22:50:47.000Z","false","","","","false","38241751","3","false","406558303339413504","AnthonyNoone","5402612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","en","","RT @BBCBreaking: Helicopter crashes into pub on banks of River Clyde in Glasgow, MP Jim Murphy tells BBC News http://t.co/laQRtqFLNi","false","en","","1188","","true","false","847","false","false","","4","[http://bbc.in/1im1hNu]","false","","0","Reading, England","0","","","","","-1","anthonyjnoone","","true","","2013-11-29T23:00:27.000Z","","[BBCBreaking]","false"
"636","2672","STV News","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","406560090544943104","311649216","2011-06-05T20:21:59.000Z","Freelance PR & Social Media Manager","","A helicopter has crashed into the roof of the Clutha Bar is Stockwell Street in Glasgow http://t.co/0j2lszbBek","","","en","en","false","[20132853]","","181843","https://t.co/Jon1aMuyLO","true","false","false","153","false","","1726","false","[http://fb.me/13rYuepQH]","4241","Scotland","","","21","-1","","","STVNews","","","2013-11-29T23:07:33.000Z","false","","","","false","437227","14067","false","406563357479927808","Siobhan Murray","20132853","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-02-05T09:55:44.000Z","","The home of Scottish news. Get our free news app: 
https://t.co/DvUBT0pZMo  | Daily email: https://t.co/3mD2Bex4J6 | Watch: https://t.co/ogSVacRwrV","","A helicopter has crashed into the roof of the Clutha Bar is Stockwell Street in Glasgow http://t.co/0j2lszbBek","en","","RT @STVNews: A helicopter has crashed into the roof of the Clutha Bar is Stockwell Street in Glasgow http://t.co/0j2lszbBek","false","en","","2962","","false","false","153","false","false","","19","[http://fb.me/13rYuepQH]","false","","391","Bo'ness, Scotland","0","","","","","-1","SiobhanMurray","","true","","2013-11-29T23:20:32.000Z","","[STVNews]","false"
"64868","3260","","","","","105520076","2010-01-16T16:06:01.000Z","Acting: https://t.co/oJnT3EbdQ2 Writing: https://t.co/NbDWMwTe9d Voice: https://t.co/2jIotqQ1au","","Horrific scenes from this helicopter crash in Glasgow- just hope the images betray the outcome. Thoughts to all those affected. #clutha","","","","en","","","","","","","","false","111","false","","","false","","10672","","","","","","","","","","","","true","","","","false","","","false","406566926811279360","Greg McHugh","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","20521","https://t.co/oJnT3EbdQ2","true","false","","","","","202","","","","","The Seaside ","75","","","","[clutha]","-1","gregjmchugh","","","","2013-11-29T23:34:43.000Z","","",""
"100","213","dougie","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","406561752294244352","1002982249","2012-12-11T00:56:11.000Z","Follow me and i will follow back! Instagram jazza_94 follow me!","","helicopter crash in glasgow hope everyone in the pub is ok, pic from http://t.co/TVwU29DoPQ","","","en","en","false","[153364566]","","8980","","false","false","false","49","false","","8","false","","467","YES  GLASGOW","[photo]","","11","-1","","","dougie_1888","","[http://pbs.twimg.com/media/BaRlwnlCQAAJH20.jpg]","2013-11-29T23:14:10.000Z","false","","","","false","1022","1169","false","406565223953608704","Jordan Wright","153364566","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-06-08T10:42:05.000Z","","Celtic fan love watching the hoops anywhere, will always support a just cause anywhere,a massive supporter of scottish independence vote yes","","helicopter crash in glasgow hope everyone in the pub is ok, pic from http://t.co/TVwU29DoPQ","en","","RT @dougie_1888: helicopter crash in glasgow hope everyone in the pub is ok, pic from http://t.co/TVwU29DoPQ","false","en","","733","","false","false","49","false","false","","1","","false","[photo]","2620","Lesmahagow","0","","","","","-1","Jazza_94","","false","[http://pbs.twimg.com/media/BaRlwnlCQAAJH20.jpg]","2013-11-29T23:27:57.000Z","","[dougie_1888]","false"
"6066","6158","","","","","475311714","2012-01-26T22:37:56.000Z","You and I are gonna live forever","","Wtf a helicopter has crashed in a pub in Glasgow? ????? The Clutha or suhin at the clyde side","","","","en","","","","","","","","false","1","false","","","false","","270","","","","","","","","","","","","false","","","","false","","","false","406557414130212864","JayMe Ⓜ️","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","3158","","true","false","","","","","23","","","","","Glasgow ","2","","","","","-1","JayMe_WATP","","","","2013-11-29T22:56:55.000Z","","",""
