"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"778276","686","The Telegraph","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","396325089781641216","14138785","2008-03-13T11:27:48.000Z","The latest national and international news from the https://t.co/cJ9Ctg93KL team.","","Watch live: Los Angeles International Airport evacuated after shots fired http://t.co/CeCBbTFdzF #LAX","","","en","en","false","[16343974]","","321281","http://t.co/yxRjRj4dXg","false","false","false","23","false","","16495","false","[http://fw.to/guHz7xQ]","28","London, UK","","","3","-1","","","Telegraph","[LAX]","","2013-11-01T17:17:19.000Z","true","","","","false","2480130","607","false","396325115949883392","Telegraph News","16343974","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2008-09-18T06:50:54.000Z","","Think ahead with the latest news, comment, analysis and video.","","Watch live: Los Angeles International Airport evacuated after shots fired http://t.co/CeCBbTFdzF #LAX","en","","RT @Telegraph: Watch live: Los Angeles International Airport evacuated after shots fired http://t.co/CeCBbTFdzF #LAX","false","en","","208549","http://t.co/IWZKrpsY6l","true","false","23","false","false","","12865","[http://fw.to/guHz7xQ]","false","","4","London, UK","0","","","","[LAX]","-1","TelegraphNews","","true","","2013-11-01T17:17:25.000Z","","[Telegraph]","false"
"87","1778","Grasswire","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","396323909030518787","968934326","2012-11-24T22:43:17.000Z","","","#LAX UPDATE: Several people have been shot according to LAPD police scanner. Citywide tactical alert declared","","","en","en","false","[495464885]","","19298","https://t.co/SuogHAydL3","false","false","false","21","false","","1826","false","","4005","Worldwide","","","2","-1","","","Grasswire","[LAX]","","2013-11-01T17:12:37.000Z","false","","","","false","175732","47361","false","396324021211762688","jeff thomas","495464885","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2012-02-18T00:30:45.000Z","","Global community of journalists using an open newsroom to find, fact-check and report the world's most important news. No clickbait, no spin.","","#LAX UPDATE: Several people have been shot according to LAPD police scanner. Citywide tactical alert declared","en","","RT @grasswire: #LAX UPDATE: Several people have been shot according to LAPD police scanner. Citywide tactical alert declared","false","en","","5342","","true","false","21","false","false","","0","","false","","1879","Dunmore,pa","0","","","","[LAX]","-1","Jeffthomas11Jt","","false","","2013-11-01T17:13:04.000Z","","[Grasswire]","false"
"17187","9839","CBS Evening News","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","396323905612562432","16428731","2008-09-24T01:35:22.000Z","Correspondent @CBSNews tweets/retweets/messages are not the opinion or endorsement of CBS News.","","NOW: We're on the air for a @CBSNews special report on the #LAXShooting. @JeffGlor anchors.","","","en","en","false","[42958829, 15012486, 41662642]","","82174","http://t.co/Mm7FlsMteV","true","false","false","17","false","","3983","false","","17090","📺 6:30pm ET","","","0","-1","","","CBSEveningNews","[LAXShooting]","","2013-11-01T17:12:37.000Z","true","","[CBSNews, jeffglor]","","false","287654","1553","false","396324549710839809","Jamie Yuccas","42958829","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-05-27T20:08:03.000Z","","The official account of The CBS Evening News with @JeffGlor, the longest running evening newscast.","","NOW: We're on the air for a @CBSNews special report on the #LAXShooting. @JeffGlor anchors.","en","[15012486, 41662642]","RT @CBSEveningNews: NOW: We're on the air for a @CBSNews special report on the #LAXShooting. @JeffGlor anchors.","false","en","","17735","https://t.co/lEXjgGfQYx","true","false","17","false","false","","350","","false","","1093","Los Angeles, CA","0","","","","[LAXShooting]","-1","jamieyuccas","","true","","2013-11-01T17:15:10.000Z","","[CBSEveningNews, CBSNews, jeffglor]","false"
"1795","2817","David Adair","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","396319342754680832","207783185","2010-10-26T01:06:29.000Z","USC Fighting #Gamecocks #SpursUp 🐓🤙🏿#ChopOn  #KeepPounding #BuzzCity & Carolina #Hurricanes #BlackLivesMatter #LGBTQ 🌈 #Democrat #TheResistance 🇺🇸","","Reports of man with rifle opened fire in terminal 3 at #LAX","","","en","en","false","[25738290]","","19565","","true","false","false","3","false","","65","false","","89732","Columbia South Carolina","","","0","-1","","","CaptDaveOnAir","[LAX]","","2013-11-01T16:54:29.000Z","false","","","","false","5038","4595","false","396319692694233088","Charlie Moore Jr.🌊","25738290","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2009-03-21T22:22:43.000Z","","","","Reports of man with rifle opened fire in terminal 3 at #LAX","en","","RT @CaptDaveOnAir: Reports of man with rifle opened fire in terminal 3 at #LAX","false","en","","261217","","true","false","3","false","false","","115","","false","","36509","GAMECOCK COUNTRY,Columbia,SC","0","","","","[LAX]","-1","USCGamecockBoy","","false","","2013-11-01T16:55:52.000Z","","[CaptDaveOnAir]","false"
"7643","2262","NewsBreaker","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","396315304604614657","1931069166","2013-10-03T15:26:22.000Z","took a break from work to see what else is out there: from Jan'14 to Feb'15 we enjoyed #travelling & #backpacking around #SEA #China & #Australia","","EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http://t.co/LdPp8RRvqS","","","en","en","false","[774393817, 60101131]","","64595","http://t.co/dEOV3Oauy0","false","false","false","93","false","","2524","false","","272","","","","5","-1","","","NewsBreaker","[LAX]","[http://pbs.twimg.com/media/BX_-q2eCQAAbWny.jpg]","2013-11-01T16:38:26.000Z","false","","[ToryBelleci]","","false","83873","4968","false","396317331330433024","The Two Gallivants","774393817","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2012-08-22T20:02:43.000Z","","@OraTV's @NewsBreaker team delivers #breakingnews and trending buzz in 45 seconds. Tips: newsbreaker@ora.tv","","EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http://t.co/LdPp8RRvqS","en-gb","[60101131]","RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http…","false","en","","1196","http://t.co/grKAAQQqcy","true","false","93","false","false","","109","","false","[photo]","3385","London","0","","","","[LAX]","-1","twogallivants","","true","","2013-11-01T16:46:29.000Z","","[NewsBreaker, ToryBelleci]","false"
"1296","1367","KIRO 7","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","396315297822826496","218547767","2010-11-22T16:50:54.000Z","News, sports and lifestyle stories from the Pacific Northwest | Member of the @CBSRadio Seattle Group","","RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","","","en","en","false","[21116401, 24928809]","","270624","http://t.co/NA38YP3JA7","true","false","false","2","false","","3653","false","[http://cbsloc.al/1dYBR5E]","121","Seattle","","","0","-1","","","KIRO7Seattle","[BREAKING, LAPD, LAX]","","2013-11-01T16:38:24.000Z","false","","[CBSLA]","","false","422949","10020","false","396318828675616768","CBS Seattle","21116401","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-02-17T18:49:24.000Z","","News, traffic, & weather from Seattle and Western WA. Download our apps: https://t.co/QHuM65be3k (Note: Tweets to us may be showcased in any of our media.)","","RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","en","[24928809]","RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp","false","en","","11886","https://t.co/OhxHCJLB8a","false","false","2","false","false","","108","[http://cbsloc.al/1dYBR5E]","false","","4198","Seattle, WA","0","","","","[BREAKING, LAPD, LAX]","-1","CBSSeattleWA","","true","","2013-11-01T16:52:26.000Z","","[KIRO7Seattle, CBSLA]","false"
"10020","4183","","","","","125637896","2010-03-23T12:05:54.000Z","Driven by Need, Led by Experience, Powered by Volunteers. USA based Public Charity - Internet Based Disaster Response CFC #28433","","If you #Follow #LAX make sure you are RT official guidance; verify x 2, tweet once.","","","","en","","","","","","","","false","6","false","","","false","","1471","","","","","","","","","","","","true","","","","false","","","false","396324683924008961","Humanity Road","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","55427","http://t.co/7rxSVAPx8b","true","false","","","","","739","","","","","Digital Disaster Response","4","","","","[Follow, LAX]","-1","HumanityRoad","","","","2013-11-01T17:15:42.000Z","","",""
"462","290","","","","","593241608","2012-05-29T01:40:25.000Z","drinking wine & feeling fine","","My dad and my uncle spend so much time at the airport, I'm so thankful they were both home and safe during the LAX shooting","","","","en","","","","","","","","false","0","false","","","false","","7556","","","","","","","","","","","","false","","","","false","","","false","396320305083211776","Hannah","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","5145","","true","false","","","","","0","","","","","Orange, CA","5","","","","","-1","Hannahbrower_","","","","2013-11-01T16:58:18.000Z","","",""
"1025","2518","Robert Taylor","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","false","396323432909901824","20554825","2009-02-10T22:55:41.000Z","looking for what lies between life and death","","Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http://t.co/Id0Hdb882L","","","en","en","false","[15737544]","","127615","http://t.co/VCTYqurUMZ","true","false","false","1","false","","67","false","[http://bit.ly/1cuZqiM]","13124","iPhone: 42.341812,-71.077438","","","0","-1","","","RobertTaylors","","","2013-11-01T17:10:44.000Z","false","","","","false","1342","1978","false","396323811521736704","epluribusawesome","15737544","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2008-08-05T15:45:26.000Z","","Boston, MA-IT Manager and Progressive political junkie. My views are my own.","","Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http://t.co/Id0Hdb882L","en","","RT @RobertTaylors: Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http:/…","false","en","","51635","","true","false","1","false","false","","92","","false","","516","Views do not represent anyone","0","","","","","-1","SBUX75DEVILDOG","","false","","2013-11-01T17:12:14.000Z","","[RobertTaylors]","false"
"1962","2131","LAX Airport","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","396319130082885632","479314200","2012-01-31T07:44:06.000Z","Flandus follow me! This page is dedicated to Flandus and the projects they do. :-)","","Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.","","","en","en","false","[2548302720]","","25610","https://t.co/3CmDyi3A5j","true","false","false","1064","false","","2168","false","","19922","Los Angeles","","","89","-1","","","flyLAXairport","","","2013-11-01T16:53:38.000Z","false","","","","false","110182","1089","false","396321395581272064","FlandusFandom","26886095","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-03-26T23:27:00.000Z","","Welcome to the 5th busiest airport in the world, 2nd in the U.S., and a Gateway to the Pacific Rim. LAX reserves the right to remove any comments. #flyLAX","","Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.","en","","RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.","false","en","","21137","https://t.co/L5eY0KboWE","false","false","1064","false","false","","23","","false","","1853","","0","","","","","-1","MarthaWehrly","","true","","2013-11-01T17:02:38.000Z","","[LAX_Official]","false"
