"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"3295","2811","","","","","16251475","2008-09-12T02:05:43.000Z","Multimedia journalist & social media strategist. Toronto transplant living in the Bay Area. Managing Editor - News for @PraetorianDigtl","","RT @CBCAlerts: Downtown #Lac-Megantic, Que., in flames after derailment  . Mayor says city centre destroyed. http://t.co/W0YleOhR4i","353499784604168193","","","en","","[19038934]","","","","","","false","0","false","","","false","","261","","","","","","","CBCAlerts","","","","","true","","","","false","","","false","353504749166919680","Meera Pal","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","8409","","true","false","","","","","138","[http://bit.ly/1a0PRXQ]","","","","San Francisco, CA","0","19038934","","","[Lac]","-1","Meerakat","","","","2013-07-06T13:24:34.000Z","","[CBCAlerts]",""
"1392","1573","","","","","913553364","2012-10-30T00:37:08.000Z","Artiste et souverainiste, je veux comprendre et échanger sur tous les dossiers chauds de l'heure.","","#LacMégantic Plusieurs édifices du patrimoine incendiés #bibliothèqueenautre","","","","fr","","","","","","","","false","1","false","","","false","","1414","","","","","","","","","","","","false","","","","false","","","false","353488005501169665","Silvie Bilodeau","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","fr","","","false","","","3384","","false","false","","","","","12","","","","","Québec","0","","","","[LacMégantic, bibliothèqueenautre]","-1","BilodeauSilvie","","","","2013-07-06T12:18:02.000Z","","",""
"634","1531","LesNews","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","false","353502812379938816","312185502","2011-06-06T18:27:51.000Z","« Il n’y a qu’un moyen de servir réellement la France, c’est de l’aimer. » (Georges Bernanos)","","Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t.co/yCivZoKhfH","","","fr","fr","false","[57732899]","","59162","https://t.co/q09JkfIAZe","false","false","false","33","false","","3279","false","[http://twitpic.com/d153b8]","745","Europe / Canada","","","5","-1","","","LesNews","","","2013-07-06T13:16:52.000Z","false","","","","false","405628","1246","false","353503016910979072","Jésus Noir","57732899","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-07-17T19:29:48.000Z","","Depuis 2009, les dernières informations en français. Alerte, Flash info, Breaking news ! https://t.co/q09JkfIAZe","","Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t.co/yCivZoKhfH","fr","","RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…","false","fr","","28787","","true","false","33","false","false","","22","","false","","865","","0","","","","","-1","blackJizzus","","false","","2013-07-06T13:17:41.000Z","","[LesNews]","false"
"6074","2556","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","353497238523228160","372988011","2011-09-13T19:53:02.000Z","Mom,mentor & friend. Radio Host @1059TheRegion - Support women, kids and strong communities. Love my news,coffee and my open toed shoes :)","","Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http://t.co/8XDNAFu1Fi","","","en","en","false","[6017542, 28785486]","","101411","https://t.co/yjD4mOeepa","true","false","false","237","false","","89696","false","[http://abcn.ws/1be87hT]","1914","NYC, LA, London","","","23","-1","","","BreakingNews","","","2013-07-06T12:54:43.000Z","true","","[ABC]","","false","9565763","549","false","353497451098939393","Christine Bentley","6017542","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","2007-05-13T23:06:45.000Z","","","","Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http://t.co/8XDNAFu1Fi","en","[28785486]","RT @BreakingNews: Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http:…","false","en","","15839","https://t.co/ptb0U6LK6d","true","false","237","false","false","","113","","false","","6","Toronto, Ontario","0","","","","","-1","Chris_Bentley77","","true","","2013-07-06T12:55:34.000Z","","[BreakingNews, ABC]","false"
"3245","3138","Sûreté du Québec","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","353485994173022208","212015182","2010-11-04T22:21:35.000Z","Arts politique bizarrerie peinture écriture auto hockey boxe! Même les bijoux ;) Adore mes gars, bon vin+bouffe et la réglisse rouge😉
FB : Lucie Luyacreations","","Environ 1 000 personnes ont été évacuées jusqu'à maintenant. #déflagration #LacMégantic","","","fr","fr","false","[92858317]","","6198","https://t.co/DvXBYfywOj","false","false","false","28","false","","882","false","","6776","Québec, Canada","","","1","-1","","","sureteduquebec","[déflagration, LacMégantic]","","2013-07-06T12:10:03.000Z","false","","","","false","175811","272","false","353487460250025984","Lucie","92858317","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-11-26T23:28:19.000Z","","La Sûreté du Québec dessert l'ensemble du territoire québécois. Ce compte n'est pas surveillé en tout temps, communiquez toute urgence au 310-4141 ou au 9-1-1.","","Environ 1 000 personnes ont été évacuées jusqu'à maintenant. #déflagration #LacMégantic","fr","","RT @sureteduquebec: Environ 1 000 personnes ont été évacuées jusqu'à maintenant. #déflagration #LacMégantic","false","fr","","39191","https://t.co/yMTFAPykS8","true","false","28","false","false","","75","","false","","307","Vegas Paris..ça dépend du rêve","0","","","","[déflagration, LacMégantic]","-1","Luyacreations","","true","","2013-07-06T12:15:52.000Z","","[sureteduquebec]","false"
"2159","1032","BuzzFeed News","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","353510573994033152","146494081","2010-05-21T15:33:55.000Z","Romance For Every Heart. Eternal optimist. Believer in happy endings and the magical power of tiaras. Also coffee. Home of the perpetual WIP. She/her.","","Huge train derailment and explosion in Quebec. 1000 people evacuated. http://t.co/jkihDOiKZ8 http://t.co/CuegHk3iNo","","","en","en","false","[1020058453]","","133721","https://t.co/I6ADKX77mj","true","false","false","64","false","","11264","false","[http://twitpic.com/d1557y]","4171","","[photo]","","8","-1","","","BuzzFeedNews","","[http://pbs.twimg.com/media/BOfqTvZCQAAZ0cU.png]","2013-07-06T13:47:43.000Z","false","","","","false","1247302","4782","false","353511309054197761","SHAENANIGANS! 📚⚾💜","1020058453","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","2012-12-18T15:46:37.000Z","","The most trusted @ username in news. Subscribe to our new weekly podcast ""The News"" https://t.co/SXQ4AbLwW9","","Huge train derailment and explosion in Quebec. 1000 people evacuated. http://t.co/jkihDOiKZ8 http://t.co/CuegHk3iNo","en","","RT @BuzzFeedNews: Huge train derailment and explosion in Quebec. 1000 people evacuated. http://t.co/jkihDOiKZ8 http://t.co/CuegHk3iNo","false","en","","75501","https://t.co/iFdyAwSXNj","false","false","64","false","false","","89","[http://twitpic.com/d1557y]","false","[photo]","1698","Atlanta","0","","","","","-1","shaeconnor","","true","[http://pbs.twimg.com/media/BOfqTvZCQAAZ0cU.png]","2013-07-06T13:50:38.000Z","","[BuzzFeedNews]","false"
"1303","1018","","","","","32567300","2009-04-17T20:32:52.000Z","Retraitée - traductrice anglais-français - correctrice de textes - biographe - bilingue-hispanophile-italophile. Mamie de Lili-Rose (10) Romane (8) Eva (6).","","À ma TL: Ai-je des gens de Lac Mégantic sur ma TL!!! Recevez toute ma sympathie.","","","","fr","","","","","","","","false","0","false","","","false","","10690","","","","","","","","","","","","false","","","","false","","","false","353524131070873601","Lise Roy","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","fr","","","false","","","57814","","true","false","","","","","31","","","","","Vieux Sainte-Rose (Laval)","0","","","","","-1","liseroy213","","","","2013-07-06T14:41:35.000Z","","",""
"4645","577","Sûreté du Québec","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","353519189769732096","120373127","2010-03-06T07:15:15.000Z","Head Scout @ScoutingService covering NHL & QMJHL Draft | Zone Junior le podcast https://t.co/pjn86bQoeA","","#déflagration à #LacMégantic : photographie prise à partir de l'hélicoptère de la Sûreté du Québec. http://t.co/9l3sZK6wDj","","","fr","fr","false","[92858317]","","6198","https://t.co/DvXBYfywOj","false","false","false","362","false","","882","false","","1302","Québec, Canada","","","30","-1","","","sureteduquebec","[déflagration, LacMégantic]","[http://pbs.twimg.com/media/BOfz1IACQAAS0tZ.jpg]","2013-07-06T14:21:57.000Z","false","","","","false","175811","272","false","353528417641177088","Jérôme Bérubé","92858317","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-11-26T23:28:19.000Z","","La Sûreté du Québec dessert l'ensemble du territoire québécois. Ce compte n'est pas surveillé en tout temps, communiquez toute urgence au 310-4141 ou au 9-1-1.","","#déflagration à #LacMégantic : photographie prise à partir de l'hélicoptère de la Sûreté du Québec. http://t.co/9l3sZK6wDj","en","","RT @sureteduquebec: #déflagration à #LacMégantic : photographie prise à partir de l'hélicoptère de la Sûreté du Québec. http://t.co/9l3sZK6…","false","fr","","56290","https://t.co/Akp7jvp0VY","true","false","362","false","false","","127","","false","[photo]","307","Montréal, Québec","0","","","","[déflagration, LacMégantic]","-1","Jerome_Berube","","true","","2013-07-06T14:58:37.000Z","","[sureteduquebec]","false"
"2164","503","","","","","973846591","2012-11-27T12:54:22.000Z","Le Journal de Québec - Édition Saguenay-Lac-Saint-Jean. Pour vous, le meilleur des deux mondes. jdq-scoop-saglac@quebecormedia.com","","Explosion et incendie spectaculaire au centre-ville de Lac-Mégantic http://t.co/7g7hbFDZIA","","","","fr","","","","","","","","false","0","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","353419046982664192","jdeq_saglac","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","fr","","","false","","","14035","http://t.co/Pe0XWuFLXe","false","false","","","","","51","[http://www.journaldemontreal.com/2013/07/06/important-incendie-a-lac-megantic]","","","","","0","","","","","-1","jdeq_saglac","","","","2013-07-06T07:44:01.000Z","","",""
"521","1379","Michelle Sullivan","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","353487663078187008","247439529","2011-02-04T20:11:04.000Z","Montreal downtown urban gal; Golden Square Mile citizen, Public Relations professional; MCM; Corporate Social Responsibility (#CSR) focus; #travel; #wine lover","","Horreur: une pensée pour les pompiers qui combattent un feu énorme au centre-ville de #LacMegantic et pour les 6000 âmes du village...","","","en","fr","false","[5795982]","","7906","https://t.co/MqGGTlVI6n","false","false","false","4","false","","380","false","","3322","Montreal, Sainte-Adèle","","","0","-1","","","msullivan","[LacMegantic]","","2013-07-06T12:16:41.000Z","false","","","","false","4088","3876","false","353504275210579968","Paula Bernardino","5795982","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2007-05-05T21:53:01.000Z","","Citoyenne engagée, pro RP - spécialiste médias sociaux + chargée de cours à l'université McGill #CBUS110 #CBUS112 #CBUS113. Historienne dans l'âme.","","Horreur: une pensée pour les pompiers qui combattent un feu énorme au centre-ville de #LacMegantic et pour les 6000 âmes du village...","en","","RT @msullivan: Horreur: une pensée pour les pompiers qui combattent un feu énorme au centre-ville de #LacMegantic et pour les 6000 âmes du …","false","fr","","4640","","true","false","4","false","false","","54","","false","","1182","Montréal","0","","","","[LacMegantic]","-1","Paula_B_CSR","","false","","2013-07-06T13:22:41.000Z","","[msullivan]","false"
