"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"3295","2811","","","","","16251475","2008-09-12T02:05:43.000Z","Multimedia journalist & social media strategist. Toronto transplant living in the Bay Area. Managing Editor - News for @PraetorianDigtl","","RT @CBCAlerts: Downtown #Lac-Megantic, Que., in flames after derailment  . Mayor says city centre destroyed. http://t.co/W0YleOhR4i","353499784604168193","","","en","","[19038934]","","","","","","false","0","false","","","false","","261","","","","","","","CBCAlerts","","","","","true","","","","false","","","false","353504749166919680","Meera Pal","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","8409","","true","false","","","","","138","[http://bit.ly/1a0PRXQ]","","","","San Francisco, CA","0","19038934","","","[Lac]","-1","Meerakat","","","","2013-07-06T13:24:34.000Z","","[CBCAlerts]",""
"634","1531","LesNews","<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","false","353502812379938816","312185502","2011-06-06T18:27:51.000Z","« Il n’y a qu’un moyen de servir réellement la France, c’est de l’aimer. » (Georges Bernanos)","","Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t.co/yCivZoKhfH","","","fr","fr","false","[57732899]","","59162","https://t.co/q09JkfIAZe","false","false","false","33","false","","3279","false","[http://twitpic.com/d153b8]","745","Europe / Canada","","","5","-1","","","LesNews","","","2013-07-06T13:16:52.000Z","false","","","","false","405628","1246","false","353503016910979072","Jésus Noir","57732899","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","2009-07-17T19:29:48.000Z","","Depuis 2009, les dernières informations en français. Alerte, Flash info, Breaking news ! https://t.co/q09JkfIAZe","","Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t.co/yCivZoKhfH","fr","","RT @LesNews: Quebec: Un incendie majeur a éclaté au centre-ville de Lac-Mégantic, à la suite du déraillement d'un train.(lapresse) http://t…","false","fr","","28787","","true","false","33","false","false","","22","","false","","865","","0","","","","","-1","blackJizzus","","false","","2013-07-06T13:17:41.000Z","","[LesNews]","false"
"6074","2556","Breaking News","<a href=""http://www.breakingnews.com"" rel=""nofollow"">breakingnews.com</a>","false","353497238523228160","372988011","2011-09-13T19:53:02.000Z","Mom,mentor & friend. Radio Host @1059TheRegion - Support women, kids and strong communities. Love my news,coffee and my open toed shoes :)","","Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http://t.co/8XDNAFu1Fi","","","en","en","false","[6017542, 28785486]","","101411","https://t.co/yjD4mOeepa","true","false","false","237","false","","89696","false","[http://abcn.ws/1be87hT]","1914","NYC, LA, London","","","23","-1","","","BreakingNews","","","2013-07-06T12:54:43.000Z","true","","[ABC]","","false","9565763","549","false","353497451098939393","Christine Bentley","6017542","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","2007-05-13T23:06:45.000Z","","","","Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http://t.co/8XDNAFu1Fi","en","[28785486]","RT @BreakingNews: Entire town of Lac-Megantic in Quebec evacuated after freight train carrying crude oil derails, catches fire - @ABC http:…","false","en","","15839","https://t.co/ptb0U6LK6d","true","false","237","false","false","","113","","false","","6","Toronto, Ontario","0","","","","","-1","Chris_Bentley77","","true","","2013-07-06T12:55:34.000Z","","[BreakingNews, ABC]","false"
"4010","2897","RT","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","353552022227783680","78436225","2009-09-29T22:36:21.000Z","No Nazis, No Racists!! Tweets allround the world. 
Wer mich voll-labert, kann sich trollen. NoMarketing-Trolls. Basta","","‘It's dreadful’: Several missing as #Canada oil train explosion forces town evacuation (VIDEO) http://t.co/9RpmtY1j6Q #LacMegantic","","","en","en","false","[64643056]","","257071","http://t.co/bDDyvy9DmR","true","false","false","40","false","","21437","false","[http://on.rt.com/v4vcgr]","10149","","","","3","-1","","","RT_com","[Canada, LacMegantic]","","2013-07-06T16:32:25.000Z","false","","","","false","2702451","626","false","353554317459996673","Loretta","64643056","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-08-11T06:12:45.000Z","","RT, the global news network, broadcasts from Moscow, London, Paris and Washington studios to over 100 countries.","","‘It's dreadful’: Several missing as #Canada oil train explosion forces town evacuation (VIDEO) http://t.co/9RpmtY1j6Q #LacMegantic","de","","RT @RT_com: ‘It's dreadful’: Several missing as #Canada oil train explosion forces town evacuation (VIDEO) http://t.co/9RpmtY1j6Q #LacMegan…","false","en","","324007","","false","false","40","false","false","","517","[http://on.rt.com/v4vcgr]","false","","856","","0","","","","[Canada]","-1","laRossa05","","true","","2013-07-06T16:41:32.000Z","","[RT_com]","false"
"3769","585","Sky News","<a href=""http://news.sky.com"" rel=""nofollow"">SkyNews Alerts - Latest</a>","false","353543823110057985","217909449","2010-11-20T21:50:38.000Z","Journalist & Broadcaster. Channel 5 News. Freelance newsreader talkSPORT/talkRADIO & Eagle Radio. Ex GBC News & Radio Gibraltar. MA Broadcast Journalism","","Canada Explosion: Oil Train Derails In Quebec http://t.co/KnoBCMAWFe","","","en","fr","false","[7587032]","","290147","https://t.co/SnOv0usOtw","false","false","false","17","false","","22844","false","[http://news.sky.com/story/1112401/canada-explosion-oil-train-derails-in-quebec]","3607","London, UK","","","1","-1","","","SkyNews","","","2013-07-06T15:59:50.000Z","false","","","","false","4634908","25","false","353545035469438976","James Neish","7587032","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-07-19T14:42:53.000Z","","Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.","","Canada Explosion: Oil Train Derails In Quebec http://t.co/KnoBCMAWFe","en","","RT @SkyNews: Canada Explosion: Oil Train Derails In Quebec http://t.co/KnoBCMAWFe","false","fr","","11283","https://t.co/m2mgWSAvkn","false","false","17","false","false","","67","[http://news.sky.com/story/1112401/canada-explosion-oil-train-derails-in-quebec]","false","","18","From Gibraltar, in London","0","","","","","-1","JamesNeish","","true","","2013-07-06T16:04:39.000Z","","[SkyNews]","false"
"571","1125","","","","","70275246","2009-08-31T01:52:18.000Z","Fondatrice et Blogueuse: Thé vert & chocolat |Conseillère en Communications @100_degres @QUEBECENFORME | Mère-poule à distance | Aspirante Geek | Tweets persos","","Un train transportant du pétrole à déraillé à lac Megantic en Estrie.  Explosions. #lacmegantic","","","","fr","","","","","","","","false","0","false","","","false","","98","","","","","","","","","","","","false","","","","false","","","false","353474940252594178","sylvie charbonneau","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","fr","","","false","","","3369","https://t.co/ISZnNT2U3R","false","false","","","","","56","","","","","sherbrooke","0","","","","[lacmegantic]","-1","sylviecha","","","","2013-07-06T11:26:07.000Z","","",""
"738","1886","Michel Dumais","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","353414937583947776","86842579","2009-11-02T01:10:57.000Z","Conseiller aux entreprises à la MRC #DesSources. Conseiller municipal Canton de Stratford. Mes tweets n'engagent que moi.","","Lac-Mégantic: les premières vidéos citoyens de la catastrophe  (suite) https://t.co/GXQk4gdIoG","","","fr","fr","false","[5973282]","","20943","","false","false","false","1","false","","333","false","[https://www.facebook.com/jdemontreal/posts/469887866439214]","128","Montreal","","","0","-1","","","MDumais","","","2013-07-06T07:27:41.000Z","false","","","","false","6826","3382","false","353417323123720193","Marc Cantin","5973282","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2007-05-11T20:24:31.000Z","","«Pusher» de liens de qualité.","","Lac-Mégantic: les premières vidéos citoyens de la catastrophe  (suite) https://t.co/GXQk4gdIoG","fr","","RT @mdumais: Lac-Mégantic: les premières vidéos citoyens de la catastrophe  (suite) https://t.co/GXQk4gdIoG","false","fr","","3848","","true","false","1","false","false","","31","[https://www.facebook.com/jdemontreal/posts/469887866439214]","false","","13","Stratford, Québec","0","","","","","-1","cantin66","","false","","2013-07-06T07:37:10.000Z","","[MDumais]","false"
"6826","3382","","","","","5973282","2007-05-11T20:24:31.000Z","«Pusher» de liens de qualité.","","Scène d'apocalypse à Lac-Mégantic: une nouvelle vidéo citoyen https://t.co/vbZ9mSk6Od","","","","fr","","","","","","","","false","2","false","","","false","","13","","","","","","","","","","","","false","","","","false","","","false","353431164318519296","Michel Dumais","","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","","","","","","fr","","","false","","","20943","","false","false","","","","","333","[https://www.facebook.com/jdemontreal/posts/469908196437181]","","","","Montreal","1","","","","","-1","MDumais","","","","2013-07-06T08:32:10.000Z","","",""
"12337","2026","Julie St-Pierre","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","353569757930328065","264374565","2011-03-11T20:12:16.000Z","Journaliste santé et affaires sociales télévision @TVANouvelles, auteur de livres sur la DPJ, la tuerie de Polytechnique et Laissez-nous vieillir!","","Comme plusieurs, je suis profondément touchée par la catastrophe du Lac Mégantic. Prions pour eux. #courage #lumière #empathie","","","fr","fr","false","[53353253]","","13348","https://t.co/kfEyPbT0BF","true","false","false","10","false","","258","false","","6","Montréal","","","2","-1","","","JulieStPierre1","[courage, lumière, empathie]","","2013-07-06T17:42:53.000Z","true","","","","false","41682","1899","false","353573904851279872","Harold Gagné","53353253","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-07-03T10:41:54.000Z","","Animatrice au @1073rouge, animatrice de #bébéonpart (https://t.co/W6TI0Ba1P0), collaboratrice famille à @salutbonjour weekend, chanteuse et DJ.","","Comme plusieurs, je suis profondément touchée par la catastrophe du Lac Mégantic. Prions pour eux. #courage #lumière #empathie","fr","","RT @JulieStPierre1: Comme plusieurs, je suis profondément touchée par la catastrophe du Lac Mégantic. Prions pour eux. #courage #lumière #e…","false","fr","","17629","http://t.co/X2r5q984bj","false","false","10","false","false","","194","","false","","1246","","0","","","","[courage, lumière]","-1","hgagneTVA","","true","","2013-07-06T17:59:22.000Z","","[JulieStPierre1]","false"
"2250","398","","","","","185325188","2010-08-31T18:36:16.000Z","Correspondent. 'I haven't been everywhere, but it's on my list.'","","MT @CTVBeauchemin: Quebec police force aerial shot of town of Lac Megantic in the aftermath of trail derailment. http://t.co/rKUpRsSzNc","353525982885449728","","","en","","[245843136]","","","","","","false","0","false","","","false","","1591","","[photo]","","","","","CTVBeauchemin","","","","","false","","","","false","","","false","353551217860943874","Rylee Carlson","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","6302","","false","false","","","","","72","","","","","London, England","0","245843136","","","","-1","RyleeCarlson","","","[http://pbs.twimg.com/media/BOf6AiVCEAAAe66.jpg]","2013-07-06T16:29:13.000Z","","[CTVBeauchemin]",""
