"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"583","243","","","","","340384874","2011-07-22T16:23:54.000Z","Hypophrenic x Atelophobic","","Siguro bago mag suspend ang Feu Manila dapat ang baha hanggang leeg?","","","","tl","","","","","","","","false","1","false","","","false","","5076","","","","","","","","","","","","false","","","","false","","","false","369086680793227264","ジェリ ボーイ","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","23052","https://t.co/jy7OmjPlle","true","false","","","","","2","","","","","Panem|Kenettra|Terassen|Stilts","0","","","","","-1","AldrchRmos","","","","2013-08-18T13:21:36.000Z","","",""
"844","241","","","","","521998510","2012-03-12T06:01:34.000Z","#17 💕 ɥɔnɯ sıɥʇ
| adventure ♥ әlqıʇɔnɹʇsәpuı 👊","","' For the 1st Time . Maaga nagAnnounce ang School nmin . HAHAHA ! #WalangPasok #MaringPH","","","","tl","","","","","","","","false","0","false","","","false","","27166","","","","","","","","","","","","false","","","","false","","","false","369093349740773376","💕","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","31942","https://t.co/p2jf6KHTn9","true","false","","","","","8","","","","","Philippines ! QC","0","","","","[WalangPasok, MaringPH]","-1","prilanne06","","","","2013-08-18T13:48:06.000Z","","",""
"370","380","RescuePH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","369094659017932801","424849510","2011-11-30T07:41:13.000Z","A future doctor, a Public Health advocate, an athlete, an avid reader, an indie movie maniac, and a music hound. 

Just a bit of everything in funsize!","","I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","","","en","en","false","[742145928]","","3002","http://t.co/mO73C2s2gH","false","false","false","199","false","","136","false","","1334","Philippines","","","14","-1","","","RescuePH","[RescuePH]","","2013-08-18T13:53:18.000Z","false","","","","false","10745","206","false","369099410526855170","Gladys Kaye Reyes","742145928","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2012-08-07T04:33:26.000Z","","RescuePH is a crowdsourced disaster response initiative to help coordinate disaster response and relief operations | Use #RescuePH for rescue-related queries","","I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","en","","RT @RescuePH: I'd like to advice everyone to please use the unified hashtag ""#RescuePH"" for rescue queries. Help save our fellow men.","false","en","","1881","","true","false","199","false","false","","4","","false","","119","Manila, Philippines","0","","","","[RescuePH]","-1","gladys_kaye","","false","","2013-08-18T14:12:11.000Z","","[RescuePH]","false"
"703","460","ABS-CBN News Channel","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","368964542220357632","166415409","2010-07-14T02:50:35.000Z","Short-tempered. Workaholic. CPA-Auditor.","","PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","","","en","en","false","[44728980]","","543357","http://t.co/A0nEVmvNKm","false","false","false","137","false","","7543","false","","13349","Philippines","","","8","-1","","","ANCALERTS","","","2013-08-18T05:16:16.000Z","false","","","","false","4685357","784","false","368967734542864384","Don","44728980","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","en","","RT @ANCALERTS: PAGASA 12:20pm: YELLOW advisory for Metro Manila. Moderate-heavy rains in next 3 hours, possible floods in low-lying areas","false","en","","18718","https://t.co/7JCHskUeoD","true","false","137","false","false","","6","","false","","5714","","0","","","","","-1","dondidonnCPA","","true","","2013-08-18T05:28:57.000Z","","[ANCALERTS]","false"
"147","431","Bandila","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","369089366003441664","222816570","2010-12-04T15:01:28.000Z","Serving food for a living. Cheers!","","Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/xwxcCuDhDl","","","en","en","false","[214945741]","","53724","http://t.co/TG8U7yR8","true","false","false","39","false","","1174","false","[http://fb.me/Y8l2BYc2]","428","Manila, Philippines","","","2","-1","","","bandila","[Habagat]","","2013-08-18T13:32:16.000Z","false","","","","false","546401","192","false","369093215552430081","coy cabrera","214945741","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-11-12T16:30:53.000Z","","Ibinabandila ang katotohanan, The official Twitter account of Bandila ABS-CBN's late night newscast","","Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/xwxcCuDhDl","en","","RT @bandila: Red Rainfall Warning No. 6

Weather System: Southwest Monsoon (#Habagat) enhanced by 
Tropical Storm “MARING”... http://t.co/x…","false","en","","2353","","true","false","39","false","false","","2","","false","","1842","Cainta, Rizal","0","","","","[Habagat]","-1","coycabrera","","false","","2013-08-18T13:47:34.000Z","","[bandila]","false"
"27","67","","","","","67215520","2009-08-20T03:30:00.000Z","my life.. my choices.. my mistakes.. my lessons..","","#Habagat tama na.. #baha na samen.. LORD, patigilin mo na ulan..","","","","tl","","","","","","","","false","0","false","","","false","","53","","","","","","","","","","","","false","","","","false","","","false","369124328891088897","Karla Jimenez","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","1100","","true","false","","","","","1","","","","","Philippines","1","","","","[Habagat, baha]","-1","sultrykixx","","","","2013-08-18T15:51:12.000Z","","",""
"368","462","Jonas Terrado","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","false","369130898257481731","42802494","2009-05-27T03:15:08.000Z","21/Manila/Bulacan","","Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable for light vehicles","","","en","tl","false","[39453531]","","57808","https://t.co/lf5qVRHmk9","true","false","false","63","false","","71","false","","1324","Philippines","","","6","-1","","","jonastsinelas","","","2013-08-18T16:17:18.000Z","false","","","","false","5063","830","false","369132369371856897","Gengsterific","39453531","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-05-12T07:17:32.000Z","","Sportswriter for the Manila Bulletin","","Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable for light vehicles","en","","RT @jonastsinelas: Halos hanggang tuhod na yung baha sa Manila City Hall, Philippine Normal, Kalaw, UN Ave up until Remedios. Not passable …","false","tl","","8722","","true","false","63","false","false","","1","","false","","245","Manila, Philippines","0","","","","","-1","gengdelossantos","","false","","2013-08-18T16:23:09.000Z","","[jonastsinelas]","false"
"592","524","","","","","14059827","2008-02-29T09:36:30.000Z","LSGH-DLSU. Legal Management.

    
#MarcosHindiBayani
#DuterteResign","","""@ABSCBNNews: JUST IN: Tropical Depression Maring intensifies into a Tropical Storm #MaringPH | via @ANCALERTS"" suspended.","","","","en","","[15872418, 44728980]","","","","","","false","3","false","","","false","","7546","","","","","","","","","","","","false","","","","false","","","false","369030011585454080","Jam Concepcion🍙","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","31267","","true","false","","","","","0","","","","","","0","","","","[MaringPH]","-1","JamCONCEPCION_","","","","2013-08-18T09:36:25.000Z","","[ABSCBNNews, ANCALERTS]",""
"21","78","ABS-CBN News Channel","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","369119257746882560","1580745859","2013-07-09T16:07:47.000Z","","","Tropical Storm Maring will continue to enhance the southwest monsoon, which will bring moderate-heavy rains in Luzon #MaringPH","","","en","en","false","[44728980]","","543357","http://t.co/A0nEVmvNKm","false","false","false","93","false","","7543","false","","9","Philippines","","","8","-1","","","ANCALERTS","[MaringPH]","","2013-08-18T15:31:03.000Z","false","","","","false","4685357","784","false","369122655359598592","@Novan_Ramdani","44728980","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","Tropical Storm Maring will continue to enhance the southwest monsoon, which will bring moderate-heavy rains in Luzon #MaringPH","id","","RT @ANCALERTS: Tropical Storm Maring will continue to enhance the southwest monsoon, which will bring moderate-heavy rains in Luzon #Maring…","false","en","","599","","true","false","93","false","false","","0","","false","","5714","","0","","","","","-1","Novan_Ramdani1","","true","","2013-08-18T15:44:33.000Z","","[ANCALERTS]","false"
"466","438","DZMM TeleRadyo","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","369043407756201985","118331418","2010-02-28T09:44:35.000Z","meows at cats randomly","","Bagyong #MaringPH, lumakas pa; pinag-iibayo ang Habagat http://t.co/X9ZoZ9gtxo http://t.co/9F4o8p3X1b","","","en","tl","false","[92174767]","","325690","https://t.co/8aBtlIFAZF","false","false","false","113","false","","1815","false","[http://bit.ly/16yzy65, http://fb.me/2v27PiXNK]","12293","ABS-CBN, Diliman, Quezon City","","","10","-1","","","DZMMTeleRadyo","[MaringPH]","","2013-08-18T10:29:39.000Z","false","","","","false","1279024","155","false","369050983084466177","Clarenze Maranan","92174767","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2009-11-24T02:03:16.000Z","","The Official Twitter news feed of DZMM Radyo Patrol 630, DZMM TeleRadyo and http://t.co/dGWvKzLl9n. Like us on Facebook: http://t.co/LyZoBw5CIn","","Bagyong #MaringPH, lumakas pa; pinag-iibayo ang Habagat http://t.co/X9ZoZ9gtxo http://t.co/9F4o8p3X1b","en","","RT @DZMMTeleRadyo: Bagyong #MaringPH, lumakas pa; pinag-iibayo ang Habagat http://t.co/X9ZoZ9gtxo http://t.co/9F4o8p3X1b","false","tl","","19002","","true","false","113","false","false","","4","[http://bit.ly/16yzy65, http://fb.me/2v27PiXNK]","false","","500","","0","","","","[MaringPH]","-1","kaCLAibabe","","false","","2013-08-18T10:59:45.000Z","","[DZMMTeleRadyo]","false"
"387","289","","","","","300231897","2011-05-17T12:34:12.000Z","mamase mamasa mamakusa","","Sungit ni Aling #MaringPH","","","","tl","","","","","","","","false","0","false","","","false","","27134","","","","","","","","","","","","false","","","","false","","","false","369052908278407168","Harold Marilag","","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","","","","","","en","","","false","","","46359","","true","false","","","","","6","","","","","","0","","","","[MaringPH]","-1","hrldmrlg","","","","2013-08-18T11:07:24.000Z","","",""
"4682","1098","","","","","28534981","2009-04-03T09:57:43.000Z","believes that everyone should be given all the possible chances to change and be a better person.","","Intramuros baha. I miss Manila. http://t.co/UkqB40Eu5Y","","","","tl","","","","","","","","false","0","false","","","false","","1031","","","","","","","","","","","","false","","","","false","","","false","368929037877403652","tex jimenez♥","","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","","","","","","en","","","false","","","9061","https://t.co/dFcw84Ssla","false","false","","","","","18","[http://instagram.com/p/dI3W9nr3ud/]","","","","Philippines","0","","","","","-1","texjimenez","","","","2013-08-18T02:55:11.000Z","","",""
"414","2127","Carmela Haloc","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","369068432005664768","461248997","2012-01-11T16:13:09.000Z","Always Smile :D | Follow me on Instagram :) Pammyxix | VolleyBall Player, Swimmer, Food Lover, Begginer Baker. :)","","CALABARZON affected by Tropical Storm #Maring but still no updates with the classes suspension in Cavite.. @jonvicremulla @govph","","","en","en","false","[359288637, 717716672]","","10940","","true","false","false","3","false","","1","false","","1261","Indang, Cavite","","","3","-1","","","carmela_una","[Maring]","","2013-08-18T12:09:05.000Z","false","","[jonvicremulla, govph]","","false","134","298","false","369069618393931776","♕ P A M M Y ♥ ⭐","359288637","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-08-21T09:54:13.000Z","14.19164851","•Loving wifey of CHRISTOPHER HALOC•","","CALABARZON affected by Tropical Storm #Maring but still no updates with the classes suspension in Cavite.. @jonvicremulla @govph","en","[717716672, 170965705]","RT @carmela_una: CALABARZON affected by Tropical Storm #Maring but still no updates with the classes suspension in Cavite.. @jonvicremulla …","false","en","120.88470373","10459","https://t.co/R1yi9EjxGU","true","false","3","false","false","","3","","false","","679","","0","","","","[Maring]","-1","Akosipammmm19","","false","","2013-08-18T12:13:48.000Z","","[carmela_una, jonvicremulla]","false"
"211","204","PAGASA-DOST","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","false","368571063577243648","1275420420","2013-03-17T16:43:36.000Z","離したくないよ || sc: charla1259 ( ´♡｀) || Pisay 2018","","WEATHER BULLETIN No. 2
Tropical Cyclone Alert: Tropical Depression “#MaringPH”  
Issued at 11:00AM 17 August... http://t.co/t6kmWewYoW","","","en","en","false","[202890266]","","98787","http://t.co/06Fo3ebdIW","false","false","false","63","false","","4842","false","[http://fb.me/15lFj2UEV]","2493","Quezon City, PHILIPPINES","","","4","-1","","","dost_pagasa","[MaringPH]","","2013-08-17T03:12:43.000Z","false","","","","false","5923908","14","false","368659239272579073","Carla Rago","202890266","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2010-10-15T01:42:39.000Z","","Official Twitter Account of Philippine Atmospheric, Geophysical and Astronomical Services Administration (PAGASA-DOST)","","WEATHER BULLETIN No. 2
Tropical Cyclone Alert: Tropical Depression “#MaringPH”  
Issued at 11:00AM 17 August... http://t.co/t6kmWewYoW","en","","RT @dost_pagasa: WEATHER BULLETIN No. 2
Tropical Cyclone Alert: Tropical Depression “#MaringPH”  
Issued at 11:00AM 17 August... http://t.c…","false","en","","2448","","true","false","63","false","false","","1","","false","","23","Quezon City, National Capital Region","0","","","","[MaringPH]","-1","charlamarez","","true","","2013-08-17T09:03:06.000Z","","[dost_pagasa]","false"
"567","261","ABS-CBN News Channel","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","369031585753874433","151351000","2010-06-03T06:00:21.000Z","Electronics Engineer. Music. Movies. Travel. Quidnunc. Facebook/instagram/Snapchat: ivanpangan","","Metro Manila, Ilocos Region, CALABARZON, Benguet, Zambales, Bataan, Occ.Mindoro - monsoon rains, possible floods/landslides #MaringPH","","","en","tl","false","[44728980]","","543357","http://t.co/A0nEVmvNKm","false","false","false","177","false","","7543","false","","1217","Philippines","","","19","-1","","","ANCALERTS","[MaringPH]","","2013-08-18T09:42:40.000Z","false","","","","false","4685357","784","false","369031924192247809","Ivan Pangan","44728980","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2009-06-04T21:26:24.000Z","","News updates & breaking news from the Philippines. Like our Facebook page:  http://t.co/xr1ETuyubS.","","Metro Manila, Ilocos Region, CALABARZON, Benguet, Zambales, Bataan, Occ.Mindoro - monsoon rains, possible floods/landslides #MaringPH","en","","RT @ANCALERTS: Metro Manila, Ilocos Region, CALABARZON, Benguet, Zambales, Bataan, Occ.Mindoro - monsoon rains, possible floods/landslides …","false","tl","","21056","","true","false","177","false","false","","0","","false","","5714","Manila, Philippines","0","","","","","-1","ivanpangan","","true","","2013-08-18T09:44:01.000Z","","[ANCALERTS]","false"
"375","267","","","","","423229154","2011-11-28T07:31:07.000Z","IG: markgersonbalayan","","""@akockenn: NO CLASSES TOMORROW. SURE NA SURE NA DAW. Ingat ang lahat. God bless :) #Maring""- Swerte!! :)","","","","en","","[107954547]","","","","","","false","0","false","","","false","","1572","","","","","","","","","","","","false","","","","false","","","false","369092347323105281","Gerson Balayan","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","26757","","true","false","","","","","2","","","","","Philippines","0","","","","[Maring]","-1","MangGerson","","","","2013-08-18T13:44:07.000Z","","[akockenn]",""
