"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"204","337","","","","","522978413","2012-03-13T07:12:27.000Z","Founder of @OvenBrownSA .. Creative Entreprenuer .. Fashion design student .. Multimedia designer .. Amatuer photographer .. Almost a speaker.","","""AT LEAST TEN PEOPLE KILLED after 8-storey collapse in Bangladesh"" .. AT LEAST? -__-","","","","en","","","","","","","","false","0","false","","","false","","85","","","","","","","","","","","","false","","","","false","","","false","326982478889897985","Oven Brown","","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","","","","","","en","","","false","","","3112","","true","false","","","","","1","","","","","Pretoria, South Africa","0","","","","","-1","ThabowaOB","","","","2013-04-24T08:54:32.000Z","","",""
"1041","3251","","","","","168505436","2010-07-19T14:37:09.000Z","Attorney, Sports and Political Junkie. Alumni of UAB & Alabama School of Law and member of the greatest fraternity in the world: Omega Psi Phi Fraternity, Inc.","","At least 70 dead in Bangladesh building collapse http://t.co/8OTDkZrW8y via @USATODAY","","","","en","","[15754281]","","","","","","false","0","false","","","false","","45404","","","","","","","","","","","","false","","","","false","","","false","327010861749268481","William Rodgers Jr","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","105171","","true","false","","","","","59","[http://usat.ly/XVWYg7]","","","","Montgomery, AL and Atlanta, GA","0","","","","","-1","WillRodgersJr","","","","2013-04-24T10:47:19.000Z","","[USATODAY]",""
"346","829","","","","","1088593412","2013-01-14T10:06:54.000Z","Cash Loans for Bad Credit People","","More than 70 killed in Bangladesh building collapse: 
    
 http://t.co/MgiCPDMl4L","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","326991056233197570","Bad Credit OK","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","4358","http://t.co/hJh3D0rI","false","false","","","","","0","[http://bit.ly/15JcvV0]","","","","Florida","0","","","","","-1","okbadcredit","","","","2013-04-24T09:28:37.000Z","","",""
"56377","11415","","","","","14722676","2008-05-10T07:48:15.000Z","ℹ️ Inquisitr publishes timely factual news while providing the best quality, accountability, and experience. Politics🏛️ Crime🕵️‍♂️ Health💊 Science🔬& more.","","BREAKING: At least 60 dead in Bangladesh building collapse - @AFP","","","","en","","[380648579]","","","","","","false","3","false","","","false","","2408","","","","","","","","","","","","true","","","","false","","","false","326969673654620160","INQUISITR","","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","","","","","","en","","","false","","","160100","https://t.co/im7X7bOPbj","true","false","","","","","1261","","","","","Everywhere","0","","","","","-1","theinquisitr","","","","2013-04-24T08:03:39.000Z","","[AFP]",""
"4938","4947","","","","","516982165","2012-03-06T23:06:18.000Z","Rumo a 1 milhão de tweets!  OPA! já passei.... então foda-se...","","Bangladesh factory building collapse kills over 70, injures hundreds http://t.co/eRCPfVJamq","","","","en","","","","","","","","true","0","false","","","false","","21","","","","","","","","","","","","false","","","","false","","","false","326974933341200384","Diego Palma","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","pt","","","false","","","1872411","","true","false","","","","","321","[http://bit.ly/15IJskC]","","","","Santa Cruz do Rio Pardo","0","","","","","-1","1milhaodetweets","","","","2013-04-24T08:24:33.000Z","","",""
"10421","19","","","","","292151872","2011-05-03T05:43:04.000Z","Bangladesh বাংলাদেশ Bangla বাংলা Bangladeshi বাংলাদেশী My Bangladesh আমার বাংলাদেশ Our Bangladesh আমাদের বাংলাদেশ Bangladesh মাতৃভূমি বাংলাদেশ Banglago","","‘বঙ্গবন্ধু সাফারি পার্কে বাঘ-সিংহ ‘ http://t.co/36gZPxDvi6 #বলসবদ #bangla #banglanews #bangladesh","","","","bn","","","","","","","","false","0","false","","","false","","2","","","","","","","","","","","","false","","","","false","","","false","326677674598748161","Bangladesh বাংলাদেশ","","<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","","","","","","en","","","false","","","18307","","false","false","","","","","14","[http://goo.gl/fb/H2Kdg]","","","","Bangladesh","0","","","","[বলসবদ, bangla, banglanews, bangladesh]","-1","banglago","","","","2013-04-23T12:43:21.000Z","","",""
"939","959","","","","","88365737","2009-11-08T06:25:33.000Z","I am Thai woman","","Dozens killed in Bangladesh building collapse: At least 82 people have died and 700 have been injured after an... http://t.co/9DFMYAKUHn","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","326991895093993472","Casanovy_II","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","32348","","false","false","","","","","13","[http://bit.ly/12frOAU]","","","","Bangkok, Thailand","0","","","","","-1","Casanovy_II","","","","2013-04-24T09:31:57.000Z","","",""
"112","5","","","","","626795266","2012-07-04T21:12:18.000Z","","","scores feared dead in Bangladesh building collapse - Xinhua: AFPscores feared dead in Bangladesh building coll... http://t.co/Y5m8xpKhYd","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","326937918583238656","MaestroBR Idiomas","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","48233","","false","false","","","","","1","[http://bit.ly/12ezdk0]","","","","","0","","","","","-1","MaestroIdiomas","","","","2013-04-24T05:57:28.000Z","","",""
"1945","901","","","","","416046369","2011-11-19T04:58:12.000Z","Followed By Novak I'm Ali From Pakistan @BeingAlikhan :)","","#Nolefam ,Please pray for the victims of the disaster where more than 70 people has died in a building collapse, more trapped in Bangladesh","","","","en","","","","","","","","false","0","false","","","false","","570","","","","","","","","","","","","false","","","","false","","","false","327012191339413505","Djokovic Fans","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","7047","","true","false","","","","","8","","","","","","0","","","","[Nolefam]","-1","NovakPAkistan","","","","2013-04-24T10:52:36.000Z","","",""
"2161","401","","","","","92665453","2009-11-26T02:24:16.000Z","Dad, Husband, Netizen, #Elbyers #JCIBone","","Bangladesh Building Collapse Kills at Least 70 http://t.co/hKctMCqRZI","","","","en","","","","","","","","false","0","false","","","false","","283","","","","","","","","","","","","false","","","","false","","","false","326991723102347265","Mister Ond","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","id","","","false","","","126451","https://t.co/YUN2aCzUuN","true","false","","","","","0","[http://nyti.ms/15JiOYN]","","","","Underground","0","","","","","-1","Irfan_Ond","","","","2013-04-24T09:31:16.000Z","","",""
