"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"15725","30601","","","","","19162187","2009-01-18T23:22:30.000Z","The official site for WeAreLogos.We have 750,000 Promotional items.Reply and you will start 2 get a 5 percent off on orders.Contests will be launched soon.","","Eight-storey building collapse in Bangladesh kills nearly 100, traps more - Globe and Mail: Globe and MailEigh... http://t.co/Q2XLeisHwr","","","","en","","","","","","","","false","0","false","","","false","","163","","","","","","","","","","","","false","","","","false","","","false","327131250831810560","We Are Logos","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","33009","","false","false","","","","","129","[http://bit.ly/146iGmg]","","","","Washington DC","0","","","","","-1","WeAreLogos","","","","2013-04-24T18:45:42.000Z","","",""
"658","752","The Wall Street Journal","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>","false","327049820424527873","49027842","2009-06-20T15:11:33.000Z","http://t.co/6fFr5XS4 http://t.co/bya5RpYH
writer, realtor, sometime actress.","","80 people die in garment factory building collapse near Dhaka, Bangladesh. http://t.co/PQSZNzy9KI","","","en","en","false","[3108351]","","243872","https://t.co/GhhR6PLfem","true","false","false","93","false","","109231","false","[http://on.wsj.com/17i8ZiI]","3811","New York, NY","","","4","-1","","","WSJ","","","2013-04-24T13:22:08.000Z","false","","","","false","15851721","1112","false","327051349336403971","Gracee Arthur","3108351","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-01T06:22:13.000Z","","Breaking news and features from the WSJ.","","80 people die in garment factory building collapse near Dhaka, Bangladesh. http://t.co/PQSZNzy9KI","en","","RT @WSJ: 80 people die in garment factory building collapse near Dhaka, Bangladesh. http://t.co/PQSZNzy9KI","false","en","","46240","http://t.co/OQYgBtDSnl","true","false","93","false","false","","48","[http://on.wsj.com/17i8ZiI]","false","","1279","Malibu","0","","","","","-1","graceearthur","","true","","2013-04-24T13:28:12.000Z","","[WSJ]","false"
"28","8","","","","","571043162","2012-05-04T18:23:24.000Z","Local movers in Houston, TX","","At least 87 dead in Bangladesh building collapse - USA Today - USA TODAY: NDTVAt least 87 dead in Bangladesh b... http://t.co/E78n1GMJ3q","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","327051626156285953","HoustonMovUS","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","12865","http://t.co/5D4AShQkQa","false","false","","","","","0","[http://bit.ly/15JmQQT]","","","","Houston, TX","0","","","","","-1","HoustonMovUS","","","","2013-04-24T13:29:18.000Z","","",""
"187","64","","","","","525335607","2012-03-15T12:41:47.000Z","'Geography is a flavour' Starbucks","","BBC News - Bangladesh Dhaka building collapse leaves 87 dead http://t.co/o74gGXjAst","","","","en","","","","","","","","false","0","false","","","false","","69","","","","","","","","","","","","false","","","","false","","","false","327167376397328384","TSGeog","","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","","","","","","en","","","false","","","977","","true","false","","","","","1","[http://bbc.in/XVD98z]","","","","","1","","","","","-1","TSGeog","","","","2013-04-24T21:09:15.000Z","","",""
"923","838","Pascal BeltrandelRio","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","false","327086403613769730","67227062","2009-08-20T04:26:03.000Z","","","Según esta nota, en el edificio colapsado en Savar, Bangladesh, se producía ropa para Benetton y Dress Barn http://t.co/C5lXnhBfDX","","","en","es","false","[4744382089]","","144810","https://t.co/UIAU23HP9u","true","false","false","7","false","","2483","false","[http://www.huffingtonpost.com/2013/04/24/bangladesh-building-collapse_n_3143845.html]","81","Ciudad de México","","","0","-1","","","beltrandelrio","","","2013-04-24T15:47:30.000Z","false","","","","false","350110","5843","false","327133092156407808","Jupiter","34718178","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2009-04-23T20:24:14.000Z","","Director editorial del periódico Excélsior. Conductor de Titulares de la Noche de Excélsior TV y de la Primera Emisión de Imagen Radio (90.5 FM).","","Según esta nota, en el edificio colapsado en Savar, Bangladesh, se producía ropa para Benetton y Dress Barn http://t.co/C5lXnhBfDX","en","","RT @beltrandelriomx: Según esta nota, en el edificio colapsado en Savar, Bangladesh, se producía ropa para Benetton y Dress Barn http://t.c…","false","es","","56200","","false","false","7","false","false","","41","","false","","48609","","0","","","","","-1","jesuispenny","","true","","2013-04-24T18:53:01.000Z","","[beltrandelriomx]","false"
"26","1","","","","","483175085","2012-02-04T18:31:35.000Z","","","Bangladesh building collapse kills at least 123, injures more than 1000 http://t.co/I17oy5pPEy","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","327183952261558272","Top Stories","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","12665","","false","false","","","","","1","[http://bit.ly/12j5BlE]","","","","","0","","","","","-1","vim_top","","","","2013-04-24T22:15:07.000Z","","",""
"315","280","","","","","59131721","2009-07-22T13:57:18.000Z","","","Bangladesh factory collapse kills over 80, reviving safety questions - CNN: Telegraph.co.ukBangladesh factory ... http://t.co/R4FEEDR3GC","","","","en","","","","","","","","false","0","false","","","false","","1","","","","","","","","","","","","false","","","","false","","","false","327117728387321857","jazzeyes","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","it","","","false","","","1476","http://t.co/oHhyw0UFU5","false","false","","","","","18","[http://bit.ly/12hWy48]","","","","Palermo","0","","","","","-1","jazzeyes","","","","2013-04-24T17:51:58.000Z","","",""
"536","381","BBC Breaking News","<a href=""http://www.bbc.co.uk/news/"" rel=""nofollow"">BBC News</a>","false","327112899233476608","315984813","2011-06-12T19:20:35.000Z","20, the reds","","""Deeply saddened"" - clothing giant Primark confirms one of its suppliers was based in #Bangladesh collapsed factory http://t.co/qSe0PSpENt","","","en","en","false","[5402612]","","34429","http://t.co/vBzl7LOaso","false","false","false","393","false","","131994","false","[http://bbc.in/15LDwap]","9834","London, UK","","","34","-1","","","BBCBreaking","[Bangladesh]","","2013-04-24T17:32:47.000Z","false","","","","false","38241638","3","false","327114519778312193","🇺🇦","5402612","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-04-22T14:42:37.000Z","","Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport.","","""Deeply saddened"" - clothing giant Primark confirms one of its suppliers was based in #Bangladesh collapsed factory http://t.co/qSe0PSpENt","en","","RT @BBCBreaking: ""Deeply saddened"" - clothing giant Primark confirms one of its suppliers was based in #Bangladesh collapsed factory http:/…","false","en","","22714","","true","false","393","false","false","","8","","false","","0","Liverpool","0","","","","[Bangladesh]","-1","_JayLFC","","true","","2013-04-24T17:39:13.000Z","","[BBCBreaking]","false"
"2043","3933","","","","","101663061","2010-01-04T04:53:37.000Z","World's first @UN recognised @GlobalGoals @Local2030 Hub.

We ignite cities using #SDGs + entrepreneruship + @BCorpUK","","Bangladesh Garment Factory Collapse Kills Nearly 100 People - http://t.co/BH2ZNeWkkt #csr #fashion","","","","en","","","","","","","","false","0","false","","","false","","1144","","","","","","","","","","","","false","","","","false","","","false","327104134643859456","2030hub","","<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","","","","","","en","","","false","","","2288","https://t.co/nLSkGwaXM3","true","false","","","","","132","[http://bit.ly/ZOT4lL]","","","","Liverpool, UK","0","","","","[csr, fashion]","-1","2030hub","","","","2013-04-24T16:57:57.000Z","","",""
"103","58","","","","","133259881","2010-04-15T12:09:55.000Z","","","Bangladesh Building Collapse Kills Scores - New York Times: New York TimesBangladesh Building Collapse Kills S... http://t.co/SpPAmaAvQS","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","327139589099769856","Javid","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","55230","","false","false","","","","","2","[http://bit.ly/15JjtJC]","","","","Chennai","0","","","","","-1","Javidecea","","","","2013-04-24T19:18:50.000Z","","",""
"939","959","","","","","88365737","2009-11-08T06:25:33.000Z","I am Thai woman","","Dozens killed in Bangladesh building collapse: At least 82 people have died and 700 have been injured after an... http://t.co/9DFMYAKUHn","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","326991895093993472","Casanovy_II","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","32348","","false","false","","","","","13","[http://bit.ly/12frOAU]","","","","Bangkok, Thailand","0","","","","","-1","Casanovy_II","","","","2013-04-24T09:31:57.000Z","","",""
"1945","901","","","","","416046369","2011-11-19T04:58:12.000Z","Followed By Novak I'm Ali From Pakistan @BeingAlikhan :)","","#Nolefam ,Please pray for the victims of the disaster where more than 70 people has died in a building collapse, more trapped in Bangladesh","","","","en","","","","","","","","false","0","false","","","false","","570","","","","","","","","","","","","false","","","","false","","","false","327012191339413505","Djokovic Fans","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","7047","","true","false","","","","","8","","","","","","0","","","","[Nolefam]","-1","NovakPAkistan","","","","2013-04-24T10:52:36.000Z","","",""
"5188","4830","Douglas Pensack","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","false","327041635139600384","517181403","2012-03-07T03:49:23.000Z","The Resistance","","BBC News - Bangladesh Dhaka building collapse leaves 80 dead http://t.co/PQRuLJJzQD / Price of cheap clothing","","","en","en","false","[278216480]","","127510","","true","false","false","1","false","","194","false","[http://bbc.in/XVD98z]","21599","Chicago, IL","","","0","-1","","","dougiepen","","","2013-04-24T12:49:36.000Z","false","","","","false","5723","5382","false","327042000257945600","SnarkyProgressive","278216480","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2011-04-06T21:02:18.000Z","","USA is an oligarchy, not a democracy. Socialist, eclectic. Capitalism is not as good, nor socialism as bad as you were taught. End #racism - #movies #hockey","","BBC News - Bangladesh Dhaka building collapse leaves 80 dead http://t.co/PQRuLJJzQD / Price of cheap clothing","en","","RT @dougiepen: BBC News - Bangladesh Dhaka building collapse leaves 80 dead http://t.co/PQRuLJJzQD / Price of cheap clothing","false","en","","63306","","true","false","1","false","false","","115","[http://bbc.in/XVD98z]","false","","1164","New York","0","","","","","-1","snarkylibdem","","false","","2013-04-24T12:51:03.000Z","","[dougiepen]","false"
"27600","24631","","","","","876302191","2012-10-12T19:48:05.000Z","TandMProductionCo, @TandMMusic @TandMTV @TandMProdCo @TandMRemix @TandMBeats @TandMHD @TandMRTs @FredericksBass  -- https://t.co/PPsZNab0zE","","NPR - Dozens Killed In Collapse Of Bangladesh Garment Complex http://t.co/Fo0sG56YiA","","","","en","","","","","","","","false","0","false","","","false","","6001","","","","","","","","","","","","false","","","","false","","","false","327054901941252099","TandMProductionCo","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","2768041","https://t.co/9CM1h7wSsD","false","false","","","","","29","[http://n.pr/15KvmPv]","","","","Rhode Island","0","","","","","-1","TandMProdCo","","","","2013-04-24T13:42:19.000Z","","",""
"879","272","Shahbag Worldwide!","<a href=""http://www.twitlonger.com"" rel=""nofollow"">Twitlonger</a>","false","327079292712398848","1171207393","2013-02-12T07:23:49.000Z","","","[SO TRUE] read, learn & spread it #savar #shahbag #saveBangladesh #RT আজ সাভারে হিন্দু মুসলমান দেখি নি, দেখি (cont) http://t.co/C22oe43eYc","","","en","und","false","[1156506270]","","15249","http://t.co/Zc4zQslrM8","true","false","false","10","false","","20","false","[http://tl.gd/n_1rjukle]","1","Dhaka, Bangladesh","","","0","-1","","","Projonmo13","[savar, shahbag, saveBangladesh, RT]","","2013-04-24T15:19:14.000Z","false","","","","false","2523","67","false","327081237963485185","Ishita Jamal","1156506270","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2013-02-07T08:45:50.000Z","","দাবী মোদের একটাই
রাজাকারের ফাঁসি চাই
Tweeting about activities and movement for justice on the war crime in Bangladesh.
from #Shahbag to around the globe!","","[SO TRUE] read, learn & spread it #savar #shahbag #saveBangladesh #RT আজ সাভারে হিন্দু মুসলমান দেখি নি, দেখি (cont) http://t.co/C22oe43eYc","en","","RT @Projonmo13: [SO TRUE] read, learn & spread it #savar #shahbag #saveBangladesh #RT আজ সাভারে হিন্দু মুসলমান দেখি নি, দেখি (cont) htt…","false","und","","42288","https://t.co/nzduL8HJ6F","false","false","10","false","false","","4","","false","","1058","Canada","0","","","","[savar, shahbag, saveBangladesh, RT]","-1","IshitaJamal","","false","","2013-04-24T15:26:58.000Z","","[Projonmo13]","false"
"42","20","","","","","99794679","2009-12-27T22:15:18.000Z","Hi, I'm Natasha Hythe and I am a Fitness & Nutrition Consultant. I hope you like my remarks. :)","","Bangladesh factory building collapse kills nearly 100: A crack was detected in the structure yesterday but wor... http://t.co/l2aY1OTwPv","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","327076989112565760","Natasha Hythe","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","13792","http://t.co/Ll4XBjmFSy","false","false","","","","","1","[http://yhoo.it/144u3uT]","","","","Melbourne, FL","0","","","","","-1","nHythe","","","","2013-04-24T15:10:05.000Z","","",""
"45","87","","","","","521310805","2012-03-11T13:14:46.000Z","energizer...","","Bangladesh building collapse kills at least 76 garment workers http://t.co/mHriFygU8p","","","","en","","","","","","","","false","0","false","","","false","","47","","","","","","","","","","","","false","","","","false","","","false","327012392653438976","Dosmaiylov Abylay","","<a href=""http://www.flipboard.com"" rel=""nofollow"">Flipboard</a>","","","","","","en","","","false","","","590","","true","false","","","","","1","[http://flip.it/QyAFj]","","","","London","0","","","","","-1","dosmaiylov","","","","2013-04-24T10:53:24.000Z","","",""
"1465","1","","","","","53577919","2009-07-04T03:07:45.000Z","Global news on Twitter","","NDTV: Bangladesh building collapse kills at least three http://t.co/pOIsYAObgX","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","326929634857984000","News International","","<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","","","","","","en","","","false","","","106559","","false","false","","","","","82","[http://bit.ly/140mxRH]","","","","","0","","","","","-1","newsintl","","","","2013-04-24T05:24:33.000Z","","",""
