"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"96","55","","","","","1716855091","2013-08-31T21:17:55.000Z","Sentinel Securities, Inc. is a fictional securities and investigative agency from the Sentinels Series by @elisestrella, published by @bookware.","","Status update for Typhoon Yolanda. Brace yourselves. http://t.co/X3Zjnfc639","","","","en","","","","","","","","false","2","false","","","false","","50","","","","","","","","","","","","false","","","","false","","","false","398128108798083072","Sentinel Securities","","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","","","","","","en","","","false","","","778","https://t.co/BakDOOvfsa","false","false","","","","","3","[http://fb.me/2Lvbetw7L]","","","","Camp Gen. Joseph Herrera","0","","","","","-1","SentinelsBase","","","","2013-11-06T16:41:52.000Z","","",""
"603","437","Climate Central","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","398508274817187840","59989555","2009-07-25T05:22:09.000Z","a systems analyst has a brain that's wired differently than the rest, as it should be | resident geek | temet nosce","","Super Typhoon Haiyan is one of strongest storms in world history. Set to assault Philippines. Details: http://t.co/XauZW7NBKt #yolandaPH","","","en","en","false","[15463610]","","56037","https://t.co/sTxlhOkKr4","true","false","false","5","false","","3220","false","[http://bit.ly/HJ9g72]","133","Princeton, NJ","","","4","-1","","","ClimateCentral","[yolandaPH]","","2013-11-07T17:52:31.000Z","false","","","","false","88204","6206","false","398522385969602560","Dennis","15463610","<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","2008-07-17T03:30:32.000Z","","Researching and reporting the science and impacts of climate change 🌎","","Super Typhoon Haiyan is one of strongest storms in world history. Set to assault Philippines. Details: http://t.co/XauZW7NBKt #yolandaPH","en","","RT @ClimateCentral: Super Typhoon Haiyan is one of strongest storms in world history. Set to assault Philippines. Details: http://t.co/XauZ…","false","en","","47767","","false","false","5","false","false","","71","","false","","32061","Makati, Philippines","0","","","","","-1","dyonisii","","true","","2013-11-07T18:48:35.000Z","","[ClimateCentral]","false"
"1454","791","Umagang Kay Ganda","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","398205165624651778","469297996","2012-01-20T13:01:52.000Z","DLSL-Marketing | travaux en cours 🚧 ENFP-T 🏐","","(2/2) #YolandaPH SIGNAL NO. 2: hilagang bahagi ng Surigao Del Sur,  hilagang bahagi ng Agusan Del Norte","","","en","tl","false","[112150570]","","51780","http://t.co/taSyqJjcAO","true","false","false","6","false","","434","false","","31216","Philippines","","","0","-1","","","ukgdos","[YolandaPH]","","2013-11-06T21:48:04.000Z","false","","","","false","253875","485","false","398207989326168064","Ian Sayne Macasaet","112150570","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2010-02-07T12:10:07.000Z","","Official twitter account of ABS-CBN morning show Umagang Kay Ganda (UKG)      WEEKDAYS from 4:55AM to 8AM","","(2/2) #YolandaPH SIGNAL NO. 2: hilagang bahagi ng Surigao Del Sur,  hilagang bahagi ng Agusan Del Norte","en","","RT @ukgdos: (2/2) #YolandaPH SIGNAL NO. 2: hilagang bahagi ng Surigao Del Sur,  hilagang bahagi ng Agusan Del Norte","false","tl","","53778","https://t.co/huXMNMI7Ed","true","false","6","false","false","","6","","false","","3269","Lipa, Batangas PH","0","","","","[YolandaPH]","-1","IyanokManok","","false","","2013-11-06T21:59:17.000Z","","[ukgdos]","false"
"1129","131","Geól. Sergio Almazán","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","false","398528157231243264","205564044","2010-10-21T04:19:52.000Z","#DarkSide | Poblano sarcástico. Amo: #Café #Naturaleza #Astro #Geo #Eco & #Cats... #Меssico- #Пуэбла","","ALERTA! Imagen del Tifón más poderoso del planeta! #Haiyan con diámetro de 1.00km y vientos sostenidos de 315km/h!!! http://t.co/TwpIjdvvGw","","","es","es","false","[136763692]","","73600","https://t.co/Ptp1et6UVu","true","false","false","42","false","","848","false","","1642","Mexico D.F. ","","","6","-1","","","chematierra","[Haiyan]","[http://pbs.twimg.com/media/BYfYOIZCEAAAdg_.jpg]","2013-11-07T19:11:31.000Z","false","","","","false","66104","129","false","398528291541241856","José Luis Rendón","136763692","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2010-04-24T21:23:12.000Z","","Geólogo egresado del IPN, Premio Nacional 2003, Autor del libro Planeta Tierra, riesgos geológicos y desastres naturales","","ALERTA! Imagen del Tifón más poderoso del planeta! #Haiyan con diámetro de 1.00km y vientos sostenidos de 315km/h!!! http://t.co/TwpIjdvvGw","es","","RT @chematierra: ALERTA! Imagen del Tifón más poderoso del planeta! #Haiyan con diámetro de 1.00km y vientos sostenidos de 315km/h!!! http:…","false","es","","12757","","true","false","42","false","false","","24","","false","[photo]","54524","In a galaxy far, far away...","0","","","","[Haiyan]","-1","JoseLRend","","false","","2013-11-07T19:12:03.000Z","","[chematierra]","false"
"154","237","","","","","1937530502","2013-10-05T12:38:31.000Z","All Things Philippines","","BEAUTIFUL AAA WHITE, YELLOW CUBIC ZIRCONIA 925 SILVER ENAMEL FLOWER RING Size 7# http://t.co/az5ztXvowR #philippines #filipino","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","398202662552096769","Jeff Hotherson","","<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","","","","","","en","","","false","","","172596","http://t.co/J7ahSSNQhH","false","false","","","","","12","[http://ift.tt/1bZqvtD]","","","","Manila","0","","","","[philippines, filipino]","-1","JeffHotherson","","","","2013-11-06T21:38:07.000Z","","",""
"626","415","Alifa Mari ✨","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","false","398655444672987136","404499447","2011-11-04T00:50:00.000Z","IG : @justmarkmyname","","Strongest typhoon in the world. #YolandaPH","","","en","en","false","[2520911948]","","76595","","true","false","false","2","false","","9","false","","2118","Iloilo City, Philippines","","","1","-1","","","alifaparreno","[YolandaPH]","","2013-11-08T03:37:19.000Z","false","","","","false","1288","923","false","398656498839994368","Mark Lester Navarra","65896713","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","2009-08-15T13:30:26.000Z","","Que sera sera 🍃 • Philippians 4:13","","Strongest typhoon in the world. #YolandaPH","en","","RT @xoxoalifa: Strongest typhoon in the world. #YolandaPH","false","en","","7709","https://t.co/qr90dLapNE","true","false","2","false","false","","2","","false","","70286","MNL  KLB  ILO","0","","","","[YolandaPH]","-1","justmarkmyname","","false","","2013-11-08T03:41:30.000Z","","[xoxoalifa]","false"
"478","427","","","","","748719998","2012-08-10T05:53:28.000Z","Just Love yourself ❤️ Transition † Goodboy with Bad habits","","Hagupit ng Super Typhoon #YolandaPH Walang pasok ngayon at lalakas yung ulan","","","","tl","","","","","","","","false","0","false","","","false","","2659","","","","","","","","","","","","false","","","","false","","","false","398556976394690561","TRAMYER ZURC","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","18464","https://t.co/NNziZMVF0S","true","false","","","","","2","","","","","Neverland,","0","","","","[YolandaPH]","-1","reyymartgalaxyy","","","","2013-11-07T21:06:02.000Z","","",""
"115","93","WV Humanitarian","<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","false","398528744866217984","370851990","2011-09-09T18:58:18.000Z","I love Jesus, books, travel, tea and Tim Martinez.","","Massive super-typhoon #Haiyan due to hit Philippines in a few hours. @worldvision is ready in the strike zone http://t.co/HdulaANY4r","","","en","en","false","[14086764]","","2582","https://t.co/oF8VZB80H2","true","false","false","17","false","","86","false","[http://ow.ly/qB5jG]","327","","","","3","-1","","","WV_humanitarian","[Haiyan]","","2013-11-07T19:13:51.000Z","false","","[WorldVision]","","false","3274","606","false","398541633634836480","christelle","630704220","<a href=""http://blackberry.com/twitter"" rel=""nofollow"">Twitter for BlackBerry®</a>","2012-07-08T23:57:51.000Z","","The latest from #WorldVision humanitarian experts & frontline staff on ongoing & new #disasters, child-focused disaster management, and #humanitarian trends.","","Massive super-typhoon #Haiyan due to hit Philippines in a few hours. @worldvision is ready in the strike zone http://t.co/HdulaANY4r","en","[14086764]","RT @WV_emergencies: Massive super-typhoon #Haiyan due to hit Philippines in a few hours. @worldvision is ready in the strike zone http://t.…","false","en","","2383","","true","false","17","false","false","","1","","false","","341","","0","","","","[Haiyan]","-1","chrissyamaya","","false","","2013-11-07T20:05:04.000Z","","[WorldVision]","false"
"852","948","","","","","417682711","2011-11-21T07:39:09.000Z","Lover Of Life =)","","Powerful typhoon slams into Philippines http://t.co/67Hb68FKso","","","","en","","","","","","","","false","0","false","","","false","","0","","","","","","","","","","","","false","","","","false","","","false","398670419751735296","Emily Seedoz","","<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","","","","","","en","","","false","","","77940","","false","false","","","","","5","[http://adf.ly/YytS4]","","","","AZ","0","","","","","-1","EmilySeedoz","","","","2013-11-08T04:36:49.000Z","","",""
"325","342","","","","","104239183","2010-01-12T18:45:11.000Z","Chilanga melómana preocupada por la salud del planeta","","Super Typhoon Haiyan, Stongest Storm On Earth This Yea http://t.co/uDLwVt3CRh vía @climateprogress","","","","cy","","[28657802]","","","","","","false","0","false","","","false","","2537","","","","","","","","","","","","false","","","","false","","","false","398499552174415872","Wendinh GarCalder","","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>","","","","","","es","","","false","","","14060","","true","false","","","","","22","[http://thkpr.gs/1iP5bJD]","","","","México","0","","","","","-1","WendinhGarCalde","","","","2013-11-07T17:17:51.000Z","","[climateprogress]",""
