"twitter.user/followersCount","twitter.user/friendsCount","retweet.twitter.user/name","retweet.twitter.tweet/source","retweet.twitter.tweet/favourited","retweet.twitter.tweet/id","twitter.user/id","twitter.user/createdAt","twitter.user/description","twitter.tweet/latitude","twitter.tweet/text","twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/originalText","retweet.twitter.user/lang","twitter.tweet/lang","retweet.twitter.tweet/truncated","twitter.tweet/mentionIds","twitter.tweet/longitude","retweet.twitter.user/statusesCount","retweet.twitter.user/url","retweet.twitter.user/geoEnabled","retweet.twitter.user/protectedTweets","twitter.tweet/possiblySensitive","twitter.tweet/retweetCount","twitter.tweet/isQuote","twitter.tweet/placeName","retweet.twitter.user/listedCount","twitter.user/isTranslator","retweet.twitter.tweet/urls","twitter.user/favouritesCount","retweet.twitter.user/location","twitter.tweet/mediaTypes","retweet.twitter.tweet/inReplyToUserID","retweet.twitter.tweet/favouriteCount","retweet.twitter.user/utcOffset","retweet.twitter.tweet/place","twitter.tweet/inReplyToScreenName","retweet.twitter.user/screenName","retweet.twitter.tweet/hashtags","retweet.twitter.tweet/mediaUrls","retweet.twitter.tweet/created","twitter.user/verified","twitter.tweet/contributors","retweet.twitter.tweet/mentions","retweet.twitter.user/timezone","twitter.user/contributorsEnabled","retweet.twitter.user/followersCount","retweet.twitter.user/friendsCount","twitter.tweet/favourited","twitter.tweet/id","twitter.user/name","retweet.twitter.user/id","twitter.tweet/source","retweet.twitter.user/createdAt","retweet.twitter.tweet/latitude","retweet.twitter.user/description","retweet.twitter.tweet/inReplyToStatusID","retweet.twitter.tweet/text","twitter.user/lang","retweet.twitter.tweet/mentionIds","twitter.tweet/originalText","twitter.tweet/truncated","retweet.twitter.tweet/lang","retweet.twitter.tweet/longitude","twitter.user/statusesCount","twitter.user/url","twitter.user/geoEnabled","twitter.user/protectedTweets","retweet.twitter.tweet/retweetCount","retweet.twitter.tweet/possiblySensitive","retweet.twitter.tweet/isQuote","retweet.twitter.tweet/placeName","twitter.user/listedCount","twitter.tweet/urls","retweet.twitter.user/isTranslator","retweet.twitter.tweet/mediaTypes","retweet.twitter.user/favouritesCount","twitter.user/location","twitter.tweet/favouriteCount","twitter.tweet/inReplyToUserID","twitter.tweet/place","retweet.twitter.tweet/inReplyToScreenName","twitter.tweet/hashtags","twitter.user/utcOffset","twitter.user/screenName","retweet.twitter.tweet/contributors","retweet.twitter.user/verified","twitter.tweet/mediaUrls","twitter.tweet/created","twitter.user/timezone","twitter.tweet/mentions","retweet.twitter.user/contributorsEnabled"
"403","718","","","","","53625116","2009-07-04T07:50:15.000Z","2010 SDSU Grad, Journalism Degree. 2017 CSUN Masters Grad, Music Industry Admin. Lover of all things music. Sports fanatic. Chief Media Director for @thephmedia","","Ok universe, jokes over now. 2 ricin letters, Boston bombing, and fertilizer explosion now?!?","","","","en","","","","","","","","false","0","false","","","false","","5149","","","","","","","","","","","","false","","","","false","","","false","324724676637106176","Adriana Hooper","","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","","","","en","","","false","","","46417","","true","false","","","","","16","","","","","California, USA","0","","","","","-1","AdrianaHoop","","","","2013-04-18T03:22:50.000Z","","",""
"422","2328","Jim Roberts","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","false","324705861895335937","169339752","2010-07-22T03:08:29.000Z","Philly area native now in DC. Follower of Philly sports, DC politics, and other general insanity.","","Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx","","","en","en","false","[14940354]","","106801","","true","false","false","74","false","","6563","false","[http://dallasne.ws/10iLMOf]","70684","iPhone: 40.751663,-73.989670","","","3","-1","","","nycjim","","","2013-04-18T02:08:04.000Z","false","","","","false","206203","2201","false","324706708247154690","Greg Gadren","14940354","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","2008-05-29T03:01:14.000Z","","Full-time student of the news & long-time follower of the Grateful Dead. Editor-in-Chief, 🧀Cheddar. Ex-NYT, Mashable. Listen to the thunder shout.","","Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx","en","","RT @nycjim: Dallas Morning News reports part of town of West, Tex., was leveled in fertilizer plant explosion. http://t.co/XtLj5qA5Nx","false","en","","28102","","true","false","74","false","false","","13","[http://dallasne.ws/10iLMOf]","false","","21280","Washington, DC ","0","","","","","-1","greggadren","","true","","2013-04-18T02:11:26.000Z","","[nycjim]","false"
"157","327","CNN","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","false","324727260949127168","131004579","2010-04-09T00:25:26.000Z","Love traveling, family, weekends, fashion, sports, my career, and LIFE!","","Explosion at a Texas fertilizer plant may have injured more than 100. Details and video live on @CNN TV.","","","en","en","false","[759251, 759251]","","184998","http://t.co/IaghNW8Xm2","true","false","false","967","false","","132723","false","","1036","","","","42","-1","","","CNN","","","2013-04-18T03:33:06.000Z","false","","[CNN]","","false","40447101","1114","false","324728166306435073","Nayeli Cruz","759251","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","2007-02-09T00:35:02.000Z","","It’s our job to #GoThere & tell the most difficult stories. Join us! For more breaking news updates follow @CNNBRK  & Download our app 📲https://t.co/Xgo5kjIt8c","","Explosion at a Texas fertilizer plant may have injured more than 100. Details and video live on @CNN TV.","en","[759251]","RT @CNN: Explosion at a Texas fertilizer plant may have injured more than 100. Details and video live on @CNN TV.","false","en","","11510","","false","false","967","false","false","","0","","false","","1463","Port Saint Lucie, Florida","0","","","","","-1","Its_Naayelee","","true","","2013-04-18T03:36:42.000Z","","[CNN, CNN]","false"
"500","207","","","","","596722256","2012-06-01T19:15:16.000Z","Lubbock, TX • Discount Tire","","@CauseIM_OB West Texas fertilizer plant exploded destroying every building for a mile","","","","en","","","","","","","","false","0","false","","","false","","13361","","","","","","","","","","","","false","","","","false","","","false","324724093628870657","Jacob Hundley","","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","","","","","","en","","","false","","","43064","","true","false","","","","","2","","","","","","0","","","","","-1","Jhundley34","","","","2013-04-18T03:20:31.000Z","","",""
"581","2402","","","","","17125426","2008-11-03T04:05:32.000Z","Very happily married, civil litigator, singer for unnamed folk/rock band. I enjoy politics, Chicago & Colorado sports, Irish music, good beer, and #Resistance.","","""@BuzzFeedAndrew: EMS Director Says 60 To 70 Dead In West Explosion: http://t.co/aHKA41bBeP"" ll CNN confirming?","","","","en","","[782351672639094785]","","","","","","false","0","false","","","false","","3247","","","","","","","","","","","","false","","","","false","","","false","324728061444636672","Mike Thomson","","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","","","","en","","","false","","","21156","https://t.co/t7HMer3jv8","true","false","","","","","23","[http://www.kwtx.com/home/headlines/Explosion-Injuries-Reported-At-West-Fertilizer-Plant-203505331.html]","","","","Denver, CO","0","","","","","-1","MikeThomson22","","","","2013-04-18T03:36:17.000Z","","[BuzzFeedAndrew]",""
"78","204","","","","","265624416","2011-03-13T22:02:24.000Z","Blessed to do a lot and will do a lot more. Always goodWill hunting!","","Sending hope and prayers to the people in Waco Texas.","","","","en","","","","","","","","false","0","false","","","false","","288","","","","","","","","","","","","false","","","","false","","","false","324715566625611776","Will Jay","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","2250","","false","false","","","","","2","","","","","","0","","","","","-1","RealWillJay","","","","2013-04-18T02:46:38.000Z","","",""
"334","202","","","","","94467148","2009-12-04T02:11:15.000Z","TVXQ. HYUNA. BTS. STEREK. STONY. SPORK. 00Q. HANNIGRAM.","","RT @CBSNews: Explosion reported at a Texas fertilizer plant http://t.co/JPbI8sHlDl","","","","en","","[15012486]","","","","","","true","0","false","","","false","","2524","","","","","","","","","","","","false","","","","false","","","false","324708104937820160","K","","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","","","","","","en","","","false","","","176099","https://t.co/Rpt1r24fYo","false","false","","","","","14","[http://cbsn.ws/10iNjE4]","","","","TX (USA)","0","","","","","-1","eatasourwolf","","","","2013-04-18T02:16:59.000Z","","[CBSNews]",""
"4110","278","","","","","23759935","2009-03-11T13:10:17.000Z","Writer of science fiction, fantasy, urban fantasy, and horror. Also, occasionally I blog. She/Her. Coxswain to the Resistance.","","@countmystars What the fuck is WITH this week. Between this, Boston, the explosion tonight in Waco...","","","","en","","[851122429942353920]","","","","","","false","0","false","","","false","","22723","","","","","","","","","","","","false","","","","false","","","false","324712861278556160","Kitty Chandler","","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","","","","","","en","","","false","","","105166","https://t.co/WQbhCg9HBs","false","false","","","","","199","","","","","Asheville, NC","0","","","","","-1","mightybattlecat","","","","2013-04-18T02:35:53.000Z","","[countmystars]",""
"264","2099","Breaking News Feed","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iOS</a>","false","324694398011076608","20352184","2009-02-08T05:22:01.000Z","Business, Sports, Politics.","","TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http://t.co/HGRFdbnkhE","","","en","en","false","[2163889962]","","62437","https://t.co/Q8HIb8qQbq","true","false","false","152","false","","3920","false","[http://lockerz.com/s/289789473]","9190","ads@PzFeed.com","","","5","-1","","","pzf","","","2013-04-18T01:22:31.000Z","false","","","","false","294143","9053","false","324694993551884288","Emil Pasic","292777349","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","2011-05-04T06:32:13.000Z","","A global news channel bringing you breaking news as it happens and the most talked about stories, pictures and videos from around the world.","","TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http://t.co/HGRFdbnkhE","en","","RT @911BUFF: TEXAS: MASSIVE EXPLOSION U/D - LOCAL HOSPITALS NOTIFIED. EVERY AVAILABLE AMBULANCE DISPATCHED. REPORTS OF CASUALTIES. http: ...","false","en","","5740","","false","false","152","false","false","","11","","false","","308","Montreal, Que. Canada.","0","","","","","-1","soprano141","","false","","2013-04-18T01:24:53.000Z","","[911BUFF]","false"
"6924","758","","","","","59183308","2009-07-22T17:12:55.000Z","La Voz Nacional de la Salsa On Air 3 a 7 pm por Z 93, Puerto Rico 93.7 fm https://t.co/CaDmuUAIrU","","Cientos de personas heridas en explosion de planta de fertilizantes en Texas","","","","es","","","","","","","","false","0","false","","","false","","4284","","","","","","","","","","","","false","","","","false","","","false","324720117424472064"," EL CACIQUE  ON","","<a href=""http://backtoblaq.com"" rel=""nofollow"">Blaq for BlackBerry® 10</a>","","","","","","en","","","false","","","28195","","true","false","","","","","41","","","","","","0","","","","","-1","caciquez","","","","2013-04-18T03:04:43.000Z","","",""
